"","Chromosome","Start","End","Feature","203219650162_R08C01","203219650188_R08C01","203219750019_R05C01","203219750053_R05C01","203219760009_R08C01","203220070150_R02C01","203225140266_R03C01","203257030015_R06C01","203257030060_R08C01"
"chr1-0075","chr1",8700001,8800000,"chr1-0075",-0.037,0.131,0.052,0.054,0.106,0.033,-0.31,0.005,0.116
"chr1-0076","chr1",8800001,8900000,"chr1-0076",0.248,0.253,0.39,0.318,0.201,0.12,-0.243,0.25,0.285
"chr1-0077","chr1",8900001,9000000,"chr1-0077",0.128,0.133,0.199,0.115,0.133,0.096,-0.15,0.139,0.051
"chr1-0078","chr1",9000001,9100000,"chr1-0078",0.044,0.152,0.312,0.108,0.09,0.05,-0.1,0.096,0.076
"chr1-0079","chr1",9100001,9200000,"chr1-0079",0.07,0.116,0.289,0.055,0.058,0.012,0.018,0.157,0.119
"chr1-0080","chr1",9200001,9300000,"chr1-0080",0.164,0.136,0.257,0.119,0.079,0.057,-0.044,0.122,0.09
"chr1-0081","chr1",9300001,9400000,"chr1-0081",0.261,0.091,0.224,0.201,0.069,0.075,0.085,0.191,0.116
"chr1-0082","chr1",9400001,9500000,"chr1-0082",0.057,0.049,-0.008,0.04,0.005,0.062,0.046,0.021,0.005
"chr1-0083","chr1",9500001,9600000,"chr1-0083",-0.022,0.166,0.165,0.062,0.063,0.079,-0.118,0.158,0.005
"chr1-0084","chr1",9600001,9700000,"chr1-0084",0.137,0.113,0.223,0.116,0.053,0.11,0.027,0.222,0.07
"chr1-0085","chr1",9700001,9800000,"chr1-0085",0.176,0.098,0.322,0.148,0.069,0.108,0.054,0.179,0.089
"chr1-0086","chr1",9800001,9900000,"chr1-0086",0.252,0.195,0.4,0.226,0.079,0.061,0.009,0.205,0.123
"chr1-0087","chr1",9900001,10000000,"chr1-0087",0.147,0.133,0.246,0.147,0.095,0.077,-0.031,0.096,0.101
"chr1-0088","chr1",10000001,10100000,"chr1-0088",0.154,0.135,0.073,0.137,0.137,0.09,0,0.179,0.099
"chr1-0089","chr1",10100001,10200000,"chr1-0089",-0.073,0.172,0.011,-0.031,0.08,0.086,-0.378,-0.031,0.007
"chr1-0090","chr1",10200001,10300000,"chr1-0090",0.206,0.251,0.497,0.281,0.151,0.101,-0.181,0.186,0.21
"chr1-0091","chr1",10300001,10400000,"chr1-0091",-0.021,0.146,0.222,0.101,0.106,0.08,-0.264,0.095,0.184
"chr1-0092","chr1",10400001,10500000,"chr1-0092",0.128,0.057,-0.02,0.056,0.057,0.075,-0.168,0.058,0.014
"chr1-0093","chr1",10500001,10600000,"chr1-0093",0.044,0.051,0.033,0.098,0.081,0.026,-0.209,0.053,-0.056
"chr1-0094","chr1",10600001,10700000,"chr1-0094",0.16,0.098,0.468,0.26,0.124,0.086,0.111,0.177,0.166
"chr1-0095","chr1",10700001,10800000,"chr1-0095",0.328,-0.009,0.207,0.166,-0.004,0.096,0.083,0.186,0.095
"chr1-0096","chr1",10800001,10900000,"chr1-0096",0.195,0.055,0.054,0.085,0.035,0.06,-0.027,0.137,0.057
"chr1-0097","chr1",10900001,11000000,"chr1-0097",-0.004,0.004,0.087,0.007,0.023,0.085,-0.059,0.047,0.064
"chr1-0098","chr1",11000001,11100000,"chr1-0098",0.089,0.089,0.048,0.007,0.051,0.037,-0.14,0.099,-0.041
"chr1-0099","chr1",11100001,11200000,"chr1-0099",0.151,0.165,0.155,0.085,0.094,0.113,-0.044,0.15,0.073
"chr1-0100","chr1",11200001,11300000,"chr1-0100",-0.319,0.069,-0.003,-0.133,0.061,-0.03,-0.416,-0.078,-0.043
"chr1-0101","chr1",11300001,11400000,"chr1-0101",0.003,0.057,0.043,0.024,0.036,0.036,-0.201,0.078,-0.052
"chr1-0102","chr1",11400001,11500000,"chr1-0102",-0.187,0.041,0.15,-0.013,0.002,-0.003,-0.322,-0.009,0.024
"chr1-0103","chr1",11500001,11600000,"chr1-0103",-0.087,-0.066,0.008,-0.032,-0.052,-0.003,-0.073,0.002,-0.033
"chr1-0104","chr1",11600001,11700000,"chr1-0104",-0.212,-0.045,-0.128,-0.204,-0.064,-0.062,-0.323,-0.072,-0.091
"chr1-0105","chr1",11700001,11800000,"chr1-0105",0.24,0.044,0.185,0.089,0.031,0.058,0.012,0.168,0.071
"chr1-0106","chr1",11800001,11900000,"chr1-0106",0.127,0.057,0.059,0.054,0.042,0.074,-0.008,0.082,0.025
"chr1-0107","chr1",11900001,12000000,"chr1-0107",0.107,0.112,0.138,0.101,0.064,0.069,-0.055,0.171,0.065
"chr1-0108","chr1",12000001,12100000,"chr1-0108",0.243,0.169,0.369,0.2,0.123,0.112,-0.019,0.251,0.093
"chr1-0109","chr1",12100001,12200000,"chr1-0109",0.14,0.112,0.202,0.011,0.083,0.098,-0.129,0.085,0.087
"chr1-0110","chr1",12200001,12300000,"chr1-0110",0.065,0.024,0.157,0.015,-0.012,0.076,0.019,0.095,-0.002
"chr1-0111","chr1",12300001,12400000,"chr1-0111",-0.237,0.094,-0.039,-0.114,0.062,0.061,-0.538,-0.028,0.03
"chr1-0112","chr1",12400001,12500000,"chr1-0112",-0.133,0.086,-0.131,-0.131,-0.035,-0.076,-0.65,-0.088,-0.148
"chr1-0113","chr1",12500001,12600000,"chr1-0113",-0.032,-0.011,-0.07,-0.088,0.017,-0.043,-0.282,-0.08,-0.016
"chr1-0114","chr1",12600001,12700000,"chr1-0114",0.28,0.052,0.2,0.149,0.095,0.062,0.037,0.135,0.064
"chr1-0115","chr1",12700001,12800000,"chr1-0115",-0.314,0.086,0.024,-0.142,0.001,-0.039,-0.637,-0.087,-0.092
"chr1-0116","chr1",12800001,12900000,"chr1-0116",-0.544,-0.043,-0.104,-0.068,0.028,-0.061,-0.3,-0.118,-0.265
"chr1-0117","chr1",12900001,13052998,"chr1-0117",-0.111,0.089,-0.156,0.236,-0.238,-0.1,-0.413,0.022,-0.126
"chr1-0118","chr1",13607163,13900000,"chr1-0118",-0.001,0.088,0.114,0.104,0.021,0.048,-0.116,0.118,0.082
"chr1-0119","chr1",13900001,14000000,"chr1-0119",-0.028,0.025,0.034,0.029,-0.024,-0.029,-0.34,0.023,-0.027
"chr1-0120","chr1",14000001,14100000,"chr1-0120",-0.05,0.04,-0.035,0.083,0.034,0.065,-0.419,0.067,0.033
"chr1-0121","chr1",14100001,14200000,"chr1-0121",-0.057,-0.014,-0.026,-0.046,-0.044,-0.019,-0.313,-0.1,-0.056
"chr1-0122","chr1",14200001,14300000,"chr1-0122",-0.339,-0.062,-0.285,-0.199,-0.053,-0.072,-0.56,-0.147,-0.152
"chr1-0123","chr1",14300001,14500000,"chr1-0123",-0.33,-0.12,-0.337,-0.46,-0.149,-0.186,-0.585,-0.256,-0.17
"chr1-0124","chr1",14500001,14700000,"chr1-0124",-0.575,-0.155,-0.38,-0.308,-0.102,-0.157,-0.667,-0.364,-0.234
"chr1-0125","chr1",14700001,14900000,"chr1-0125",-0.417,-0.06,-0.31,-0.304,-0.047,-0.137,-0.724,-0.339,-0.157
"chr1-0126","chr1",14900001,15000000,"chr1-0126",0.038,0.017,0.05,-0.013,0.02,0.026,-0.342,0.058,0.079
"chr1-0127","chr1",15000001,15100000,"chr1-0127",-0.312,0.04,-0.136,-0.264,-0.02,-0.022,-0.63,-0.064,-0.105
"chr1-0128","chr1",15100001,15200000,"chr1-0128",-0.338,0.027,-0.023,-0.121,-0.061,-0.054,-0.355,-0.124,-0.131
"chr1-0129","chr1",15200001,15300000,"chr1-0129",0.073,0.005,-0.16,-0.109,0.002,-0.046,-0.167,-0.042,-0.103
"chr1-0130","chr1",15300001,15400000,"chr1-0130",-0.011,0.063,0.076,-0.05,0.005,0.039,-0.136,0.006,-0.048
"chr1-0131","chr1",15400001,15500000,"chr1-0131",-0.059,-0.048,-0.008,-0.119,0.016,-0.001,-0.237,-0.005,-0.032
"chr1-0132","chr1",15500001,15600000,"chr1-0132",-0.044,0.008,0.11,0.028,0.04,-0.016,0.149,-0.004,0.047
"chr1-0133","chr1",15600001,15700000,"chr1-0133",-0.131,0.027,0.048,-0.11,-0.016,-0.024,0.157,-0.034,-0.117
"chr1-0134","chr1",15700001,15800000,"chr1-0134",0.041,0.092,0.203,0.099,0.063,0.023,-0.03,0.168,0.067
"chr1-0135","chr1",15800001,15900000,"chr1-0135",0.232,0.123,0.022,0.18,0.119,0.106,0,0.198,0.196
"chr1-0136","chr1",15900001,16000000,"chr1-0136",0.202,0.096,0.384,0.209,0.092,0.062,-0.168,0.258,0.128
"chr1-0137","chr1",16000001,16100000,"chr1-0137",0.214,0.084,0.221,0.145,0.062,0.087,0.033,0.19,0.095
"chr1-0138","chr1",16100001,16200000,"chr1-0138",0.306,0.142,0.422,0.213,0.152,0.135,0.042,0.282,0.162
"chr1-0139","chr1",16200001,16300000,"chr1-0139",0.153,0.061,0.39,0.209,0.07,0.068,-0.008,0.162,0.136
"chr1-0140","chr1",16300001,16400000,"chr1-0140",0.127,-0.033,0.089,0.032,-0.006,0.019,0.008,0.037,-0.021
"chr1-0141","chr1",16400001,16500000,"chr1-0141",0.184,0.022,0.111,0.127,0.044,0.049,0.068,0.136,0.042
"chr1-0142","chr1",16500001,16600000,"chr1-0142",0.138,0.032,0.161,0.081,0.032,0.031,0.029,0.099,0.024
"chr1-0143","chr1",16600001,16700000,"chr1-0143",0.172,0.121,0.329,0.241,0.137,0.089,-0.085,0.269,0.134
"chr1-0144","chr1",16700001,16800000,"chr1-0144",0.163,0.142,0.051,0.02,0.07,0.075,-0.17,0.07,0.021
"chr1-0145","chr1",16800001,16900000,"chr1-0145",0.051,0.005,0.405,0.131,0.009,-0.008,-0.153,0.149,0.063
"chr1-0146","chr1",16900001,17000000,"chr1-0146",0.12,-0.007,0.176,0.076,-0.055,0.061,-0.215,0.086,0.08
"chr1-0147","chr1",17000001,17125658,"chr1-0147",0.027,-0.026,0.293,0.069,-0.237,-0.059,-0.21,0.005,0.075
"chr1-0148","chr1",17175659,17200000,"chr1-0148",-0.146,-0.151,0.107,0.045,-0.046,0.049,-0.263,-0.041,-0.014
"chr1-0149","chr1",17200001,17300000,"chr1-0149",0.207,0.054,0.302,0.25,0.063,0.111,0.02,0.159,0.09
"chr1-0150","chr1",17300001,17400000,"chr1-0150",0.219,0.098,0.301,0.133,0.053,0.055,0.022,0.195,0.117
"chr1-0151","chr1",17400001,17500000,"chr1-0151",-0.112,0.028,0.081,-0.044,0.003,-0.002,-0.18,-0.003,-0.004
"chr1-0152","chr1",17500001,17600000,"chr1-0152",-0.113,0.006,-0.055,-0.158,-0.031,-0.058,-0.152,-0.094,-0.096
"chr1-0153","chr1",17600001,17700000,"chr1-0153",-0.251,-0.068,-0.357,-0.32,-0.028,0,-0.242,-0.152,-0.193
"chr1-0154","chr1",17700001,17800000,"chr1-0154",0.183,0.16,0.376,0.218,0.099,0.069,0.053,0.202,0.151
"chr1-0155","chr1",17800001,17900000,"chr1-0155",0.032,0.09,0.138,0.049,0.027,-0.014,-0.096,0.05,0.013
"chr1-0156","chr1",17900001,18000000,"chr1-0156",-0.01,-0.019,0.054,0.037,-0.035,-0.004,-0.07,-0.002,-0.032
"chr1-0157","chr1",18000001,18100000,"chr1-0157",-0.102,0.031,0.176,-0.003,-0.013,0.003,-0.253,0.059,-0.006
"chr1-0158","chr1",18100001,18200000,"chr1-0158",-0.122,0.069,-0.074,-0.08,-0.005,-0.015,-0.333,-0.039,-0.093
"chr1-0159","chr1",18200001,18300000,"chr1-0159",-0.495,-0.057,-0.412,-0.34,-0.13,-0.147,-0.653,-0.317,-0.239
"chr1-0160","chr1",18300001,18400000,"chr1-0160",-0.331,-0.068,-0.462,-0.348,-0.117,-0.137,-0.601,-0.271,-0.141
"chr1-0161","chr1",18400001,18500000,"chr1-0161",0.07,0.012,0.09,0.01,-0.029,-0.059,-0.18,0.014,-0.014
"chr1-0162","chr1",18500001,18600000,"chr1-0162",-0.341,-0.148,-0.325,-0.389,-0.149,-0.219,-0.515,-0.341,-0.244
"chr1-0163","chr1",18600001,18700000,"chr1-0163",-0.174,-0.073,-0.056,-0.121,-0.12,-0.107,-0.252,-0.111,-0.174
"chr1-0164","chr1",18700001,18800000,"chr1-0164",-0.331,-0.071,-0.425,-0.379,-0.13,-0.112,-0.508,-0.167,-0.11
"chr1-0165","chr1",18800001,18900000,"chr1-0165",-0.139,-0.063,-0.2,-0.228,-0.057,-0.053,-0.288,-0.093,-0.119
"chr1-0166","chr1",18900001,19000000,"chr1-0166",0.149,0.001,0.134,0.051,-0.042,0.009,-0.085,0.091,-0.046
"chr1-0167","chr1",19000001,19100000,"chr1-0167",-0.199,-0.01,0.04,-0.135,-0.052,-0.058,-0.253,-0.098,-0.083
"chr1-0168","chr1",19100001,19200000,"chr1-0168",-0.149,0.011,0.043,-0.109,-0.041,-0.015,-0.229,-0.05,0.018
"chr1-0169","chr1",19200001,19300000,"chr1-0169",0.16,-0.014,0.074,0.051,-0.013,-0.02,0.017,0.105,0.003
"chr1-0170","chr1",19300001,19400000,"chr1-0170",0.069,0.106,0.051,-0.005,0.131,0.079,-0.095,0.025,0.092
"chr1-0171","chr1",19400001,19500000,"chr1-0171",-0.106,0.077,0.031,0.003,0.051,0.017,-0.256,-0.12,0.01
"chr1-0172","chr1",19500001,19600000,"chr1-0172",0.053,-0.027,-0.171,-0.013,0.03,0.089,-0.278,0.052,-0.015
"chr1-0173","chr1",19600001,19700000,"chr1-0173",0.185,0.038,0.4,0.146,0.046,0.025,-0.032,0.144,0.066
"chr1-0174","chr1",19700001,19800000,"chr1-0174",0.034,0.037,-0.062,-0.035,0.037,0.007,-0.162,-0.049,-0.051
"chr1-0175","chr1",19800001,19900000,"chr1-0175",0.229,0.107,0.336,0.194,0.032,0.019,-0.065,0.168,0.047
"chr1-0176","chr1",19900001,20000000,"chr1-0176",0.299,0.105,0.207,0.175,0.065,0.107,0.002,0.213,0.075
"chr1-0177","chr1",20000001,20100000,"chr1-0177",0.058,-0.016,0.1,-0.029,-0.013,-0.061,-0.206,-0.018,-0.082
"chr1-0178","chr1",20100001,20200000,"chr1-0178",0.133,0.118,0.226,0.018,0.075,0.048,-0.198,0.113,0.065
"chr1-0179","chr1",20200001,20300000,"chr1-0179",-0.014,0.046,0.02,0.026,0.051,0.031,-0.266,0.004,-0.021
"chr1-0180","chr1",20300001,20400000,"chr1-0180",-0.361,-0.074,-0.154,-0.214,-0.083,-0.09,-0.449,-0.207,-0.115
"chr1-0181","chr1",20400001,20500000,"chr1-0181",-0.03,0.006,-0.024,-0.076,-0.033,0.012,-0.117,-0.081,-0.046
"chr1-0182","chr1",20500001,20600000,"chr1-0182",0.01,-0.006,0.148,-0.007,0.01,0.001,-0.251,-0.097,-0.066
"chr1-0183","chr1",20600001,20700000,"chr1-0183",0,0.03,0.096,-0.006,0.003,0.024,-0.118,0.018,0.02
"chr1-0184","chr1",20700001,20800000,"chr1-0184",-0.13,0.05,-0.009,-0.067,0.006,-0.023,-0.377,-0.034,0.005
"chr1-0185","chr1",20800001,20900000,"chr1-0185",0.168,0.017,0.046,0.065,-0.022,-0.01,-0.037,0.105,-0.011
"chr1-0186","chr1",20900001,21000000,"chr1-0186",0.084,0.048,-0.013,0.008,0.027,0.033,-0.097,0.045,-0.018
"chr1-0187","chr1",21000001,21100000,"chr1-0187",0.237,0.035,0.058,0.022,-0.008,0.087,0.026,0.177,0.031
"chr1-0188","chr1",21100001,21200000,"chr1-0188",0.073,0.195,0.255,0.281,0.125,0.106,-0.195,0.349,0.348
"chr1-0189","chr1",21200001,21300000,"chr1-0189",-0.095,0.274,0.15,0.165,0.118,0.233,-0.535,0.16,0.278
"chr1-0190","chr1",21300001,21400000,"chr1-0190",0.021,0.149,0.248,0.223,0.116,0.258,-0.506,0.262,0.245
"chr1-0191","chr1",21400001,21500000,"chr1-0191",0.162,0.301,0.431,0.455,0.196,0.215,-0.363,0.291,0.278
"chr1-0192","chr1",21500001,21600000,"chr1-0192",0.154,0.059,0.069,0.03,0.034,0.026,-0.049,0.076,0.043
"chr1-0193","chr1",21600001,21700000,"chr1-0193",0.17,0.057,-0.027,-0.048,0.032,-0.024,-0.057,-0.026,-0.024
"chr1-0194","chr1",21700001,21800000,"chr1-0194",0.051,0.016,0.338,0.177,0.024,-0.056,-0.144,0.078,0.07
"chr1-0195","chr1",21800001,21900000,"chr1-0195",-0.088,0.089,0.076,-0.052,0.039,0.022,-0.149,0.026,0.018
"chr1-0196","chr1",21900001,22000000,"chr1-0196",0.057,0.004,0.021,0.001,-0.039,0.046,-0.007,0.098,-0.011
"chr1-0197","chr1",22000001,22100000,"chr1-0197",-0.227,0.101,0.12,-0.04,0.083,0.093,-0.547,0.031,0.055
"chr1-0198","chr1",22100001,22200000,"chr1-0198",0.146,0.056,0.151,0.087,0.061,0.08,-0.047,0.137,-0.009
"chr1-0199","chr1",22200001,22300000,"chr1-0199",0.177,0.033,0.12,0.092,0.072,0.115,-0.002,0.094,0.024
"chr1-0200","chr1",22300001,22400000,"chr1-0200",0.126,0.096,0.276,0.129,0.096,0.113,-0.095,0.2,0.044
"chr1-0201","chr1",22400001,22500000,"chr1-0201",-0.063,0.022,0.067,-0.113,0.01,0.019,-0.163,-0.015,0.022
"chr1-0202","chr1",22500001,22600000,"chr1-0202",-0.093,-0.022,-0.132,-0.17,-0.066,0.036,-0.167,-0.069,-0.019
"chr1-0203","chr1",22600001,22700000,"chr1-0203",-0.227,-0.043,-0.072,-0.074,-0.046,-0.096,-0.245,-0.151,-0.052
"chr1-0204","chr1",22700001,22800000,"chr1-0204",-0.034,0.013,0.208,0.071,0.01,-0.038,-0.2,-0.014,-0.061
