"","Chromosome","Start","End","Feature","205125590013_R05C01","205128000013_R03C01","205128000076_R04C01","205240110044_R02C01","205240110063_R03C01"
"chr1-0062","chr1",7400001,7500000,"chr1-0062",0.062,-0.18,0.022,-0.086,-0.188
"chr1-0063","chr1",7500001,7600000,"chr1-0063",0.016,-0.122,-0.019,-0.073,-0.187
"chr1-0064","chr1",7600001,7700000,"chr1-0064",-0.013,-0.118,-0.039,-0.164,-0.198
"chr1-0065","chr1",7700001,7800000,"chr1-0065",0.044,-0.026,0.079,0.029,-0.03
"chr1-0066","chr1",7800001,7900000,"chr1-0066",0.05,0.128,0.155,0.085,0.187
"chr1-0067","chr1",7900001,8000000,"chr1-0067",0.119,0.114,0.162,0.234,0.409
"chr1-0068","chr1",8000001,8100000,"chr1-0068",0.09,0.075,0.108,0.082,0.14
"chr1-0069","chr1",8100001,8200000,"chr1-0069",0.041,0.13,0.069,0.223,0.176
"chr1-0070","chr1",8200001,8300000,"chr1-0070",0.139,0.097,0.138,0.187,0.302
"chr1-0071","chr1",8300001,8400000,"chr1-0071",0.067,0.057,0.094,0.066,0.063
"chr1-0072","chr1",8400001,8500000,"chr1-0072",0.09,-0.014,0.045,0.029,-0.021
"chr1-0073","chr1",8500001,8600000,"chr1-0073",0.125,0.182,0.166,0.184,0.18
"chr1-0074","chr1",8600001,8700000,"chr1-0074",0.142,0.214,0.154,0.219,0.345
"chr1-0075","chr1",8700001,8800000,"chr1-0075",0.048,0.08,0.076,0.147,0.188
"chr1-0076","chr1",8800001,8900000,"chr1-0076",0.081,0.117,0.151,0.251,0.369
"chr1-0077","chr1",8900001,9000000,"chr1-0077",0.06,0.033,0.163,0.153,0.136
"chr1-0078","chr1",9000001,9100000,"chr1-0078",0.112,0.04,0.104,0.116,0.139
"chr1-0079","chr1",9100001,9200000,"chr1-0079",0.05,0.025,0.153,0.148,0.142
"chr1-0080","chr1",9200001,9300000,"chr1-0080",0.019,0.013,0.08,0.028,0.062
"chr1-0081","chr1",9300001,9400000,"chr1-0081",0.119,0.043,0.113,0.097,0.057
"chr1-0082","chr1",9400001,9500000,"chr1-0082",0.02,-0.107,0.065,-0.072,-0.082
"chr1-0083","chr1",9500001,9600000,"chr1-0083",-0.003,0.046,0.1,0.043,0.047
"chr1-0084","chr1",9600001,9700000,"chr1-0084",0.086,0.03,0.12,0.084,-0.002
"chr1-0085","chr1",9700001,9800000,"chr1-0085",0.114,0.07,0.169,0.163,0.086
"chr1-0086","chr1",9800001,9900000,"chr1-0086",0.039,0.065,0.119,0.106,0.143
"chr1-0087","chr1",9900001,10000000,"chr1-0087",0.102,0.064,0.111,0.064,0.088
"chr1-0088","chr1",10000001,10100000,"chr1-0088",0.076,0.059,0.127,0.051,0.156
"chr1-0089","chr1",10100001,10200000,"chr1-0089",0.157,0.184,0.163,0.253,0.259
"chr1-0090","chr1",10200001,10300000,"chr1-0090",0.148,0.122,0.171,0.207,0.366
"chr1-0091","chr1",10300001,10400000,"chr1-0091",0.078,0.185,0.106,0.201,0.246
"chr1-0092","chr1",10400001,10500000,"chr1-0092",0.08,0.05,0.197,0.107,0.101
"chr1-0093","chr1",10500001,10600000,"chr1-0093",0.032,0.048,0.023,0.082,0.045
"chr1-0094","chr1",10600001,10700000,"chr1-0094",0.111,0.111,0.153,0.121,0.064
"chr1-0095","chr1",10700001,10800000,"chr1-0095",0.124,0.035,0.101,0.034,-0.102
"chr1-0096","chr1",10800001,10900000,"chr1-0096",0.079,0.035,0.106,0.067,-0.01
"chr1-0097","chr1",10900001,11000000,"chr1-0097",0.178,0.008,0.093,0.057,0.028
"chr1-0098","chr1",11000001,11100000,"chr1-0098",0.006,-0.044,0.083,-0.007,0.034
"chr1-0099","chr1",11100001,11200000,"chr1-0099",0.071,0.039,0.118,0.103,0.113
"chr1-0100","chr1",11200001,11300000,"chr1-0100",0.022,0.001,-0.03,0.051,0.091
"chr1-0101","chr1",11300001,11400000,"chr1-0101",0.063,-0.056,0.088,0.053,0.09
"chr1-0102","chr1",11400001,11500000,"chr1-0102",0.051,-0.079,-0.013,-0.022,0.057
"chr1-0103","chr1",11500001,11600000,"chr1-0103",0.044,-0.042,0.055,-0.037,-0.141
"chr1-0104","chr1",11600001,11700000,"chr1-0104",-0.012,-0.054,-0.039,-0.035,-0.03
"chr1-0105","chr1",11700001,11800000,"chr1-0105",0.08,-0.031,0.132,0.057,-0.01
"chr1-0106","chr1",11800001,11900000,"chr1-0106",0.074,0.042,0.113,0.038,-0.046
"chr1-0107","chr1",11900001,12000000,"chr1-0107",0.105,0.03,0.171,0.128,0.143
"chr1-0108","chr1",12000001,12100000,"chr1-0108",0.11,0.107,0.183,0.119,0.126
"chr1-0109","chr1",12100001,12200000,"chr1-0109",0.123,-0.014,0.095,0.127,0.118
"chr1-0110","chr1",12200001,12300000,"chr1-0110",0.103,-0.021,0.103,0.046,0.014
"chr1-0111","chr1",12300001,12400000,"chr1-0111",0.147,0.232,0.085,0.172,0.337
"chr1-0112","chr1",12400001,12500000,"chr1-0112",-0.06,-0.013,0.012,-0.042,0.092
"chr1-0113","chr1",12500001,12600000,"chr1-0113",0.027,0.008,-0.043,-0.072,-0.055
"chr1-0114","chr1",12600001,12700000,"chr1-0114",0.065,-0.021,0.036,0.035,-0.001
"chr1-0115","chr1",12700001,12800000,"chr1-0115",-0.026,-0.074,0.043,0.018,0.02
"chr1-0116","chr1",12800001,12900000,"chr1-0116",-0.192,-0.004,0.024,-0.036,0.047
"chr1-0117","chr1",12900001,13052998,"chr1-0117",-0.286,0.109,0.05,0.06,-0.12
"chr1-0118","chr1",13607163,13900000,"chr1-0118",-0.004,-0.009,0.057,0.015,-0.076
"chr1-0119","chr1",13900001,14000000,"chr1-0119",-0.071,-0.016,0.032,-0.047,-0.081
"chr1-0120","chr1",14000001,14100000,"chr1-0120",-0.001,0.072,-0.039,0.068,0.139
"chr1-0121","chr1",14100001,14200000,"chr1-0121",0.034,-0.022,0.01,0.046,0.047
"chr1-0122","chr1",14200001,14300000,"chr1-0122",-0.064,-0.083,-0.002,0.041,-0.013
"chr1-0123","chr1",14300001,14500000,"chr1-0123",-0.095,-0.097,-0.162,-0.058,-0.206
"chr1-0124","chr1",14500001,14700000,"chr1-0124",-0.209,-0.093,-0.222,-0.123,-0.187
"chr1-0125","chr1",14700001,14900000,"chr1-0125",-0.097,-0.068,-0.113,-0.064,-0.063
"chr1-0126","chr1",14900001,15000000,"chr1-0126",-0.054,0.062,0.077,0.075,0.059
"chr1-0127","chr1",15000001,15100000,"chr1-0127",-0.044,0.02,0.02,0.074,0.165
"chr1-0128","chr1",15100001,15200000,"chr1-0128",0.007,-0.043,-0.038,-0.059,-0.084
"chr1-0129","chr1",15200001,15300000,"chr1-0129",0.031,-0.089,-0.008,0.011,-0.031
"chr1-0130","chr1",15300001,15400000,"chr1-0130",0.001,-0.033,0.043,-0.037,-0.107
"chr1-0131","chr1",15400001,15500000,"chr1-0131",-0.017,-0.065,0.001,0.007,-0.133
"chr1-0132","chr1",15500001,15600000,"chr1-0132",0.023,0.018,0.018,0.105,0.014
"chr1-0133","chr1",15600001,15700000,"chr1-0133",-0.028,-0.029,-0.048,0.054,0.065
"chr1-0134","chr1",15700001,15800000,"chr1-0134",0.046,0.026,0.104,0.094,0.099
"chr1-0135","chr1",15800001,15900000,"chr1-0135",0.115,0.149,0.142,0.185,0.241
"chr1-0136","chr1",15900001,16000000,"chr1-0136",0.064,0.085,0.116,0.075,0.099
"chr1-0137","chr1",16000001,16100000,"chr1-0137",0.126,0.086,0.183,0.122,0.05
"chr1-0138","chr1",16100001,16200000,"chr1-0138",0.129,0.101,0.18,0.16,0.17
"chr1-0139","chr1",16200001,16300000,"chr1-0139",0.116,0.062,0.102,0.061,0.035
"chr1-0140","chr1",16300001,16400000,"chr1-0140",0.065,-0.065,0.052,-0.066,-0.195
"chr1-0141","chr1",16400001,16500000,"chr1-0141",0.082,-0.03,0.12,0.015,-0.066
"chr1-0142","chr1",16500001,16600000,"chr1-0142",0.062,-0.004,0.093,0,-0.012
"chr1-0143","chr1",16600001,16700000,"chr1-0143",0.024,0.065,0.13,0.125,0.115
"chr1-0144","chr1",16700001,16800000,"chr1-0144",0.166,-0.002,0.143,0.058,0.072
"chr1-0145","chr1",16800001,16900000,"chr1-0145",0.094,0.052,0.095,-0.005,0.048
"chr1-0146","chr1",16900001,17000000,"chr1-0146",0.127,0.134,0.085,0.05,0.248
"chr1-0147","chr1",17000001,17125658,"chr1-0147",0.092,0.1,0.138,0.088,0.082
"chr1-0148","chr1",17175659,17200000,"chr1-0148",0.001,0.037,0.032,-0.201,-0.045
"chr1-0149","chr1",17200001,17300000,"chr1-0149",0.108,0.13,0.191,-0.006,0.003
"chr1-0150","chr1",17300001,17400000,"chr1-0150",0.082,0.048,0.143,0.051,0.035
"chr1-0151","chr1",17400001,17500000,"chr1-0151",0.028,-0.046,0.049,-0.033,-0.01
"chr1-0152","chr1",17500001,17600000,"chr1-0152",0.005,-0.144,-0.072,-0.128,-0.144
"chr1-0153","chr1",17600001,17700000,"chr1-0153",0.067,-0.125,-0.036,-0.059,-0.081
"chr1-0154","chr1",17700001,17800000,"chr1-0154",0.062,0.032,0.083,0.091,0.076
"chr1-0155","chr1",17800001,17900000,"chr1-0155",0.067,-0.046,0.062,0.043,0.035
"chr1-0156","chr1",17900001,18000000,"chr1-0156",0.031,-0.115,-0.035,-0.074,-0.199
"chr1-0157","chr1",18000001,18100000,"chr1-0157",0.051,-0.042,-0.029,0.014,-0.07
"chr1-0158","chr1",18100001,18200000,"chr1-0158",-0.023,-0.069,-0.076,-0.01,-0.013
"chr1-0159","chr1",18200001,18300000,"chr1-0159",-0.187,-0.154,-0.167,-0.124,-0.168
"chr1-0160","chr1",18300001,18400000,"chr1-0160",-0.261,-0.121,-0.116,-0.109,-0.081
"chr1-0161","chr1",18400001,18500000,"chr1-0161",-0.031,-0.033,-0.015,-0.052,-0.107
"chr1-0162","chr1",18500001,18600000,"chr1-0162",-0.156,-0.279,-0.192,-0.166,-0.345
"chr1-0163","chr1",18600001,18700000,"chr1-0163",-0.053,-0.132,-0.112,-0.084,-0.189
"chr1-0164","chr1",18700001,18800000,"chr1-0164",-0.072,-0.114,-0.156,-0.137,-0.213
"chr1-0165","chr1",18800001,18900000,"chr1-0165",0.007,-0.132,0,-0.098,-0.105
"chr1-0166","chr1",18900001,19000000,"chr1-0166",-0.021,-0.095,-0.017,-0.087,-0.138
"chr1-0167","chr1",19000001,19100000,"chr1-0167",-0.014,-0.038,-0.025,-0.036,-0.068
"chr1-0168","chr1",19100001,19200000,"chr1-0168",0.07,-0.108,0.061,0.033,0.026
"chr1-0169","chr1",19200001,19300000,"chr1-0169",-0.014,-0.07,0.045,-0.056,-0.164
"chr1-0170","chr1",19300001,19400000,"chr1-0170",0.147,0.082,0.101,0.156,0.063
"chr1-0171","chr1",19400001,19500000,"chr1-0171",0.016,0.027,-0.024,0.036,0.071
"chr1-0172","chr1",19500001,19600000,"chr1-0172",0.014,0.049,0.057,0.005,-0.019
"chr1-0173","chr1",19600001,19700000,"chr1-0173",0.072,0.044,0.086,0.023,0.08
"chr1-0174","chr1",19700001,19800000,"chr1-0174",0.083,0.071,0.032,0.093,0.14
"chr1-0175","chr1",19800001,19900000,"chr1-0175",0.019,0.085,0.134,0.084,0.032
"chr1-0176","chr1",19900001,20000000,"chr1-0176",0.077,0.055,0.182,0.152,0.154
"chr1-0177","chr1",20000001,20100000,"chr1-0177",0.028,-0.054,0.009,-0.06,-0.001
"chr1-0178","chr1",20100001,20200000,"chr1-0178",0.09,0.089,0.105,0.144,0.204
"chr1-0179","chr1",20200001,20300000,"chr1-0179",0.012,-0.006,0.089,0.053,0.047
"chr1-0180","chr1",20300001,20400000,"chr1-0180",-0.052,-0.09,-0.047,-0.014,0.011
"chr1-0181","chr1",20400001,20500000,"chr1-0181",0.02,-0.136,0.006,-0.014,-0.024
"chr1-0182","chr1",20500001,20600000,"chr1-0182",-0.025,0.01,0.049,-0.008,-0.006
"chr1-0183","chr1",20600001,20700000,"chr1-0183",0.061,-0.007,0.053,0.057,0.043
"chr1-0184","chr1",20700001,20800000,"chr1-0184",0.002,-0.041,-0.007,-0.011,-0.038
"chr1-0185","chr1",20800001,20900000,"chr1-0185",-0.029,-0.043,0.093,-0.002,0.004
"chr1-0186","chr1",20900001,21000000,"chr1-0186",0.044,-0.001,0.052,-0.001,0.023
"chr1-0187","chr1",21000001,21100000,"chr1-0187",0.122,-0.004,0.155,0.021,-0.003
"chr1-0188","chr1",21100001,21200000,"chr1-0188",0.051,0.158,0.207,0.333,0.333
"chr1-0189","chr1",21200001,21300000,"chr1-0189",0.292,0.261,0.282,0.289,0.566
"chr1-0190","chr1",21300001,21400000,"chr1-0190",0.126,0.297,0.224,0.384,0.508
"chr1-0191","chr1",21400001,21500000,"chr1-0191",0.12,0.21,0.225,0.398,0.526
"chr1-0192","chr1",21500001,21600000,"chr1-0192",0.035,-0.001,0.028,0.024,-0.01
"chr1-0193","chr1",21600001,21700000,"chr1-0193",0.023,-0.038,0.015,-0.018,-0.098
"chr1-0194","chr1",21700001,21800000,"chr1-0194",0.011,0.04,0.097,0.023,-0.058
"chr1-0195","chr1",21800001,21900000,"chr1-0195",0.029,-0.031,0.036,0.015,0.067
"chr1-0196","chr1",21900001,22000000,"chr1-0196",0.064,-0.052,0.083,-0.009,-0.1
"chr1-0197","chr1",22000001,22100000,"chr1-0197",0.119,0.113,0.221,0.269,0.377
"chr1-0198","chr1",22100001,22200000,"chr1-0198",0.077,0.033,0.128,0.104,0.054
"chr1-0199","chr1",22200001,22300000,"chr1-0199",0.093,-0.012,0.15,0.057,0.002
"chr1-0200","chr1",22300001,22400000,"chr1-0200",0.134,0.072,0.161,0.132,0.173
"chr1-0201","chr1",22400001,22500000,"chr1-0201",0.011,-0.034,0.016,-0.003,-0.088
"chr1-0202","chr1",22500001,22600000,"chr1-0202",0.083,-0.078,0.008,-0.003,-0.051
"chr1-0203","chr1",22600001,22700000,"chr1-0203",-0.045,-0.107,-0.047,-0.106,-0.244
"chr1-0204","chr1",22700001,22800000,"chr1-0204",-0.035,0.014,-0.067,0.005,0.098
"chr1-0205","chr1",22800001,22900000,"chr1-0205",0.035,-0.042,-0.002,-0.054,-0.048
"chr1-0206","chr1",22900001,23000000,"chr1-0206",0.053,-0.017,0.042,-0.008,-0.037
"chr1-0207","chr1",23000001,23100000,"chr1-0207",-0.002,-0.05,0.074,-0.014,-0.043
"chr1-0208","chr1",23100001,23200000,"chr1-0208",-0.036,-0.071,-0.056,-0.104,-0.16
"chr1-0209","chr1",23200001,23300000,"chr1-0209",-0.009,-0.063,0.021,-0.028,-0.106
"chr1-0210","chr1",23300001,23400000,"chr1-0210",0.023,0.012,0.128,0.095,0.213
"chr1-0211","chr1",23400001,23500000,"chr1-0211",0.035,0.031,0.035,0.081,0.11
"chr1-0212","chr1",23500001,23600000,"chr1-0212",0.011,0.093,0.145,0.133,0.163
"chr1-0213","chr1",23600001,23700000,"chr1-0213",0.015,0.001,-0.014,-0.024,-0.04
"chr1-0214","chr1",23700001,23800000,"chr1-0214",0.055,0.031,0.155,0.048,0.115
"chr1-0215","chr1",23800001,23900000,"chr1-0215",0.036,0.006,0.074,0.033,0.06
"chr1-0216","chr1",23900001,24000000,"chr1-0216",0.049,0.023,0.111,0.1,0.165
"chr1-0217","chr1",24000001,24100000,"chr1-0217",0.054,0.006,0.092,0.077,0.142
"chr1-0218","chr1",24100001,24200000,"chr1-0218",0.079,-0.019,0.141,0.024,0.014
"chr1-0219","chr1",24200001,24300000,"chr1-0219",0.088,0.066,0.137,0.085,0.123
"chr1-0220","chr1",24300001,24400000,"chr1-0220",0.04,0.084,0.104,0.093,0.183
"chr1-0221","chr1",24400001,24500000,"chr1-0221",0.017,-0.085,0.014,-0.019,-0.052
"chr1-0222","chr1",24500001,24600000,"chr1-0222",0.099,-0.018,0.131,0.072,0.196
"chr1-0223","chr1",24600001,24700000,"chr1-0223",-0.03,-0.081,-0.133,-0.053,-0.076
"chr1-0224","chr1",24700001,24800000,"chr1-0224",0.018,-0.045,0.028,0.035,0.022
"chr1-0225","chr1",24800001,24900000,"chr1-0225",0.102,0.116,0.135,0.154,0.27
"chr1-0226","chr1",24900001,25000000,"chr1-0226",0.1,0.105,0.128,0.159,0.179
"chr1-0227","chr1",25000001,25100000,"chr1-0227",0.036,0.059,0.155,0.147,0.173
"chr1-0228","chr1",25100001,25200000,"chr1-0228",0.132,0.143,0.168,0.173,0.233
"chr1-0229","chr1",25200001,25300000,"chr1-0229",0.094,-0.004,0.12,0.049,-0.041
"chr1-0230","chr1",25300001,25400000,"chr1-0230",0.047,-0.076,-0.02,-0.054,-0.138
"chr1-0231","chr1",25400001,25500000,"chr1-0231",0.012,-0.008,-0.029,0.065,0.147
"chr1-0232","chr1",25500001,25600000,"chr1-0232",0.025,0.003,0.087,-0.009,0.014
"chr1-0233","chr1",25600001,25700000,"chr1-0233",-0.14,0.028,-0.006,-0.111,-0.01
"chr1-0234","chr1",25700001,25800000,"chr1-0234",-0.05,0.014,0.018,0.038,0.093
"chr1-0235","chr1",25800001,25900000,"chr1-0235",-0.002,-0.072,0.033,0.012,-0.019
"chr1-0236","chr1",25900001,26000000,"chr1-0236",0.077,0.026,0.103,0.063,0.116
"chr1-0237","chr1",26000001,26100000,"chr1-0237",-0.025,-0.066,-0.058,-0.097,-0.154
"chr1-0238","chr1",26100001,26200000,"chr1-0238",0.103,-0.033,0.153,0.048,0.101
"chr1-0239","chr1",26200001,26300000,"chr1-0239",0.037,0.036,0.115,0.076,0.088
"chr1-0240","chr1",26300001,26400000,"chr1-0240",0.014,-0.098,-0.039,-0.062,-0.141
"chr1-0241","chr1",26400001,26500000,"chr1-0241",0.069,-0.007,0.045,0.044,0.056
"chr1-0242","chr1",26500001,26600000,"chr1-0242",0.074,0.015,0.082,0.043,0.064
"chr1-0243","chr1",26600001,26700000,"chr1-0243",0.077,-0.017,0.095,0.008,-0.015
"chr1-0244","chr1",26700001,26800000,"chr1-0244",-0.01,-0.024,0.029,0.001,-0.023
"chr1-0245","chr1",26800001,26900000,"chr1-0245",0.049,-0.105,0.005,-0.029,-0.004
"chr1-0246","chr1",26900001,27000000,"chr1-0246",0.066,0.098,0.207,0.241,0.226
"chr1-0247","chr1",27000001,27100000,"chr1-0247",0.042,0.087,0.066,0.118,0.149
"chr1-0248","chr1",27100001,27200000,"chr1-0248",0.08,-0.009,0.097,0.018,-0.042
"chr1-0249","chr1",27200001,27300000,"chr1-0249",0.065,0.017,0.099,0.069,0.068
"chr1-0250","chr1",27300001,27400000,"chr1-0250",0.093,-0.016,0.097,0.062,0.047
"chr1-0251","chr1",27400001,27500000,"chr1-0251",0.05,-0.003,0.021,0.097,0.091
"chr1-0252","chr1",27500001,27600000,"chr1-0252",0.11,0.156,0.235,0.208,0.223
"chr1-0253","chr1",27600001,27700000,"chr1-0253",0.012,-0.038,0.051,-0.013,-0.034
"chr1-0254","chr1",27700001,27800000,"chr1-0254",0.114,0.08,0.149,0.088,0.075
"chr1-0255","chr1",27800001,27900000,"chr1-0255",0.042,-0.016,0.088,-0.035,-0.161
"chr1-0256","chr1",27900001,28000000,"chr1-0256",-0.014,-0.077,0.018,0.021,0.011
"chr1-0257","chr1",28000001,28100000,"chr1-0257",0.012,0.061,0.095,0.06,0.098
"chr1-0258","chr1",28100001,28200000,"chr1-0258",0.108,0.087,0.123,0.09,0.15
"chr1-0259","chr1",28200001,28300000,"chr1-0259",0.043,-0.038,0.072,0.039,0.045
"chr1-0260","chr1",28300001,28400000,"chr1-0260",0.158,0.211,0.04,0.207,0.268
"chr1-0261","chr1",28400001,28500000,"chr1-0261",0.077,0.06,0.096,0.132,0.257
"chr1-0262","chr1",28500001,28600000,"chr1-0262",0.118,0.08,0.174,0.09,0.133
"chr1-0263","chr1",28600001,28700000,"chr1-0263",0.053,-0.037,0.159,0.076,0.149
"chr1-0264","chr1",28700001,28800000,"chr1-0264",0.035,0.128,0.074,0.207,0.363
"chr1-0265","chr1",28800001,28900000,"chr1-0265",0.074,0.031,0.112,0.142,0.153
"chr1-0266","chr1",28900001,29000000,"chr1-0266",0.097,0.044,0.164,0.097,0.118
"chr1-0267","chr1",29000001,29100000,"chr1-0267",0.137,0.141,0.157,0.172,0.326
"chr1-0268","chr1",29100001,29200000,"chr1-0268",0.021,0.044,0.079,0.059,0.084
"chr1-0269","chr1",29200001,29400000,"chr1-0269",0.07,0.048,0.128,0.168,0.164
"chr1-0270","chr1",29400001,29500000,"chr1-0270",0.039,0.164,0.189,0.221,0.179
"chr1-0271","chr1",29500001,29600000,"chr1-0271",0.003,0.007,0.054,0.029,-0.04
"chr1-0272","chr1",29600001,29700000,"chr1-0272",-0.06,-0.124,-0.107,-0.108,-0.175
"chr1-0273","chr1",29700001,29800000,"chr1-0273",-0.089,-0.165,-0.163,-0.17,-0.374
"chr1-0274","chr1",29800001,29878082,"chr1-0274",0.078,-0.064,0.033,-0.059,-0.124
"chr1-0275","chr1",30028083,30200000,"chr1-0275",-0.034,-0.092,-0.124,-0.091,-0.084
"chr1-0276","chr1",30200001,30300000,"chr1-0276",-0.048,-0.175,-0.093,-0.168,-0.405
"chr1-0277","chr1",30300001,30500000,"chr1-0277",-0.071,-0.128,-0.119,-0.094,-0.096
"chr1-0278","chr1",30500001,30600000,"chr1-0278",-0.018,-0.144,-0.061,-0.103,-0.12
"chr1-0279","chr1",30600001,30700000,"chr1-0279",-0.003,-0.095,0.001,0.053,0.051
