"","Chromosome","Start","End","Feature","203219650162_R08C01","203219650188_R08C01","203219750019_R05C01","203219750053_R05C01","203219760009_R08C01","203220070150_R02C01","203225140266_R03C01","203257030015_R06C01","203257030060_R08C01"
"chr1-030","chr1",26000001,27000000,"chr1-030",0.174,0.038,0.101,0.061,0.038,0.051,0.004,0.112,0.025
"chr1-031","chr1",27000001,28000000,"chr1-031",0.242,0.049,0.169,0.116,0.071,0.07,0.075,0.137,0.05
"chr1-032","chr1",28000001,29000000,"chr1-032",0.173,0.143,0.206,0.147,0.107,0.079,0.17,0.168,0.079
"chr1-033","chr1",29000001,29878082,"chr1-033",0.086,0.042,0.127,0.092,0.041,0.043,0.125,0.118,0.037
"chr1-034","chr1",30028083,31000000,"chr1-034",-0.108,-0.046,-0.145,-0.114,-0.063,-0.035,0.059,-0.12,-0.097
"chr1-035","chr1",31000001,32000000,"chr1-035",0.115,0.015,0.04,0.033,0.025,0.032,0.136,0.078,0.018
"chr1-036","chr1",32000001,33000000,"chr1-036",0.243,0.029,0.114,0.092,0.042,0.052,0.22,0.135,0.008
"chr1-037","chr1",33000001,34000000,"chr1-037",0.154,0.053,0.111,0.107,0.038,0.05,0.181,0.131,0.055
"chr1-038","chr1",34000001,35000000,"chr1-038",-0.197,-0.06,-0.158,-0.117,-0.052,-0.033,-0.018,-0.094,-0.061
"chr1-039","chr1",35000001,36000000,"chr1-039",0.079,0.047,0.067,0.073,0.035,0.031,0.13,0.125,0.026
"chr1-040","chr1",36000001,37000000,"chr1-040",0.211,0.051,0.177,0.149,0.063,0.073,0.199,0.161,0.057
"chr1-041","chr1",37000001,38000000,"chr1-041",-0.102,-0.037,-0.112,-0.078,-0.057,-0.032,0.058,-0.058,-0.038
"chr1-042","chr1",38000001,39000000,"chr1-042",0.087,0.031,-0.012,0.015,0.018,0.025,0.12,0.051,-0.018
"chr1-043","chr1",39000001,40000000,"chr1-043",0.096,0.068,0.133,0.112,0.046,0.057,0.138,0.107,0.074
"chr1-044","chr1",40000001,41000000,"chr1-044",0.118,0.054,0.089,0.071,0.039,0.061,0.123,0.107,0.027
"chr1-045","chr1",41000001,42000000,"chr1-045",0.207,0.015,0.044,0.055,0.025,0.008,0.183,0.076,0.008
"chr1-046","chr1",42000001,43000000,"chr1-046",-0.044,-0.001,-0.097,-0.052,-0.021,-0.013,-0.009,-0.072,-0.075
"chr1-047","chr1",43000001,44000000,"chr1-047",0.151,0.012,0.023,0.034,0.005,0.024,0.144,0.073,0.017
"chr1-048","chr1",44000001,45000000,"chr1-048",0.171,-0.015,0.038,0.017,-0.001,0.037,0.158,0.074,-0.012
"chr1-049","chr1",45000001,46000000,"chr1-049",0.252,0.068,0.153,0.144,0.06,0.051,0.229,0.162,0.059
"chr1-050","chr1",46000001,47000000,"chr1-050",0.145,0.041,0.105,0.067,0.041,0.049,0.119,0.091,0.036
"chr1-051","chr1",47000001,48000000,"chr1-051",0.091,0.001,0.092,-0.001,0.007,0.016,0.107,0.038,-0.018
"chr1-052","chr1",48000001,49000000,"chr1-052",-0.096,-0.057,-0.155,-0.139,-0.038,-0.043,0.014,-0.107,-0.085
"chr1-053","chr1",49000001,50000000,"chr1-053",-0.124,-0.08,-0.106,-0.124,-0.08,-0.069,-0.107,-0.103,-0.113
"chr1-054","chr1",50000001,51000000,"chr1-054",-0.004,-0.094,-0.016,-0.083,-0.061,-0.03,-0.011,-0.032,-0.04
"chr1-055","chr1",51000001,52000000,"chr1-055",0.109,0.045,0.135,0.105,0.055,0.07,0.067,0.139,0.1
"chr1-056","chr1",52000001,53000000,"chr1-056",0.035,0.029,0.061,0.083,0.05,0.045,0.016,0.104,0.033
"chr1-057","chr1",53000001,54000000,"chr1-057",0.166,0.038,0.164,0.096,0.037,0.046,0.162,0.117,0.043
"chr1-058","chr1",54000001,55000000,"chr1-058",0.104,0.04,0.017,0.041,0.046,0.022,0.15,0.057,0.008
"chr1-059","chr1",55000001,56000000,"chr1-059",0.019,-0.03,-0.017,-0.05,0.001,-0.009,0.081,-0.035,-0.048
"chr1-060","chr1",56000001,57000000,"chr1-060",-0.36,-0.132,-0.406,-0.262,-0.095,-0.113,-0.302,-0.265,-0.2
"chr1-061","chr1",57000001,58000000,"chr1-061",-0.146,-0.053,-0.2,-0.122,-0.065,-0.043,-0.213,-0.156,-0.05
"chr1-062","chr1",58000001,59000000,"chr1-062",-0.333,-0.116,-0.163,-0.242,-0.106,-0.092,-0.189,-0.237,-0.112
"chr1-063","chr1",59000001,60000000,"chr1-063",0.012,-0.016,-0.144,-0.022,0.002,-0.017,0.077,-0.033,-0.014
"chr1-064","chr1",60000001,61000000,"chr1-064",-0.214,-0.074,-0.159,-0.135,-0.037,-0.076,-0.121,-0.155,-0.069
"chr1-065","chr1",61000001,62000000,"chr1-065",-0.036,0.001,-0.042,-0.02,0.039,0.021,0.015,0.029,0.061
"chr1-066","chr1",62000001,63000000,"chr1-066",0.022,0.054,0.158,0.022,0.033,0.043,-0.07,0.053,0.046
"chr1-067","chr1",63000001,64000000,"chr1-067",0.07,0.005,0.071,0.044,0.04,0.057,0.062,0.103,0.042
"chr1-068","chr1",64000001,65000000,"chr1-068",-0.218,-0.049,-0.124,-0.075,-0.052,-0.046,-0.079,-0.08,-0.047
"chr1-069","chr1",65000001,66000000,"chr1-069",-0.033,0.046,0.054,0.011,0.035,0.025,0.003,0.038,0.017
"chr1-070","chr1",66000001,67000000,"chr1-070",-0.229,-0.125,-0.179,-0.149,-0.058,-0.075,-0.149,-0.144,-0.091
"chr1-071","chr1",67000001,68000000,"chr1-071",-0.058,-0.018,0.059,0.02,0.021,0.033,-0.063,0.023,0.04
"chr1-072","chr1",68000001,69000000,"chr1-072",-0.063,-0.047,-0.131,-0.088,-0.018,-0.037,0.007,-0.082,-0.073
"chr1-073","chr1",69000001,70000000,"chr1-073",-0.266,-0.053,-0.18,-0.11,-0.056,-0.126,-0.254,-0.22,-0.084
"chr1-074","chr1",70000001,71000000,"chr1-074",0.01,-0.027,0.024,0.083,0.032,0.047,0.015,0.107,0.062
"chr1-075","chr1",71000001,72000000,"chr1-075",-0.11,-0.099,-0.162,-0.058,-0.036,-0.05,-0.059,-0.003,-0.016
"chr1-076","chr1",72000001,73000000,"chr1-076",-0.161,-0.169,-0.135,-0.108,-0.101,-0.086,-0.229,-0.157,-0.06
"chr1-077","chr1",73000001,74000000,"chr1-077",-0.159,-0.057,-0.097,-0.161,-0.098,-0.042,-0.207,-0.238,-0.015
"chr1-078","chr1",74000001,75000000,"chr1-078",-0.251,-0.101,-0.298,-0.125,-0.029,0.002,-0.217,-0.172,-0.103
"chr1-079","chr1",75000001,76000000,"chr1-079",-0.166,-0.159,-0.255,-0.134,-0.071,-0.073,-0.109,-0.117,-0.131
"chr1-080","chr1",76000001,77000000,"chr1-080",-0.117,-0.033,-0.048,-0.069,-0.019,-0.043,-0.127,-0.082,-0.036
"chr1-081","chr1",77000001,78000000,"chr1-081",-0.201,-0.117,-0.062,-0.143,-0.067,-0.057,-0.207,-0.079,-0.041
"chr1-082","chr1",78000001,79000000,"chr1-082",0.022,0.021,0.111,0.076,0.043,0.067,-0.005,0.096,0.057
"chr1-083","chr1",79000001,80000000,"chr1-083",-0.315,-0.144,-0.214,-0.219,-0.109,-0.067,-0.25,-0.206,-0.067
"chr1-084","chr1",80000001,81000000,"chr1-084",-0.232,-0.124,-0.188,-0.119,-0.113,-0.12,-0.168,-0.174,-0.015
"chr1-085","chr1",81000001,82000000,"chr1-085",-0.271,-0.121,-0.13,-0.145,-0.036,-0.039,-0.287,-0.089,0.009
"chr1-086","chr1",82000001,83000000,"chr1-086",-0.206,-0.106,-0.217,-0.111,-0.045,0.003,-0.191,-0.049,-0.046
"chr1-087","chr1",83000001,84000000,"chr1-087",-0.309,-0.118,-0.211,-0.132,-0.066,-0.092,-0.265,-0.131,-0.047
"chr1-088","chr1",84000001,85000000,"chr1-088",-0.115,-0.074,-0.104,-0.046,-0.022,-0.038,-0.09,-0.064,-0.014
"chr1-089","chr1",85000001,86000000,"chr1-089",0.005,-0.012,-0.048,0.008,0,-0.003,-0.015,-0.032,0.006
"chr1-090","chr1",86000001,87000000,"chr1-090",-0.025,-0.057,-0.048,-0.006,0.001,-0.04,0.02,-0.068,-0.003
"chr1-091","chr1",87000001,88000000,"chr1-091",-0.05,-0.056,-0.068,-0.075,-0.034,-0.018,-0.075,-0.015,-0.041
"chr1-092","chr1",88000001,89000000,"chr1-092",-0.237,-0.103,-0.128,-0.084,-0.043,-0.049,-0.252,-0.049,0.002
"chr1-093","chr1",89000001,90000000,"chr1-093",-0.052,-0.024,-0.087,0.031,0.028,0.003,-0.088,0.03,0.072
"chr1-094","chr1",90000001,91000000,"chr1-094",-0.119,-0.046,-0.05,-0.077,-0.005,-0.016,-0.094,-0.088,-0.072
"chr1-095","chr1",91000001,92000000,"chr1-095",0.091,-0.044,-0.006,-0.02,-0.004,0.042,0.042,0.04,0.017
"chr1-096","chr1",92000001,93000000,"chr1-096",0.123,-0.002,0.1,0.094,0.011,0.035,0.088,0.085,0.005
"chr1-097","chr1",93000001,94000000,"chr1-097",0.109,0.017,0.152,0.134,0.034,0.065,0.092,0.146,0.055
"chr1-098","chr1",94000001,95000000,"chr1-098",-0.047,-0.024,-0.064,-0.048,0.006,-0.024,0,-0.043,-0.028
"chr1-099","chr1",95000001,96000000,"chr1-099",-0.034,-0.008,-0.031,-0.01,-0.001,0.008,0.008,-0.03,0.002
"chr1-100","chr1",96000001,97000000,"chr1-100",-0.377,-0.173,-0.149,-0.217,-0.072,-0.094,-0.402,-0.126,-0.073
"chr1-101","chr1",97000001,98000000,"chr1-101",-0.152,-0.041,-0.005,-0.044,0.005,0.015,-0.281,-0.064,0.007
"chr1-102","chr1",98000001,99000000,"chr1-102",-0.07,-0.129,-0.239,-0.109,-0.038,-0.008,-0.139,-0.016,-0.016
"chr1-103","chr1",99000001,100000000,"chr1-103",-0.002,-0.069,-0.07,-0.028,-0.02,0.014,-0.059,0.019,0.03
"chr1-104","chr1",100000001,101000000,"chr1-104",-0.018,-0.005,0.026,0.057,0.04,0.043,0.03,0.061,0.041
"chr1-105","chr1",101000001,102000000,"chr1-105",-0.149,-0.032,-0.126,-0.04,0.002,0.015,-0.12,-0.088,-0.035
"chr1-106","chr1",102000001,103000000,"chr1-106",-0.537,-0.151,-0.284,-0.23,-0.115,-0.128,-0.352,-0.145,-0.149
"chr1-107","chr1",103000001,103863906,"chr1-107",0.062,-0.014,0.281,0.05,-0.046,-0.059,0.088,0.049,0.066
"chr1-108","chr1",103913907,105000000,"chr1-108",-0.145,-0.027,-0.01,0.086,-0.01,-0.058,-0.097,-0.015,0.08
"chr1-109","chr1",105000001,106000000,"chr1-109",-0.175,-0.13,-0.213,-0.155,-0.058,-0.078,-0.128,-0.107,-0.051
"chr1-110","chr1",106000001,107000000,"chr1-110",-0.268,-0.077,-0.142,-0.186,-0.12,-0.088,-0.102,-0.161,-0.139
"chr1-111","chr1",107000001,108000000,"chr1-111",0.127,-0.019,0.057,0.098,-0.036,0.021,-0.019,0.086,0.016
"chr1-112","chr1",108000001,109000000,"chr1-112",-0.193,-0.01,-0.174,-0.151,-0.024,0.003,-0.188,-0.127,-0.077
"chr1-113","chr1",109000001,110000000,"chr1-113",0.142,0.046,0.057,0.101,0.046,0.044,0.134,0.115,0.025
"chr1-114","chr1",110000001,111000000,"chr1-114",0.112,-0.032,-0.053,-0.028,-0.003,-0.012,0.189,0.022,-0.028
"chr1-115","chr1",111000001,112000000,"chr1-115",-0.144,-0.108,-0.263,-0.169,-0.085,-0.041,-0.081,-0.128,-0.115
"chr1-116","chr1",112000001,113000000,"chr1-116",-0.001,-0.036,-0.075,-0.021,-0.012,-0.001,0.035,-0.002,-0.016
"chr1-117","chr1",113000001,114000000,"chr1-117",0.196,0.03,0.078,0.095,0.06,0.062,0.177,0.117,0.032
"chr1-118","chr1",114000001,115000000,"chr1-118",-0.008,-0.02,-0.027,-0.002,0,0.012,0.029,0.046,0.01
"chr1-119","chr1",115000001,116000000,"chr1-119",0.077,-0.04,-0.002,0.019,0.001,-0.007,0.038,0.02,0.013
"chr1-120","chr1",116000001,117000000,"chr1-120",-0.066,-0.025,-0.101,-0.039,-0.012,-0.012,-0.014,-0.046,-0.035
"chr1-121","chr1",117000001,118000000,"chr1-121",-0.072,-0.02,-0.068,-0.064,-0.017,-0.022,-0.016,-0.031,-0.017
"chr1-122","chr1",118000001,119000000,"chr1-122",-0.115,-0.106,-0.329,-0.199,-0.074,-0.074,-0.032,-0.183,-0.144
"chr1-123","chr1",119000001,120000000,"chr1-123",0.07,-0.032,0.092,0.011,-0.031,0.013,0.046,-0.049,-0.019
"chr1-124","chr1",120000001,120697156,"chr1-124",-0.07,-0.033,-0.002,-0.031,-0.01,-0.035,-0.056,-0.026,-0.016
"chr1-125","chr1",120747157,120936695,"chr1-125",0.166,-0.039,0.171,0.183,0.064,0.002,0.035,0.142,0.059
"chr1-126","chr1",121086696,121485434,"chr1-126",-0.025,-0.031,0.516,0.187,0.001,-0.029,-0.084,0.062,0.093
"chr1-127","chr1",142535435,142731022,"chr1-127",-0.253,-0.03,0.297,0.055,0.032,-0.043,-0.186,0.124,0.042
"chr1-128","chr1",143117762,143292816,"chr1-128",-0.078,0.012,0.459,0.197,0.023,-0.044,-0.044,0.207,0.242
"chr1-129","chr1",143342817,143544525,"chr1-129",-0.28,-0.127,0.176,0.128,0.035,-0.046,-0.235,-0.089,0.089
"chr1-130","chr1",143871003,144095783,"chr1-130",-0.128,-0.13,0.167,0.029,-0.001,-0.053,-0.133,0.025,0.094
"chr1-131","chr1",144451745,144622413,"chr1-131",0.005,-0.013,0.24,0.166,0.012,0.021,0.047,0.105,0.039
"chr1-132","chr1",144810725,145000000,"chr1-132",-0.194,-0.034,-0.018,0.011,-0.007,-0.06,-0.113,-0.018,-0.033
"chr1-133","chr1",145000001,145833118,"chr1-133",0.138,0.052,0.066,0.086,0.04,0.037,0.138,0.087,0.047
"chr1-134","chr1",146303300,147000000,"chr1-134",-0.035,-0.022,0.107,0.045,0.006,-0.021,0.077,0.037,0.006
"chr1-135","chr1",147000001,148026038,"chr1-135",0.005,0.009,0.108,0.057,-0.004,-0.009,0.031,0.07,0.045
"chr1-136","chr1",148176039,148361358,"chr1-136",0.189,0.035,0.481,0.216,-0.023,-0.036,0.108,0.133,0.075
"chr1-137","chr1",148511359,148684147,"chr1-137",0.02,-0.01,0.267,0.056,0.035,0.029,0.013,0.08,0.037
"chr1-138","chr1",148734148,148954460,"chr1-138",0.051,-0.127,0.399,0.201,0.011,0.044,-0.042,0.098,0.139
"chr1-139","chr1",149004461,149459645,"chr1-139",-0.252,-0.915,0.168,-0.083,-0.074,-0.102,-0.088,-0.467,0.004
"chr1-140","chr1",149509646,150000000,"chr1-140",0.157,-0.027,0.026,0.064,0.023,-0.007,0.155,0.02,0.038
"chr1-141","chr1",150000001,151000000,"chr1-141",0.263,0.107,0.172,0.159,0.104,0.084,0.263,0.196,0.092
"chr1-142","chr1",151000001,152000000,"chr1-142",0.178,0.059,0.13,0.074,0.053,0.053,0.167,0.126,0.056
"chr1-143","chr1",152000001,153000000,"chr1-143",-0.224,-0.05,-0.178,-0.187,-0.085,-0.074,-0.108,-0.145,-0.077
"chr1-144","chr1",153000001,154000000,"chr1-144",0.122,0.023,0.015,0.023,0.027,0.004,0.178,0.059,-0.001
"chr1-145","chr1",154000001,155000000,"chr1-145",0.211,0.065,0.069,0.107,0.072,0.046,0.198,0.104,0.041
"chr1-146","chr1",155000001,156000000,"chr1-146",0.271,0.053,0.144,0.148,0.074,0.081,0.229,0.18,0.065
"chr1-147","chr1",156000001,157000000,"chr1-147",0.242,0.049,0.133,0.12,0.041,0.048,0.25,0.149,0.038
"chr1-148","chr1",157000001,158000000,"chr1-148",-0.14,-0.018,-0.101,-0.114,-0.011,-0.062,-0.03,-0.063,-0.031
"chr1-149","chr1",158000001,159000000,"chr1-149",-0.348,-0.067,-0.268,-0.197,-0.065,-0.07,-0.184,-0.162,-0.106
"chr1-150","chr1",159000001,160000000,"chr1-150",-0.153,-0.093,-0.182,-0.169,-0.101,-0.074,-0.029,-0.127,-0.129
"chr1-151","chr1",160000001,161000000,"chr1-151",-0.056,0.012,-0.051,-0.056,0.008,-0.013,0.014,-0.018,-0.015
"chr1-152","chr1",161000001,162000000,"chr1-152",0.114,0.037,0.04,0.065,0.032,0.001,0.163,0.06,0.04
"chr1-153","chr1",162000001,163000000,"chr1-153",-0.1,-0.035,-0.154,-0.108,-0.003,-0.03,-0.05,-0.089,-0.031
"chr1-154","chr1",163000001,164000000,"chr1-154",-0.33,-0.09,-0.213,-0.082,-0.056,-0.041,-0.196,-0.146,-0.04
"chr1-155","chr1",164000001,165000000,"chr1-155",-0.035,0.006,-0.122,-0.015,-0.02,-0.019,0.029,-0.054,0.009
"chr1-156","chr1",165000001,166000000,"chr1-156",-0.059,-0.042,-0.071,-0.089,-0.03,-0.006,-0.019,-0.051,-0.081
"chr1-157","chr1",166000001,167000000,"chr1-157",-0.111,-0.011,-0.101,-0.016,-0.014,-0.005,-0.047,-0.034,0.026
"chr1-158","chr1",167000001,168000000,"chr1-158",-0.024,0.008,-0.019,-0.054,0.007,0.002,0.007,0,-0.022
"chr1-159","chr1",168000001,169000000,"chr1-159",-0.097,-0.015,-0.088,-0.02,0.035,-0.041,0.013,-0.064,-0.021
"chr1-160","chr1",169000001,170000000,"chr1-160",-0.043,-0.025,-0.119,0,-0.009,-0.026,-0.028,-0.016,-0.032
"chr1-161","chr1",170000001,171000000,"chr1-161",-0.112,-0.031,-0.039,0.002,-0.03,0.012,-0.142,-0.045,0.046
"chr1-162","chr1",171000001,172000000,"chr1-162",-0.081,-0.031,-0.051,-0.048,-0.012,-0.012,-0.093,-0.032,-0.059
"chr1-163","chr1",172000001,173000000,"chr1-163",-0.21,-0.055,-0.166,-0.128,-0.035,-0.032,-0.092,-0.11,-0.035
"chr1-164","chr1",173000001,174000000,"chr1-164",0.011,0.039,0.098,0.063,0.037,0.035,0.03,0.07,0.028
"chr1-165","chr1",174000001,175000000,"chr1-165",-0.02,0.031,0.025,0.072,0.06,0.055,-0.038,0.032,0.067
"chr1-166","chr1",175000001,176000000,"chr1-166",-0.224,-0.04,-0.119,-0.14,-0.062,-0.056,-0.139,-0.117,-0.053
"chr1-167","chr1",176000001,177000000,"chr1-167",-0.139,-0.03,-0.036,-0.023,-0.016,-0.012,-0.113,-0.064,-0.038
"chr1-168","chr1",177000001,178000000,"chr1-168",-0.228,-0.078,-0.194,-0.128,-0.051,-0.051,-0.138,-0.104,-0.075
"chr1-169","chr1",178000001,179000000,"chr1-169",-0.051,0.007,-0.032,-0.022,0.031,0.018,0.006,0.003,-0.001
"chr1-170","chr1",179000001,180000000,"chr1-170",0.096,0.024,0.074,0.036,0.03,0.036,0.047,0.053,0.019
"chr1-171","chr1",180000001,181000000,"chr1-171",0.046,-0.011,-0.006,-0.002,0.015,0.03,0.058,0.03,-0.01
"chr1-172","chr1",181000001,182000000,"chr1-172",-0.085,-0.019,-0.108,-0.096,-0.045,-0.03,0.028,-0.065,-0.062
"chr1-173","chr1",182000001,183000000,"chr1-173",-0.07,-0.019,-0.063,-0.06,-0.001,-0.013,-0.051,-0.039,-0.037
"chr1-174","chr1",183000001,184000000,"chr1-174",-0.029,-0.019,-0.036,-0.012,0.007,0.002,-0.002,-0.016,0.018
"chr1-175","chr1",184000001,185000000,"chr1-175",-0.047,-0.017,-0.129,-0.057,-0.017,-0.014,-0.157,-0.022,-0.008
"chr1-176","chr1",185000001,186000000,"chr1-176",-0.098,-0.055,-0.077,-0.015,-0.012,0.016,-0.079,-0.014,-0.044
"chr1-177","chr1",186000001,187000000,"chr1-177",-0.262,-0.088,-0.137,-0.113,-0.01,-0.029,-0.225,-0.029,0
"chr1-178","chr1",187000001,188000000,"chr1-178",-0.331,-0.115,-0.217,-0.234,-0.063,-0.107,-0.453,-0.181,-0.056
"chr1-179","chr1",188000001,189000000,"chr1-179",-0.167,-0.182,-0.092,-0.131,-0.088,-0.071,-0.227,-0.113,0.102
"chr1-180","chr1",189000001,190000000,"chr1-180",-0.493,-0.224,-0.476,-0.446,-0.107,-0.169,-0.419,-0.505,-0.244
"chr1-181","chr1",190000001,191000000,"chr1-181",-0.106,-0.133,-0.084,-0.123,-0.079,-0.082,-0.135,-0.083,-0.037
"chr1-182","chr1",191000001,192000000,"chr1-182",-0.092,-0.067,0.323,0.026,-0.04,0.029,-0.227,0.052,0.046
"chr1-183","chr1",192000001,193000000,"chr1-183",-0.198,-0.089,-0.158,-0.126,0.002,-0.037,-0.111,-0.101,0.009
"chr1-184","chr1",193000001,194000000,"chr1-184",-0.123,-0.048,-0.13,-0.044,-0.031,0.026,-0.166,-0.024,0.014
"chr1-185","chr1",194000001,195000000,"chr1-185",-0.004,-0.037,0.119,0.084,-0.033,0.01,-0.23,0.012,0.03
"chr1-186","chr1",195000001,196000000,"chr1-186",-0.227,-0.04,0.073,-0.034,0.014,0.028,-0.09,-0.031,0.157
"chr1-187","chr1",196000001,197000000,"chr1-187",-0.103,-0.078,0.003,-0.143,-0.046,-0.025,-0.234,-0.068,0.006
"chr1-188","chr1",197000001,198000000,"chr1-188",-0.015,-0.116,-0.08,-0.061,-0.017,-0.021,-0.036,-0.053,-0.032
"chr1-189","chr1",198000001,199000000,"chr1-189",-0.293,-0.157,-0.192,-0.153,-0.053,-0.058,-0.217,-0.111,-0.038
"chr1-190","chr1",199000001,200000000,"chr1-190",-0.282,-0.052,-0.139,-0.189,-0.027,-0.034,-0.307,-0.172,-0.05
"chr1-191","chr1",200000001,201000000,"chr1-191",0.021,0.042,0.132,0.066,0.034,0.044,0.072,0.07,0.033
"chr1-192","chr1",201000001,202000000,"chr1-192",0.121,0.001,0.024,0.024,0.011,-0.007,0.162,0.052,-0.006
"chr1-193","chr1",202000001,203000000,"chr1-193",0.097,0.024,0.043,0.035,0.041,0.042,0.149,0.088,0.014
"chr1-194","chr1",203000001,204000000,"chr1-194",0.113,0.045,0.023,0.052,0.03,0.008,0.182,0.042,0.01
"chr1-195","chr1",204000001,205000000,"chr1-195",0.014,0.01,0.011,-0.01,0.006,0.002,0.11,0.017,-0.031
"chr1-196","chr1",205000001,205922707,"chr1-196",0.15,0.036,0.062,0.073,0.024,0.049,0.181,0.096,0.046
"chr1-197","chr1",206072708,206332221,"chr1-197",0.035,0.001,-0.011,0.029,0.014,-0.03,-0.009,0.005,-0.027
"chr1-198","chr1",206482222,207000000,"chr1-198",0.049,0.026,-0.006,0.005,0.054,-0.008,0.15,0.065,0.015
"chr1-199","chr1",207000001,208000000,"chr1-199",-0.071,-0.056,-0.111,-0.082,-0.051,-0.05,0.003,-0.075,-0.074
"chr1-200","chr1",208000001,209000000,"chr1-200",-0.105,-0.02,-0.157,-0.075,-0.035,-0.051,0.017,-0.117,-0.048
"chr1-201","chr1",209000001,210000000,"chr1-201",-0.158,-0.067,-0.278,-0.185,-0.073,-0.078,-0.083,-0.177,-0.113
"chr1-202","chr1",210000001,211000000,"chr1-202",-0.079,-0.012,-0.07,-0.043,-0.046,-0.026,-0.076,-0.045,-0.047
"chr1-203","chr1",211000001,212000000,"chr1-203",0.088,0.015,0.028,-0.044,0.029,0.013,0.059,0.049,-0.017
"chr1-204","chr1",212000001,213000000,"chr1-204",0.028,0.034,0.024,0.004,0.034,0.022,0.041,0.019,0.011
"chr1-205","chr1",213000001,214000000,"chr1-205",0.02,0.025,0.116,0.047,0.018,0.029,-0.022,0.064,0.014
"chr1-206","chr1",214000001,215000000,"chr1-206",0.034,-0.006,0.059,0.009,-0.002,-0.019,0.005,0.022,0.032
"chr1-207","chr1",215000001,216000000,"chr1-207",-0.125,-0.03,0.007,-0.068,-0.014,-0.007,-0.211,-0.081,0.009
