"","Chromosome","Start","End","Feature","203219650162_R08C01","203219650188_R08C01","203219750019_R05C01","203219750053_R05C01","203219760009_R08C01","203220070150_R02C01","203225140266_R03C01","203257030015_R06C01","203257030060_R08C01"
"chr1-0030","chr1",2775001,2850000,"chr1-0030",0.078,-0.088,0.22,0.07,-0.069,0.054,-0.051,0.114,0.064
"chr1-0031","chr1",2850001,2925000,"chr1-0031",0.014,-0.034,0.109,-0.006,-0.028,0.06,-0.052,0.037,0.046
"chr1-0032","chr1",2925001,3000000,"chr1-0032",0.062,-0.06,0.208,0.061,-0.005,0.019,-0.054,0.118,0.051
"chr1-0033","chr1",3000001,3075000,"chr1-0033",0.035,-0.092,0.163,-0.027,-0.037,0.048,-0.07,0.073,-0.027
"chr1-0034","chr1",3075001,3150000,"chr1-0034",0.063,-0.03,0.192,0.033,-0.01,0.032,-0.023,0.04,0.018
"chr1-0035","chr1",3150001,3225000,"chr1-0035",0.082,-0.066,0.136,0.023,-0.009,0.016,-0.063,0.045,-0.032
"chr1-0036","chr1",3225001,3300000,"chr1-0036",0.09,-0.075,0.114,0.071,-0.045,0.009,-0.036,0.048,-0.017
"chr1-0037","chr1",3300001,3375000,"chr1-0037",0.14,-0.003,0.255,0.121,0.053,0.062,-0.058,0.143,0.122
"chr1-0038","chr1",3375001,3450000,"chr1-0038",0.068,-0.123,0.169,0.055,-0.068,0.021,-0.049,0.097,0.033
"chr1-0039","chr1",3450001,3525000,"chr1-0039",0.028,-0.077,0.121,-0.018,-0.037,0.038,-0.048,0.089,-0.004
"chr1-0040","chr1",3525001,3600000,"chr1-0040",0.288,0.038,0.306,0.189,0.042,0.081,0.048,0.218,0.113
"chr1-0041","chr1",3600001,3675000,"chr1-0041",0.125,-0.095,0.199,0.001,-0.064,0.025,-0.069,0.089,0.033
"chr1-0042","chr1",3675001,3750000,"chr1-0042",0.125,0.033,0.211,0.113,0.036,0.072,-0.062,0.15,0.062
"chr1-0043","chr1",3750001,3825000,"chr1-0043",0.164,-0.004,0.139,0.095,0.028,0.101,-0.014,0.154,0.057
"chr1-0044","chr1",3825001,3845268,"chr1-0044",0.124,0.013,0.213,0.062,0.004,0.019,-0.108,-0.069,0.036
"chr1-0045","chr1",3995269,4050000,"chr1-0045",-0.182,-0.047,-0.167,-0.062,-0.068,-0.014,-0.169,-0.15,-0.184
"chr1-0046","chr1",4050001,4125000,"chr1-0046",-0.109,0.028,0.162,0.011,0.056,0.1,-0.231,0.016,0.07
"chr1-0047","chr1",4125001,4200000,"chr1-0047",0.055,0.01,-0.055,0.038,-0.035,-0.035,-0.172,0.028,-0.029
"chr1-0048","chr1",4200001,4275000,"chr1-0048",-0.152,0.042,-0.174,-0.058,-0.025,0.002,-0.195,-0.166,0.05
"chr1-0049","chr1",4275001,4425000,"chr1-0049",-0.259,-0.026,-0.056,-0.192,-0.098,-0.115,-0.267,-0.202,-0.18
"chr1-0050","chr1",4425001,4575000,"chr1-0050",-0.054,-0.038,0.238,-0.006,-0.065,-0.034,-0.377,0.053,-0.017
"chr1-0051","chr1",4575001,4650000,"chr1-0051",-0.465,-0.046,0.005,-0.107,-0.056,-0.106,-0.695,-0.159,-0.011
"chr1-0052","chr1",4650001,4725000,"chr1-0052",-0.011,-0.004,0.195,-0.037,-0.114,-0.004,-0.125,-0.05,-0.094
"chr1-0053","chr1",4725001,4800000,"chr1-0053",-0.017,-0.071,0.019,0.028,-0.067,0.073,-0.129,0.002,0.001
"chr1-0054","chr1",4800001,4875000,"chr1-0054",-0.016,-0.025,0.077,-0.05,-0.059,-0.074,-0.254,-0.082,-0.051
"chr1-0055","chr1",4875001,5175000,"chr1-0055",-0.392,-0.065,-0.136,-0.34,-0.056,-0.154,-0.78,-0.314,-0.175
"chr1-0056","chr1",5175001,5475000,"chr1-0056",-0.105,0.007,-0.122,-0.213,-0.018,-0.028,-0.448,-0.139,0.013
"chr1-0057","chr1",5475001,5550000,"chr1-0057",-0.042,-0.024,-0.012,-0.019,0.068,0.045,-0.211,-0.091,-0.035
"chr1-0058","chr1",5550001,5700000,"chr1-0058",-0.134,-0.036,0.038,-0.037,-0.096,-0.103,-0.303,-0.089,-0.079
"chr1-0059","chr1",5700001,5775000,"chr1-0059",-0.087,0.048,-0.019,-0.146,-0.01,-0.045,-0.277,-0.057,-0.008
"chr1-0060","chr1",5775001,5850000,"chr1-0060",-0.124,-0.074,0.024,-0.069,-0.091,0.038,-0.312,-0.086,-0.125
"chr1-0061","chr1",5850001,5925000,"chr1-0061",0.001,-0.019,0.169,0.06,-0.087,0.012,-0.027,0.02,0.02
"chr1-0062","chr1",5925001,6000000,"chr1-0062",0.129,0.018,0.381,0.112,-0.009,0.092,-0.052,0.098,0.077
"chr1-0063","chr1",6000001,6075000,"chr1-0063",0.104,-0.016,0.246,0.116,-0.007,0.071,-0.131,0.131,0.032
"chr1-0064","chr1",6075001,6150000,"chr1-0064",0.012,-0.003,0.163,-0.037,-0.022,0.014,-0.083,0.035,-0.003
"chr1-0065","chr1",6150001,6225000,"chr1-0065",0.046,-0.008,0.26,0.054,-0.047,0.038,-0.08,0.073,0.003
"chr1-0066","chr1",6225001,6300000,"chr1-0066",0.157,0.067,0.153,0.117,0.033,0.062,-0.053,0.176,0.046
"chr1-0067","chr1",6300001,6375000,"chr1-0067",0.295,0.041,0.184,0.09,0.044,0.111,0.052,0.18,0.084
"chr1-0068","chr1",6375001,6450000,"chr1-0068",0.143,0.054,0.152,0.054,0.041,0.059,-0.074,0.067,0.019
"chr1-0069","chr1",6450001,6525000,"chr1-0069",0.204,0.027,0.203,0.121,0.016,0.026,-0.002,0.195,0.102
"chr1-0070","chr1",6525001,6600000,"chr1-0070",0.175,0.019,0.202,0.08,0.015,0.035,0.017,0.129,0.033
"chr1-0071","chr1",6600001,6675000,"chr1-0071",0.237,0.035,0.115,0.099,0.082,0.088,0.008,0.128,0.07
"chr1-0072","chr1",6675001,6750000,"chr1-0072",0.264,0.119,0.16,0.154,0.114,0.08,-0.081,0.152,0.072
"chr1-0073","chr1",6750001,6825000,"chr1-0073",0.131,0.193,0.419,0.131,0.084,0.081,-0.24,0.206,0.17
"chr1-0074","chr1",6825001,6900000,"chr1-0074",0.271,0.186,-0.081,0.195,0.196,0.155,-0.203,0.232,0.322
"chr1-0075","chr1",6900001,6975000,"chr1-0075",0.009,0.137,0.117,0.095,0.072,0.03,-0.361,0.049,0.059
"chr1-0076","chr1",6975001,7050000,"chr1-0076",-0.017,0.028,0.069,-0.026,-0.012,0.009,-0.303,-0.032,-0.078
"chr1-0077","chr1",7050001,7125000,"chr1-0077",-0.136,-0.003,-0.034,-0.046,-0.026,0.009,-0.25,0.004,-0.128
"chr1-0078","chr1",7125001,7200000,"chr1-0078",-0.22,-0.098,-0.259,-0.139,-0.089,-0.164,-0.604,-0.182,-0.092
"chr1-0079","chr1",7200001,7275000,"chr1-0079",-0.161,-0.14,-0.28,-0.228,-0.119,0.024,-0.37,-0.196,-0.063
"chr1-0080","chr1",7275001,7350000,"chr1-0080",0.006,-0.011,0.124,-0.019,0.04,-0.044,-0.348,-0.099,0.05
"chr1-0081","chr1",7350001,7425000,"chr1-0081",-0.211,-0.102,-0.307,-0.176,-0.116,-0.071,-0.326,-0.22,-0.125
"chr1-0082","chr1",7425001,7500000,"chr1-0082",0.063,-0.078,-0.009,0.02,-0.071,0.039,-0.027,-0.01,0.008
"chr1-0083","chr1",7500001,7575000,"chr1-0083",0.052,-0.035,-0.166,-0.101,-0.01,0.016,-0.051,-0.055,-0.108
"chr1-0084","chr1",7575001,7650000,"chr1-0084",0.014,-0.057,0.126,-0.046,-0.052,-0.014,-0.184,-0.061,-0.018
"chr1-0085","chr1",7650001,7725000,"chr1-0085",-0.059,-0.021,0.057,-0.072,-0.012,0.011,-0.06,0.032,-0.005
"chr1-0086","chr1",7725001,7800000,"chr1-0086",0.18,0.033,0.138,0.078,-0.003,0.05,-0.023,0.146,0.047
"chr1-0087","chr1",7800001,7875000,"chr1-0087",0.112,0.122,0.076,0.095,0.111,0.081,-0.067,0.207,0.045
"chr1-0088","chr1",7875001,7950000,"chr1-0088",-0.045,0.111,0.227,0.108,0.031,0.051,-0.394,0.096,0.034
"chr1-0089","chr1",7950001,8025000,"chr1-0089",-0.019,0.078,0.268,0.199,0.049,0.037,-0.204,0.219,0.09
"chr1-0090","chr1",8025001,8100000,"chr1-0090",-0.026,0.105,0.053,0.09,0.113,0.073,-0.185,0.079,0.029
"chr1-0091","chr1",8100001,8175000,"chr1-0091",-0.283,0.038,0.041,0.03,0.091,-0.012,-0.484,-0.058,0.013
"chr1-0092","chr1",8175001,8250000,"chr1-0092",-0.049,0.112,0.091,0.042,0.087,0.009,-0.219,0.063,0.137
"chr1-0093","chr1",8250001,8325000,"chr1-0093",-0.057,0.162,0.235,0.078,0.078,0.044,-0.238,0.124,0.064
"chr1-0094","chr1",8325001,8400000,"chr1-0094",0.134,0.127,0.288,0.145,0.072,0.083,0.042,0.151,0.1
"chr1-0095","chr1",8400001,8475000,"chr1-0095",0.174,-0.005,0.051,-0.011,0.017,0.025,-0.011,-0.021,0.074
"chr1-0096","chr1",8475001,8550000,"chr1-0096",0.184,0.028,-0.118,0.046,0.036,-0.033,-0.027,-0.047,0.012
"chr1-0097","chr1",8550001,8625000,"chr1-0097",0.198,0.182,0.289,0.214,0.137,0.085,-0.145,0.205,0.202
"chr1-0098","chr1",8625001,8700000,"chr1-0098",-0.174,0.079,-0.303,-0.064,0.131,0.052,-0.384,-0.056,-0.05
"chr1-0099","chr1",8700001,8775000,"chr1-0099",-0.055,0.167,0.048,0.157,0.127,0.032,-0.246,0.058,0.131
"chr1-0100","chr1",8775001,8850000,"chr1-0100",-0.087,0.033,0.082,-0.056,0.11,0.083,-0.598,-0.062,0.036
"chr1-0101","chr1",8850001,8925000,"chr1-0101",0.235,0.276,0.31,0.184,0.203,0.114,-0.065,0.208,0.207
"chr1-0102","chr1",8925001,9000000,"chr1-0102",0.116,0.133,0.229,0.106,0.131,0.09,-0.157,0.142,0.049
"chr1-0103","chr1",9000001,9075000,"chr1-0103",0.03,0.175,0.267,0.033,0.103,0.03,-0.201,0.084,0.027
"chr1-0104","chr1",9075001,9150000,"chr1-0104",0.038,0.1,0.338,0.085,0.017,0.03,-0.007,0.086,0.106
"chr1-0105","chr1",9150001,9225000,"chr1-0105",0.09,0.149,0.264,0.112,0.095,0.063,0.056,0.255,0.169
"chr1-0106","chr1",9225001,9300000,"chr1-0106",0.202,0.072,0.238,0.081,0.066,0.022,-0.06,0.097,0.08
"chr1-0107","chr1",9300001,9375000,"chr1-0107",0.249,0.118,0.22,0.201,0.083,0.062,0.02,0.181,0.12
"chr1-0108","chr1",9375001,9450000,"chr1-0108",0.142,0.063,0.014,0.06,0.028,0.104,0.111,0.11,0.036
"chr1-0109","chr1",9450001,9525000,"chr1-0109",-0.126,-0.002,-0.082,-0.09,-0.009,0.021,-0.107,-0.081,-0.046
"chr1-0110","chr1",9525001,9600000,"chr1-0110",0.034,0.172,0.18,0.098,0.062,0.094,-0.105,0.158,0.021
"chr1-0111","chr1",9600001,9675000,"chr1-0111",0.118,0.079,0.182,0.094,0.063,0.108,0.007,0.212,0.119
"chr1-0112","chr1",9675001,9750000,"chr1-0112",0.105,0.123,0.201,0.052,0.066,0.12,-0.013,0.146,0.036
"chr1-0113","chr1",9750001,9825000,"chr1-0113",0.197,0.139,0.423,0.218,0.062,0.056,0.059,0.194,0.094
"chr1-0114","chr1",9825001,9900000,"chr1-0114",0.263,0.194,0.251,0.201,0.13,0.083,0.037,0.202,0.127
"chr1-0115","chr1",9900001,9975000,"chr1-0115",0.174,0.134,0.233,0.144,0.096,0.082,-0.002,0.133,0.105
"chr1-0116","chr1",9975001,10050000,"chr1-0116",0.08,0.103,-0.005,-0.059,0.058,0.008,-0.232,0.011,-0.053
"chr1-0117","chr1",10050001,10125000,"chr1-0117",0.197,0.168,0.299,0.176,0.174,0.109,0.057,0.281,0.145
"chr1-0118","chr1",10125001,10275000,"chr1-0118",0.152,0.226,0.426,0.263,0.162,0.104,-0.178,0.146,0.192
"chr1-0119","chr1",10275001,10350000,"chr1-0119",-0.096,0.156,0.126,0.045,0.116,0.008,-0.472,0.115,0.163
"chr1-0120","chr1",10350001,10425000,"chr1-0120",-0.245,0.124,0.127,0.026,0.088,0.11,-0.297,0.042,0.036
"chr1-0121","chr1",10425001,10500000,"chr1-0121",0.137,0.02,-0.016,0.102,0.04,0.054,-0.145,0.06,0.023
"chr1-0122","chr1",10500001,10575000,"chr1-0122",0.048,0.051,0.039,0.02,0.062,0.019,-0.193,0.044,-0.074
"chr1-0123","chr1",10575001,10650000,"chr1-0123",0.029,0.164,0.265,0.184,0.143,0.081,-0.215,0.095,0.225
"chr1-0124","chr1",10650001,10725000,"chr1-0124",0.265,0.033,0.34,0.193,0.05,0.096,0.143,0.203,0.106
"chr1-0125","chr1",10725001,10800000,"chr1-0125",0.278,-0.035,0.166,0.07,-0.032,0.069,0.018,0.101,0.092
"chr1-0126","chr1",10800001,10875000,"chr1-0126",0.22,0.033,0.078,0.075,0.024,0.054,-0.038,0.144,0.038
"chr1-0127","chr1",10875001,10950000,"chr1-0127",0.13,0.019,0.058,0.017,0.023,0.033,-0.02,0.077,0.093
"chr1-0128","chr1",10950001,11025000,"chr1-0128",-0.015,0.056,0.041,-0.036,0.037,0.115,-0.063,0.055,-0.043
"chr1-0129","chr1",11025001,11100000,"chr1-0129",0.108,0.088,0.064,0.049,0.076,0.041,-0.279,0.136,-0.017
"chr1-0130","chr1",11100001,11175000,"chr1-0130",0.162,0.166,0.177,0.109,0.096,0.11,0.004,0.187,0.073
"chr1-0131","chr1",11175001,11250000,"chr1-0131",-0.333,-0.001,-0.124,-0.172,0.047,-0.05,-0.438,-0.147,-0.055
"chr1-0132","chr1",11250001,11325000,"chr1-0132",0.111,0.138,0.141,0.101,0.096,0.111,-0.198,0.216,0.059
"chr1-0133","chr1",11325001,11400000,"chr1-0133",-0.034,0.055,0.054,-0.009,0.016,0.018,-0.259,0.049,-0.096
"chr1-0134","chr1",11400001,11475000,"chr1-0134",-0.178,0.057,0.181,-0.028,0.001,-0.008,-0.342,0.035,0.055
"chr1-0135","chr1",11475001,11550000,"chr1-0135",-0.017,-0.062,-0.129,-0.053,-0.034,-0.015,-0.054,-0.004,-0.039
"chr1-0136","chr1",11550001,11625000,"chr1-0136",-0.179,-0.062,0.044,-0.099,-0.075,0.003,-0.138,-0.051,-0.036
"chr1-0137","chr1",11625001,11700000,"chr1-0137",-0.224,-0.045,-0.119,-0.223,-0.056,-0.091,-0.33,-0.054,-0.144
"chr1-0138","chr1",11700001,11775000,"chr1-0138",0.258,0.1,0.242,0.081,0.057,0.097,0.016,0.201,0.11
"chr1-0139","chr1",11775001,11850000,"chr1-0139",0.102,0.032,0.007,-0.002,0.009,0.031,-0.018,0.071,-0.008
"chr1-0140","chr1",11850001,11925000,"chr1-0140",0.06,0.029,0.013,0.032,0.016,0.035,-0.054,0.056,-0.004
"chr1-0141","chr1",11925001,12000000,"chr1-0141",0.226,0.144,0.227,0.154,0.118,0.103,0.025,0.227,0.11
"chr1-0142","chr1",12000001,12075000,"chr1-0142",0.115,0.083,0.176,0.069,0.089,0.078,-0.107,0.117,0.07
"chr1-0143","chr1",12075001,12150000,"chr1-0143",0.194,0.159,0.355,0.153,0.124,0.119,0.001,0.26,0.096
"chr1-0144","chr1",12150001,12225000,"chr1-0144",0.104,0.05,0.262,0.061,0.05,0.031,-0.189,0.083,0.088
"chr1-0145","chr1",12225001,12300000,"chr1-0145",0.088,0.056,0.15,0.014,0.006,0.093,0.069,0.117,-0.003
"chr1-0146","chr1",12300001,12450000,"chr1-0146",-0.255,0.094,-0.079,-0.149,0.043,-0.017,-0.569,-0.077,-0.023
"chr1-0147","chr1",12450001,12525000,"chr1-0147",-0.063,0.075,-0.076,-0.135,0.038,-0.047,-0.494,-0.065,-0.025
"chr1-0148","chr1",12525001,12600000,"chr1-0148",-0.044,-0.022,-0.103,-0.106,-0.043,-0.082,-0.174,-0.093,-0.045
"chr1-0149","chr1",12600001,12675000,"chr1-0149",0.21,-0.012,0.074,0.003,0.048,0.006,-0.029,0.042,-0.001
"chr1-0150","chr1",12675001,12750000,"chr1-0150",0.166,0.093,0.24,0.144,0.109,0.052,-0.039,0.212,0.085
"chr1-0151","chr1",12750001,12825000,"chr1-0151",-0.438,0.085,-0.077,-0.257,-0.025,-0.036,-0.802,-0.097,-0.157
"chr1-0152","chr1",12825001,12900000,"chr1-0152",-0.542,-0.037,-0.062,-0.001,0.026,-0.079,-0.298,-0.066,-0.327
"chr1-0153","chr1",12900001,13052998,"chr1-0153",-0.123,0.088,-0.163,0.218,-0.239,-0.105,-0.419,0.012,-0.128
"chr1-0154","chr1",13607163,13875000,"chr1-0154",-0.121,0.06,-0.018,0.001,0.015,-0.008,-0.138,0.01,0.035
"chr1-0155","chr1",13875001,13950000,"chr1-0155",0.12,0.085,0.098,0.053,-0.005,0.052,-0.218,0.104,0.036
"chr1-0156","chr1",13950001,14025000,"chr1-0156",-0.463,-0.147,-0.371,-0.347,-0.115,-0.096,-0.723,-0.347,-0.341
"chr1-0157","chr1",14025001,14100000,"chr1-0157",-0.019,0.092,0.027,0.091,0.039,0.062,-0.38,0.068,0.064
"chr1-0158","chr1",14100001,14175000,"chr1-0158",-0.045,-0.021,-0.033,-0.061,-0.036,-0.023,-0.28,-0.11,-0.073
"chr1-0159","chr1",14175001,14250000,"chr1-0159",-0.24,0.036,-0.229,-0.178,-0.047,-0.064,-0.501,-0.001,-0.032
"chr1-0160","chr1",14250001,14400000,"chr1-0160",-0.539,-0.14,-0.283,-0.386,-0.147,-0.085,-0.866,-0.413,-0.234
"chr1-0161","chr1",14400001,14625000,"chr1-0161",-0.489,-0.17,-0.422,-0.483,-0.206,-0.227,-0.71,-0.373,-0.238
"chr1-0162","chr1",14625001,14850000,"chr1-0162",-0.398,-0.028,-0.305,-0.178,-0.035,-0.121,-0.602,-0.307,-0.155
"chr1-0163","chr1",14850001,14925000,"chr1-0163",-0.542,-0.1,-0.519,-0.405,-0.105,-0.163,-0.728,-0.411,-0.287
"chr1-0164","chr1",14925001,15000000,"chr1-0164",0.176,0.048,0.064,0.035,0.04,0.075,-0.18,0.11,0.118
"chr1-0165","chr1",15000001,15075000,"chr1-0165",-0.288,0.041,-0.144,-0.283,-0.021,-0.027,-0.629,-0.024,-0.108
"chr1-0166","chr1",15075001,15150000,"chr1-0166",-0.39,-0.067,-0.062,-0.255,-0.057,-0.1,-0.531,-0.216,-0.185
"chr1-0167","chr1",15150001,15225000,"chr1-0167",-0.44,0.031,-0.194,-0.14,-0.051,-0.071,-0.423,-0.283,-0.149
"chr1-0168","chr1",15225001,15300000,"chr1-0168",0.104,0.014,-0.075,-0.039,0.056,-0.044,-0.075,0.002,-0.085
"chr1-0169","chr1",15300001,15375000,"chr1-0169",0.008,0.069,0.072,-0.069,0.005,0.04,-0.112,-0.002,-0.043
"chr1-0170","chr1",15375001,15450000,"chr1-0170",-0.119,-0.001,0.032,-0.135,-0.01,-0.028,-0.24,-0.052,-0.05
"chr1-0171","chr1",15450001,15525000,"chr1-0171",-0.003,-0.083,0,-0.133,-0.001,-0.001,-0.189,0.032,-0.047
"chr1-0172","chr1",15525001,15600000,"chr1-0172",-0.042,0.063,0.074,0.034,0.051,0.049,0.15,-0.013,0.053
"chr1-0173","chr1",15600001,15675000,"chr1-0173",-0.143,0.04,0.041,-0.094,0.007,0.012,0.176,-0.044,-0.079
"chr1-0174","chr1",15675001,15750000,"chr1-0174",-0.039,0.024,-0.08,-0.064,0.033,-0.039,0.139,0.028,-0.079
"chr1-0175","chr1",15750001,15825000,"chr1-0175",0.016,0.134,0.269,0.117,0.075,0.02,-0.172,0.145,0.075
"chr1-0176","chr1",15825001,15900000,"chr1-0176",0.299,0.111,-0.063,0.172,0.129,0.127,0.048,0.198,0.2
"chr1-0177","chr1",15900001,15975000,"chr1-0177",0.194,0.081,0.373,0.191,0.075,0.056,-0.125,0.243,0.116
"chr1-0178","chr1",15975001,16050000,"chr1-0178",0.257,0.208,0.129,0.158,0.132,0.131,-0.092,0.273,0.209
"chr1-0179","chr1",16050001,16125000,"chr1-0179",0.194,0.053,0.239,0.129,0.06,0.071,0.028,0.16,0.08
"chr1-0180","chr1",16125001,16200000,"chr1-0180",0.366,0.141,0.417,0.195,0.152,0.139,0.041,0.28,0.162
"chr1-0181","chr1",16200001,16275000,"chr1-0181",0.161,0.068,0.473,0.207,0.069,0.071,0.025,0.176,0.135
"chr1-0182","chr1",16275001,16350000,"chr1-0182",0.123,-0.035,0.082,0.007,0.003,0.017,-0.007,0.051,0.028
"chr1-0183","chr1",16350001,16425000,"chr1-0183",0.106,-0.007,0.103,0.031,-0.004,0.013,0.007,0.044,-0.031
"chr1-0184","chr1",16425001,16500000,"chr1-0184",0.171,0.013,0.082,0.107,0.04,0.042,0.056,0.131,0.034
"chr1-0185","chr1",16500001,16575000,"chr1-0185",0.134,0.024,0.14,0.051,0.015,0.023,0.04,0.093,0.013
"chr1-0186","chr1",16575001,16650000,"chr1-0186",-0.274,0.109,0.289,0.042,0.066,0.018,-0.525,-0.026,0.113
"chr1-0187","chr1",16650001,16725000,"chr1-0187",0.138,0.112,0.256,0.204,0.135,0.062,-0.092,0.208,0.089
"chr1-0188","chr1",16725001,16800000,"chr1-0188",0.244,0.153,0.133,0.042,0.074,0.09,-0.117,0.135,0.032
"chr1-0189","chr1",16800001,16875000,"chr1-0189",0.05,0.007,0.406,0.126,0.012,-0.012,-0.138,0.14,0.061
"chr1-0190","chr1",16875001,16950000,"chr1-0190",-0.088,-0.01,0.116,0.021,-0.062,0.062,-0.352,0.042,0.082
"chr1-0191","chr1",16950001,17025000,"chr1-0191",0.106,0.036,0.377,0.08,-0.115,0.022,-0.168,0.072,0.076
"chr1-0192","chr1",17025001,17125658,"chr1-0192",0.017,-0.032,0.284,0.038,-0.239,-0.075,-0.209,-0.027,0.065
"chr1-0193","chr1",17175659,17250000,"chr1-0193",0.112,-0.015,0.268,0.186,0.019,0.095,-0.082,0.07,0.055
"chr1-0194","chr1",17250001,17325000,"chr1-0194",0.223,0.039,0.247,0.162,0.039,0.074,0.046,0.15,0.067
"chr1-0195","chr1",17325001,17400000,"chr1-0195",0.174,0.121,0.401,0.152,0.081,0.005,-0.028,0.21,0.137
"chr1-0196","chr1",17400001,17475000,"chr1-0196",-0.125,0.032,0.053,-0.051,0.005,-0.018,-0.189,0.014,-0.016
"chr1-0197","chr1",17475001,17550000,"chr1-0197",-0.117,0.009,-0.055,-0.157,-0.023,-0.045,-0.154,-0.133,-0.106
"chr1-0198","chr1",17550001,17625000,"chr1-0198",-0.153,-0.011,-0.051,-0.173,-0.037,-0.062,-0.199,-0.082,-0.093
"chr1-0199","chr1",17625001,17700000,"chr1-0199",-0.259,-0.068,-0.322,-0.329,-0.026,-0.012,-0.229,-0.129,-0.195
"chr1-0200","chr1",17700001,17775000,"chr1-0200",0.191,0.151,0.379,0.285,0.078,0.064,0.062,0.214,0.166
"chr1-0201","chr1",17775001,17850000,"chr1-0201",0.035,0.177,0.229,0.074,0.124,0.052,-0.159,0.088,0.035
"chr1-0202","chr1",17850001,17925000,"chr1-0202",-0.057,-0.038,0.003,-0.057,-0.028,-0.03,-0.127,-0.038,-0.099
"chr1-0203","chr1",17925001,18000000,"chr1-0203",0.007,-0.003,0.11,0.046,-0.027,-0.017,-0.074,-0.004,-0.011
"chr1-0204","chr1",18000001,18075000,"chr1-0204",-0.04,0.054,0.168,0.009,0.015,0.031,-0.154,0.098,0.022
