"log2ratio","type","CNVStatus","Gene","case","bin"
0.0086,"Gene_SeSAMe","Normal","PTEN",9202,1e+05
-0.0657782022705942,"Gene_MMasteR","Normal","PTEN",9203,1e+05
0,"Gene_SNP","Normal","PTEN",9203,1e+05
-0.06,"Gene_Conumee","Normal","PTEN",9203,1e+05
0.0076,"Gene_SeSAMe","Normal","PTEN",9203,1e+05
-0.39511747925795,"Gene_MMasteR","Deletion","PTEN",9327,1e+05
-0.748,"Gene_SNP","Deletion","PTEN",9327,1e+05
-0.403,"Gene_Conumee","Deletion","PTEN",9327,1e+05
-0.3641,"Gene_SeSAMe","Deletion","PTEN",9327,1e+05
-0.397722795387445,"Gene_MMasteR","Deletion","PTEN",9328,1e+05
-0.952,"Gene_SNP","Deletion","PTEN",9328,1e+05
-2.214,"Gene_SNP","Deletion","PTEN",9328,1e+05
-0.36,"Gene_Conumee","Deletion","PTEN",9328,1e+05
-0.315,"Gene_SeSAMe","Deletion","PTEN",9328,1e+05
0.467410991147698,"Gene_MMasteR","Amplification","PTEN",9337,1e+05
-2.519,"Gene_SNP","Deletion","PTEN",9337,1e+05
0.655,"Gene_SNP","Amplification","PTEN",9337,1e+05
0.368,"Gene_Conumee","Amplification","PTEN",9337,1e+05
0.3937,"Gene_SeSAMe","Amplification","PTEN",9337,1e+05
0.23806861705648,"Gene_MMasteR","Amplification","PTEN",9338,1e+05
-2.002,"Gene_SNP","Deletion","PTEN",9338,1e+05
0.156,"Gene_SNP","Normal","PTEN",9338,1e+05
0.247,"Gene_Conumee","Amplification","PTEN",9338,1e+05
0.2332,"Gene_SeSAMe","Normal","PTEN",9338,1e+05
-0.0400460748939092,"Gene_MMasteR","Normal","PTEN",9350,1e+05
-0.626,"Gene_SNP","Deletion","PTEN",9350,1e+05
-0.011,"Gene_Conumee","Normal","PTEN",9350,1e+05
0.0581,"Gene_SeSAMe","Normal","PTEN",9350,1e+05
-0.35675799812281,"Gene_MMasteR","Deletion","PTEN",9353,1e+05
-0.777,"Gene_SNP","Deletion","PTEN",9353,1e+05
-0.411,"Gene_Conumee","Deletion","PTEN",9353,1e+05
-0.3582,"Gene_SeSAMe","Deletion","PTEN",9353,1e+05
-0.457843975159593,"Gene_MMasteR","Deletion","PTEN",9354,1e+05
-0.777,"Gene_SNP","Deletion","PTEN",9354,1e+05
-0.489,"Gene_Conumee","Deletion","PTEN",9354,1e+05
-0.5018,"Gene_SeSAMe","Deletion","PTEN",9354,1e+05
-0.445700138274826,"Gene_MMasteR","Deletion","PTEN",9355,1e+05
-0.815,"Gene_SNP","Deletion","PTEN",9355,1e+05
-0.501,"Gene_Conumee","Deletion","PTEN",9355,1e+05
-0.4927,"Gene_SeSAMe","Deletion","PTEN",9355,1e+05
-0.527276061474612,"Gene_MMasteR","Deletion","PTEN",9356,1e+05
-0.828,"Gene_SNP","Deletion","PTEN",9356,1e+05
-0.513,"Gene_Conumee","Deletion","PTEN",9356,1e+05
-0.5312,"Gene_SeSAMe","Deletion","PTEN",9356,1e+05
-0.583973599408008,"Gene_MMasteR","Deletion","PTEN",9357,1e+05
-0.741,"Gene_SNP","Deletion","PTEN",9357,1e+05
-0.477,"Gene_Conumee","Deletion","PTEN",9357,1e+05
-0.4546,"Gene_SeSAMe","Deletion","PTEN",9357,1e+05
-0.368519359212959,"Gene_MMasteR","Deletion","PTEN",9358,1e+05
-0.751,"Gene_SNP","Deletion","PTEN",9358,1e+05
-0.35,"Gene_Conumee","Deletion","PTEN",9358,1e+05
-0.3663,"Gene_SeSAMe","Deletion","PTEN",9358,1e+05
-0.0911329025615268,"Gene_MMasteR","Normal","PTEN",9202,1e+06
0,"Gene_SNP","Normal","PTEN",9202,1e+06
-0.072,"Gene_Conumee","Normal","PTEN",9202,1e+06
0.0167,"Gene_SeSAMe","Normal","PTEN",9202,1e+06
-0.0691344280965607,"Gene_MMasteR","Normal","PTEN",9203,1e+06
0,"Gene_SNP","Normal","PTEN",9203,1e+06
-0.053,"Gene_Conumee","Normal","PTEN",9203,1e+06
0.025,"Gene_SeSAMe","Normal","PTEN",9203,1e+06
-0.382289549781602,"Gene_MMasteR","Deletion","PTEN",9327,1e+06
-0.748,"Gene_SNP","Deletion","PTEN",9327,1e+06
-0.362,"Gene_Conumee","Deletion","PTEN",9327,1e+06
-0.3205,"Gene_SeSAMe","Deletion","PTEN",9327,1e+06
-0.111468091816549,"Gene_MMasteR","Normal","PTEN",9328,1e+06
-0.952,"Gene_SNP","Deletion","PTEN",9328,1e+06
-2.214,"Gene_SNP","Deletion","PTEN",9328,1e+06
-0.107,"Gene_Conumee","Normal","PTEN",9328,1e+06
-0.0395,"Gene_SeSAMe","Normal","PTEN",9328,1e+06
0.482737124251925,"Gene_MMasteR","Amplification","PTEN",9337,1e+06
-2.519,"Gene_SNP","Deletion","PTEN",9337,1e+06
0.655,"Gene_SNP","Amplification","PTEN",9337,1e+06
0.389,"Gene_Conumee","Amplification","PTEN",9337,1e+06
0.3904,"Gene_SeSAMe","Amplification","PTEN",9337,1e+06
0.233277351330913,"Gene_MMasteR","Amplification","PTEN",9338,1e+06
-2.002,"Gene_SNP","Deletion","PTEN",9338,1e+06
0.156,"Gene_SNP","Normal","PTEN",9338,1e+06
0.26,"Gene_Conumee","Amplification","PTEN",9338,1e+06
0.2441,"Gene_SeSAMe","Normal","PTEN",9338,1e+06
-0.0537253619794146,"Gene_MMasteR","Normal","PTEN",9350,1e+06
-0.626,"Gene_SNP","Deletion","PTEN",9350,1e+06
-0.037,"Gene_Conumee","Normal","PTEN",9350,1e+06
0.0678,"Gene_SeSAMe","Normal","PTEN",9350,1e+06
-0.279356502729463,"Gene_MMasteR","Deletion","PTEN",9353,1e+06
-0.777,"Gene_SNP","Deletion","PTEN",9353,1e+06
-0.359,"Gene_Conumee","Deletion","PTEN",9353,1e+06
-0.2639,"Gene_SeSAMe","Normal","PTEN",9353,1e+06
-0.634238137763294,"Gene_MMasteR","Deletion","PTEN",9354,1e+06
-0.777,"Gene_SNP","Deletion","PTEN",9354,1e+06
-0.393,"Gene_Conumee","Deletion","PTEN",9354,1e+06
-0.3815,"Gene_SeSAMe","Deletion","PTEN",9354,1e+06
-0.442073575602739,"Gene_MMasteR","Deletion","PTEN",9355,1e+06
-0.815,"Gene_SNP","Deletion","PTEN",9355,1e+06
-0.499,"Gene_Conumee","Deletion","PTEN",9355,1e+06
-0.4543,"Gene_SeSAMe","Deletion","PTEN",9355,1e+06
-0.66731909983039,"Gene_MMasteR","Deletion","PTEN",9356,1e+06
-0.828,"Gene_SNP","Deletion","PTEN",9356,1e+06
-0.447,"Gene_Conumee","Deletion","PTEN",9356,1e+06
-0.4145,"Gene_SeSAMe","Deletion","PTEN",9356,1e+06
-0.463901247794907,"Gene_MMasteR","Deletion","PTEN",9357,1e+06
-0.741,"Gene_SNP","Deletion","PTEN",9357,1e+06
-0.436,"Gene_Conumee","Deletion","PTEN",9357,1e+06
-0.4115,"Gene_SeSAMe","Deletion","PTEN",9357,1e+06
-0.269308482760745,"Gene_MMasteR","Deletion","PTEN",9358,1e+06
-0.751,"Gene_SNP","Deletion","PTEN",9358,1e+06
-0.304,"Gene_Conumee","Deletion","PTEN",9358,1e+06
-0.2532,"Gene_SeSAMe","Normal","PTEN",9358,1e+06
