"","Chromosome","Start","End","Feature","203219650162_R08C01","203219650188_R08C01","203219750019_R05C01","203219750053_R05C01","203219760009_R08C01","203220070150_R02C01","203225140266_R03C01","203257030015_R06C01","203257030060_R08C01"
"chr1-0112","chr1",2250001,2260000,"chr1-0112",0.125,-0.062,0.186,0.118,0.03,0.09,-0.06,0.083,0.124
"chr1-0113","chr1",2260001,2270000,"chr1-0113",0.232,-0.122,0.161,0.204,-0.029,0.07,0.04,0.058,0.066
"chr1-0114","chr1",2270001,2280000,"chr1-0114",0.233,0.01,0.552,0.283,0.101,0.08,0.005,0.229,0.193
"chr1-0115","chr1",2280001,2310000,"chr1-0115",-0.01,-0.141,0.157,-0.089,-0.075,0.137,-0.127,-0.043,-0.045
"chr1-0116","chr1",2310001,2320000,"chr1-0116",0.148,-0.039,0.294,0.241,0.069,0.051,-0.027,0.186,0.049
"chr1-0117","chr1",2320001,2330000,"chr1-0117",0.242,0.078,0.246,0.216,0.056,0.08,0.014,0.246,0.088
"chr1-0118","chr1",2330001,2340000,"chr1-0118",0.032,-0.034,0.154,0.059,0.03,0.132,-0.049,0.078,0.045
"chr1-0119","chr1",2340001,2350000,"chr1-0119",0.192,-0.07,0.141,0.094,-0.026,0.005,-0.05,0.12,0.026
"chr1-0120","chr1",2350001,2370000,"chr1-0120",-0.072,-0.102,0.027,-0.151,-0.028,-0.016,-0.239,0.038,0.071
"chr1-0121","chr1",2370001,2380000,"chr1-0121",-0.004,0.032,0.141,0.093,0.021,-0.135,-0.069,0.042,0.047
"chr1-0122","chr1",2380001,2390000,"chr1-0122",-0.104,-0.131,0.152,-0.038,-0.111,0.036,-0.173,-0.007,-0.029
"chr1-0123","chr1",2390001,2400000,"chr1-0123",0.034,-0.057,0.107,-0.033,-0.049,-0.069,-0.067,-0.005,0.065
"chr1-0124","chr1",2400001,2410000,"chr1-0124",-0.06,-0.17,-0.01,-0.112,-0.111,-0.012,-0.16,0.068,0.013
"chr1-0125","chr1",2410001,2420000,"chr1-0125",-0.126,-0.173,0.085,-0.012,-0.102,-0.096,-0.211,-0.026,-0.024
"chr1-0126","chr1",2420001,2430000,"chr1-0126",-0.055,-0.19,0.257,-0.023,-0.048,0.013,-0.179,0.062,-0.006
"chr1-0127","chr1",2430001,2440000,"chr1-0127",0.026,-0.147,0.137,0.014,-0.118,-0.045,-0.14,0.059,0.045
"chr1-0128","chr1",2440001,2450000,"chr1-0128",0.083,-0.062,0.451,0.12,-0.042,0.046,-0.105,0.151,0.002
"chr1-0129","chr1",2450001,2460000,"chr1-0129",0.094,-0.185,-0.397,-0.018,-0.04,0.02,-0.096,0.118,-0.064
"chr1-0130","chr1",2460001,2470000,"chr1-0130",0.194,-0.015,0.269,0.249,0.002,0.046,0.029,0.148,0.222
"chr1-0131","chr1",2470001,2480000,"chr1-0131",0.268,-0.107,0.09,0.125,-0.094,-0.096,0.047,0.035,-0.07
"chr1-0132","chr1",2480001,2510000,"chr1-0132",-0.093,-0.048,0.256,0.078,0.029,0.041,-0.106,0.042,0.169
"chr1-0133","chr1",2510001,2520000,"chr1-0133",0.197,-0.091,-0.043,0.107,0.074,0.127,-0.065,0.2,0.023
"chr1-0134","chr1",2520001,2560000,"chr1-0134",0.054,-0.113,0.191,0.021,-0.069,-0.003,-0.061,-0.053,-0.011
"chr1-0135","chr1",2560001,2570000,"chr1-0135",0.013,-0.143,0.029,-0.069,-0.041,0.078,0.04,0.029,0.003
"chr1-0136","chr1",2570001,2634220,"chr1-0136",0.418,-0.15,0.261,0.253,0.146,0.092,0.021,0.365,0.23
"chr1-0137","chr1",2684221,2720000,"chr1-0137",0.016,-0.091,-0.075,-0.101,-0.044,-0.002,-0.137,-0.005,0.052
"chr1-0138","chr1",2720001,2740000,"chr1-0138",-0.107,-0.025,0.045,0.011,-0.003,0.141,-0.128,0.01,0.045
"chr1-0139","chr1",2740001,2770000,"chr1-0139",0.097,0.021,0.263,0.022,0.112,0.147,-0.02,0.025,0.128
"chr1-0140","chr1",2770001,2780000,"chr1-0140",-0.09,-0.093,0.071,-0.008,-0.034,-0.037,-0.311,0.029,-0.015
"chr1-0141","chr1",2780001,2820000,"chr1-0141",0.003,-0.065,0.188,0.065,-0.049,0.027,-0.067,0.064,0.082
"chr1-0142","chr1",2820001,2830000,"chr1-0142",-0.033,-0.067,0.175,-0.005,-0.104,0.079,-0.127,0.048,0.047
"chr1-0143","chr1",2830001,2840000,"chr1-0143",0.046,0.071,0.297,0.181,-0.066,0.102,-0.133,0.179,0.182
"chr1-0144","chr1",2840001,2850000,"chr1-0144",-0.11,-0.148,-0.041,-0.047,-0.116,-0.092,-0.134,-0.048,-0.049
"chr1-0145","chr1",2850001,2880000,"chr1-0145",-0.099,-0.062,0.053,-0.012,-0.011,0.074,-0.14,-0.066,0.083
"chr1-0146","chr1",2880001,2900000,"chr1-0146",-0.022,-0.048,0.391,-0.148,-0.057,0.014,-0.147,0.034,0.035
"chr1-0147","chr1",2900001,2930000,"chr1-0147",-0.086,-0.052,-0.061,-0.082,-0.024,-0.023,-0.21,0.024,-0.059
"chr1-0148","chr1",2930001,2940000,"chr1-0148",-0.093,-0.08,0.166,0.017,-0.005,0.014,-0.111,0.005,0.021
"chr1-0149","chr1",2940001,2980000,"chr1-0149",-0.103,-0.114,0.028,-0.004,-0.081,-0.019,-0.149,-0.046,-0.003
"chr1-0150","chr1",2980001,2990000,"chr1-0150",0.245,0.051,0.258,0.191,0.062,0.051,-0.085,0.292,0.193
"chr1-0151","chr1",2990001,3000000,"chr1-0151",0.043,0.01,0.355,0.091,-0.043,-0.08,-0.064,0.082,0.012
"chr1-0152","chr1",3000001,3010000,"chr1-0152",-0.049,-0.112,0.063,0.078,-0.021,0.038,-0.025,0.021,-0.003
"chr1-0153","chr1",3010001,3030000,"chr1-0153",-0.122,-0.185,-0.056,-0.145,-0.097,-0.029,-0.157,0.026,-0.051
"chr1-0154","chr1",3030001,3050000,"chr1-0154",0.066,-0.007,0.343,0.103,0.016,0.061,-0.085,0.076,0.057
"chr1-0155","chr1",3050001,3060000,"chr1-0155",-0.065,-0.1,0.062,-0.099,-0.079,0.031,-0.221,-0.048,-0.084
"chr1-0156","chr1",3060001,3080000,"chr1-0156",-0.132,-0.03,0.009,-0.061,-0.024,0.016,-0.157,-0.064,0.001
"chr1-0157","chr1",3080001,3090000,"chr1-0157",0.141,-0.035,0.235,0.087,0.031,0.048,-0.091,0.082,0.021
"chr1-0158","chr1",3090001,3110000,"chr1-0158",-0.015,-0.068,0.168,-0.002,-0.041,-0.001,-0.061,-0.049,-0.048
"chr1-0159","chr1",3110001,3130000,"chr1-0159",-0.06,-0.035,0.189,0.02,-0.013,0.038,-0.065,-0.006,-0.009
"chr1-0160","chr1",3130001,3140000,"chr1-0160",-0.134,-0.076,-0.247,-0.245,-0.093,0.072,-0.067,-0.115,-0.112
"chr1-0161","chr1",3140001,3150000,"chr1-0161",-0.039,-0.066,0.145,0.041,0.011,-0.021,-0.12,-0.088,0.052
"chr1-0162","chr1",3150001,3160000,"chr1-0162",0.046,-0.047,0.312,0.151,0.021,0.052,-0.082,0.037,0.089
"chr1-0163","chr1",3160001,3170000,"chr1-0163",-0.197,-0.174,-0.336,-0.223,-0.123,-0.075,-0.421,-0.222,-0.15
"chr1-0164","chr1",3170001,3190000,"chr1-0164",0.102,-0.051,0.084,0.072,0.028,0.082,-0.162,0.028,0.009
"chr1-0165","chr1",3190001,3200000,"chr1-0165",0.026,-0.05,0.149,0.022,0.002,-0.053,-0.1,0.024,-0.032
"chr1-0166","chr1",3200001,3210000,"chr1-0166",0.124,-0.079,0.128,0.071,-0.017,0.04,0.036,0.116,-0.031
"chr1-0167","chr1",3210001,3230000,"chr1-0167",-0.091,-0.041,0.117,-0.1,-0.057,-0.045,-0.209,-0.011,0.005
"chr1-0168","chr1",3230001,3240000,"chr1-0168",0.077,0.005,-0.035,0.059,0.045,-0.018,-0.085,0.003,-0.112
"chr1-0169","chr1",3240001,3270000,"chr1-0169",0.011,-0.055,0.167,0.042,-0.088,-0.001,-0.083,0,-0.029
"chr1-0170","chr1",3270001,3280000,"chr1-0170",-0.085,-0.084,0.191,0.057,-0.079,-0.007,-0.152,-0.079,-0.035
"chr1-0171","chr1",3280001,3300000,"chr1-0171",-0.067,-0.091,0.032,0.079,-0.03,0.006,-0.121,-0.004,0.017
"chr1-0172","chr1",3300001,3310000,"chr1-0172",0.22,0.19,0.505,0.313,0.18,0.16,-0.102,0.195,0.274
"chr1-0173","chr1",3310001,3320000,"chr1-0173",-0.09,-0.215,-0.214,-0.119,-0.003,0.004,-0.219,-0.031,0
"chr1-0174","chr1",3320001,3330000,"chr1-0174",0.047,-0.079,0.24,0.099,-0.004,-0.016,-0.227,-0.055,0.002
"chr1-0175","chr1",3330001,3340000,"chr1-0175",0.025,-0.032,0.185,0.096,0.003,0.015,-0.124,0.102,0.07
"chr1-0176","chr1",3340001,3350000,"chr1-0176",-0.072,-0.042,0.291,0.126,0.007,0.055,-0.091,0.097,0.101
"chr1-0177","chr1",3350001,3370000,"chr1-0177",-0.056,0.04,0.454,0.143,0.06,0.05,-0.214,0.114,0.083
"chr1-0178","chr1",3370001,3380000,"chr1-0178",0.056,-0.002,0.076,0.097,0.086,0.033,0.027,0.127,0.132
"chr1-0179","chr1",3380001,3390000,"chr1-0179",-0.021,-0.146,0.097,-0.024,-0.157,0.045,-0.057,0.041,-0.037
"chr1-0180","chr1",3390001,3400000,"chr1-0180",0.015,-0.149,0.186,0.056,-0.136,-0.025,-0.144,-0.008,0.069
"chr1-0181","chr1",3400001,3420000,"chr1-0181",0.054,-0.063,0.14,0.104,-0.053,0.071,-0.102,0.158,0.138
"chr1-0182","chr1",3420001,3440000,"chr1-0182",-0.044,-0.059,0.255,0.112,-0.013,-0.021,-0.153,0.106,0.031
"chr1-0183","chr1",3440001,3450000,"chr1-0183",-0.051,-0.267,-0.478,-0.197,-0.11,-0.003,-0.114,-0.153,-0.075
"chr1-0184","chr1",3450001,3470000,"chr1-0184",0.009,-0.142,0.2,0.035,-0.076,0.025,-0.086,0.109,0.059
"chr1-0185","chr1",3470001,3480000,"chr1-0185",-0.086,-0.097,-0.033,-0.095,-0.047,0.008,-0.185,-0.046,-0.051
"chr1-0186","chr1",3480001,3500000,"chr1-0186",0.061,-0.078,-0.031,-0.02,-0.011,0.038,-0.186,-0.044,0.015
"chr1-0187","chr1",3500001,3520000,"chr1-0187",-0.055,0.013,0.266,0.001,-0.03,0.085,-0.073,0.044,-0.054
"chr1-0188","chr1",3520001,3540000,"chr1-0188",0.234,-0.076,0.198,0.105,0.02,0.077,0.081,0.15,0.076
"chr1-0189","chr1",3540001,3550000,"chr1-0189",0.219,-0.025,0.226,0.141,0.022,0.036,0.01,0.092,0.093
"chr1-0190","chr1",3550001,3560000,"chr1-0190",0.153,0.074,0.317,0.191,0.016,0.128,-0.079,0.186,0.153
"chr1-0191","chr1",3560001,3570000,"chr1-0191",0.259,-0.023,0.323,0.249,0.064,0.066,-0.02,0.206,0.097
"chr1-0192","chr1",3570001,3600000,"chr1-0192",0.037,0.058,0.271,0.101,-0.011,0.036,-0.129,0.058,0.054
"chr1-0193","chr1",3600001,3610000,"chr1-0193",0.049,-0.096,0.317,0.105,-0.011,0.093,-0.109,0.107,0.114
"chr1-0194","chr1",3610001,3620000,"chr1-0194",0.026,-0.136,0.366,-0.027,-0.112,0.035,-0.059,0.056,0.095
"chr1-0195","chr1",3620001,3640000,"chr1-0195",0.069,-0.167,0.083,-0.028,-0.125,-0.009,-0.179,0.021,-0.008
"chr1-0196","chr1",3640001,3660000,"chr1-0196",0.084,-0.057,0.213,0.007,-0.027,0.081,-0.137,0.038,-0.018
"chr1-0197","chr1",3660001,3670000,"chr1-0197",-0.012,-0.052,0.092,-0.037,-0.118,-0.035,-0.249,-0.046,-0.135
"chr1-0198","chr1",3670001,3690000,"chr1-0198",0.05,-0.035,0.068,-0.016,0.041,0.103,-0.083,0.117,0.071
"chr1-0199","chr1",3690001,3710000,"chr1-0199",0.141,0.064,0.338,0.133,0.047,0.159,-0.072,0.132,0.077
"chr1-0200","chr1",3710001,3730000,"chr1-0200",-0.002,0.026,0.023,0.15,0.043,-0.016,-0.369,0.144,0.074
"chr1-0201","chr1",3730001,3770000,"chr1-0201",-0.026,0.036,0.146,0.042,0.029,0.009,-0.227,-0.016,-0.046
"chr1-0202","chr1",3770001,3780000,"chr1-0202",0.155,-0.013,0.079,0.109,0.019,0,-0.072,0.198,-0.045
"chr1-0203","chr1",3780001,3810000,"chr1-0203",-0.034,0.063,0.275,0.11,0.066,0.127,-0.173,0.084,0.106
"chr1-0204","chr1",3810001,3820000,"chr1-0204",0.394,-0.196,-0.163,0.037,-0.059,0.086,0.107,0.236,0.053
"chr1-0205","chr1",3820001,3845268,"chr1-0205",-0.028,-0.06,0.136,-0.004,-0.029,0.012,-0.145,-0.119,0.024
"chr1-0206","chr1",3995269,4010000,"chr1-0206",-0.398,-0.13,-0.205,-0.088,-0.142,-0.167,-0.291,-0.381,-0.284
