"","Chromosome","Start","End","Feature","203219650162_R08C01","203219650188_R08C01","203219750019_R05C01","203219750053_R05C01","203219760009_R08C01","203220070150_R02C01","203225140266_R03C01","203257030015_R06C01","203257030060_R08C01"
"chr1-0066","chr1",4150001,4200000,"chr1-0066",0.025,0.033,-0.059,0.077,-0.031,-0.066,-0.193,-0.015,-0.018
"chr1-0067","chr1",4200001,4250000,"chr1-0067",-0.176,0.04,-0.092,-0.034,-0.025,-0.013,-0.197,-0.13,0.05
"chr1-0068","chr1",4250001,4450000,"chr1-0068",-0.288,-0.042,-0.129,-0.206,-0.12,-0.122,-0.309,-0.265,-0.21
"chr1-0069","chr1",4450001,4500000,"chr1-0069",-0.029,-0.041,0.176,-0.062,-0.146,-0.033,-0.5,0.036,-0.093
"chr1-0070","chr1",4500001,4650000,"chr1-0070",-0.268,-0.018,0.07,0.006,-0.028,-0.096,-0.471,-0.099,0.024
"chr1-0071","chr1",4650001,4700000,"chr1-0071",-0.159,-0.13,0.057,-0.242,-0.168,-0.029,-0.444,-0.203,-0.221
"chr1-0072","chr1",4700001,4750000,"chr1-0072",0.162,-0.019,0.178,0.142,-0.078,-0.007,-0.103,0.105,-0.03
"chr1-0073","chr1",4750001,4800000,"chr1-0073",-0.003,-0.013,0.055,0.069,-0.03,0.085,-0.088,0.04,0.014
"chr1-0074","chr1",4800001,4850000,"chr1-0074",-0.043,-0.029,0.109,-0.022,-0.049,-0.08,-0.271,-0.063,-0.059
"chr1-0075","chr1",4850001,5300000,"chr1-0075",-0.311,-0.018,-0.078,-0.285,-0.059,-0.157,-0.645,-0.316,-0.094
"chr1-0076","chr1",5300001,5500000,"chr1-0076",-0.18,-0.016,-0.164,-0.186,-0.017,-0.026,-0.386,-0.13,0.004
"chr1-0077","chr1",5500001,5550000,"chr1-0077",-0.065,-0.077,0.069,-0.007,0.049,0.051,-0.232,-0.109,-0.068
"chr1-0078","chr1",5550001,5600000,"chr1-0078",-0.067,-0.057,0.001,-0.001,-0.125,-0.148,-0.316,-0.121,-0.15
"chr1-0079","chr1",5600001,5750000,"chr1-0079",-0.265,0.055,-0.057,-0.128,-0.024,-0.049,-0.325,-0.105,-0.005
"chr1-0080","chr1",5750001,5800000,"chr1-0080",0.001,-0.002,0.278,0.099,-0.011,0.024,-0.288,-0.035,-0.017
"chr1-0081","chr1",5800001,5850000,"chr1-0081",-0.257,-0.1,-0.059,-0.11,-0.094,0.04,-0.353,-0.17,-0.14
"chr1-0082","chr1",5850001,5900000,"chr1-0082",-0.188,-0.003,0.156,0.028,-0.129,-0.021,-0.171,-0.055,-0.017
"chr1-0083","chr1",5900001,5950000,"chr1-0083",0.103,0.001,0.285,0.104,-0.034,0.093,-0.038,0.075,0.043
"chr1-0084","chr1",5950001,6000000,"chr1-0084",-0.002,0.027,0.42,0.177,-0.026,0.058,-0.078,0.045,0.096
"chr1-0085","chr1",6000001,6050000,"chr1-0085",0.042,0.006,0.197,0.128,-0.019,0.084,-0.256,0.068,-0.052
"chr1-0086","chr1",6050001,6100000,"chr1-0086",0.048,-0.03,0.163,0.016,-0.038,0.047,-0.117,0.037,0.037
"chr1-0087","chr1",6100001,6150000,"chr1-0087",0.014,-0.011,0.216,0.024,-0.004,0.003,-0.078,0.034,-0.028
"chr1-0088","chr1",6150001,6200000,"chr1-0088",0.025,-0.005,0.305,0.068,-0.052,0.055,-0.106,0.077,0.043
"chr1-0089","chr1",6200001,6250000,"chr1-0089",0.056,0.01,0.125,0.105,-0.031,0.033,-0.102,0.054,-0.023
"chr1-0090","chr1",6250001,6300000,"chr1-0090",0.13,0.051,0.152,0.129,0.03,0.054,-0.07,0.16,0.026
"chr1-0091","chr1",6300001,6350000,"chr1-0091",0.287,0.053,0.242,0.149,0.041,0.102,0.068,0.195,0.094
"chr1-0092","chr1",6350001,6400000,"chr1-0092",0.069,0.038,-0.052,-0.061,0.037,0.101,-0.218,0.029,-0.044
"chr1-0093","chr1",6400001,6450000,"chr1-0093",0.114,0.054,0.142,0.065,0.023,0.064,-0.077,0.048,0.013
"chr1-0094","chr1",6450001,6500000,"chr1-0094",0.284,0.064,0.194,0.135,0.06,0.044,-0.01,0.195,0.117
"chr1-0095","chr1",6500001,6550000,"chr1-0095",0.11,0.008,0.329,0.138,0,0.019,-0.015,0.175,0.08
"chr1-0096","chr1",6550001,6600000,"chr1-0096",0.146,0.005,0.052,-0.023,-0.001,0.014,-0.05,0.091,-0.02
"chr1-0097","chr1",6600001,6650000,"chr1-0097",0.201,0.059,0.159,0.111,0.106,0.13,-0.046,0.109,0.072
"chr1-0098","chr1",6650001,6700000,"chr1-0098",0.268,0.042,0.075,0.137,0.076,0.063,0.001,0.142,0.048
"chr1-0099","chr1",6700001,6750000,"chr1-0099",-0.009,0.115,0.191,0.165,0.104,0.013,-0.236,0.088,-0.026
"chr1-0100","chr1",6750001,6800000,"chr1-0100",0.214,0.208,0.477,0.207,0.082,0.098,-0.229,0.212,0.162
"chr1-0101","chr1",6800001,6850000,"chr1-0101",0.22,0.167,0.031,0.191,0.193,0.148,-0.207,0.216,0.25
"chr1-0102","chr1",6850001,6950000,"chr1-0102",0.021,0.168,-0.034,0.103,0.094,0.059,-0.382,0.073,0.108
"chr1-0103","chr1",6950001,7000000,"chr1-0103",-0.027,0.062,-0.19,-0.043,0.044,0.008,-0.31,-0.047,-0.075
"chr1-0104","chr1",7000001,7050000,"chr1-0104",-0.125,-0.005,0.113,0.032,-0.052,-0.025,-0.2,-0.067,-0.083
"chr1-0105","chr1",7050001,7100000,"chr1-0105",-0.211,-0.032,-0.117,-0.174,-0.05,0.106,-0.339,-0.09,-0.186
"chr1-0106","chr1",7100001,7150000,"chr1-0106",-0.118,-0.034,0.038,-0.041,-0.026,-0.05,-0.247,-0.049,-0.074
"chr1-0107","chr1",7150001,7250000,"chr1-0107",-0.208,-0.085,-0.22,-0.138,-0.092,-0.089,-0.597,-0.151,-0.064
"chr1-0108","chr1",7250001,7300000,"chr1-0108",0.12,-0.005,0.21,-0.006,0.076,-0.03,-0.392,-0.022,0.133
"chr1-0109","chr1",7300001,7400000,"chr1-0109",-0.234,-0.105,-0.151,-0.173,-0.06,-0.08,-0.4,-0.236,-0.134
"chr1-0110","chr1",7400001,7500000,"chr1-0110",0.017,-0.07,-0.034,-0.049,-0.073,0.003,-0.087,-0.043,-0.037
"chr1-0111","chr1",7500001,7550000,"chr1-0111",-0.032,-0.055,-0.198,-0.079,-0.027,0.008,-0.109,-0.135,-0.163
"chr1-0112","chr1",7550001,7600000,"chr1-0112",0.038,-0.001,0.062,-0.034,0.035,0.017,-0.025,0.018,-0.024
"chr1-0113","chr1",7600001,7650000,"chr1-0113",-0.036,-0.104,0.016,-0.057,-0.083,-0.035,-0.205,-0.104,-0.101
"chr1-0114","chr1",7650001,7700000,"chr1-0114",-0.293,-0.055,-0.083,-0.189,-0.035,-0.126,-0.26,-0.213,-0.136
"chr1-0115","chr1",7700001,7750000,"chr1-0115",0.146,0.014,0.17,0.055,0.031,0.063,-0.002,0.102,0.039
"chr1-0116","chr1",7750001,7800000,"chr1-0116",0.081,0.101,0.132,0.071,-0.001,0.032,-0.159,0.123,0.054
"chr1-0117","chr1",7800001,7850000,"chr1-0117",0.093,0.078,0.082,0.097,0.106,0.065,-0.046,0.156,0.004
"chr1-0118","chr1",7850001,7900000,"chr1-0118",-0.043,0.182,0.317,0.244,0.124,0.102,-0.177,0.309,0.292
"chr1-0119","chr1",7900001,8000000,"chr1-0119",-0.245,0.187,0.231,0.024,0.041,-0.001,-0.514,0.092,0.002
"chr1-0120","chr1",8000001,8050000,"chr1-0120",-0.04,0.067,0.128,0.205,0.045,0.014,-0.179,0.11,0.035
"chr1-0121","chr1",8050001,8100000,"chr1-0121",0.16,0.117,0.149,0.124,0.121,0.159,-0.188,0.152,0.123
"chr1-0122","chr1",8100001,8200000,"chr1-0122",-0.246,0.036,-0.026,0.038,0.1,-0.013,-0.443,-0.101,0.004
"chr1-0123","chr1",8200001,8250000,"chr1-0123",-0.069,0.117,0.385,0.091,0.059,0.068,-0.163,0.069,0.14
"chr1-0124","chr1",8250001,8350000,"chr1-0124",-0.105,0.151,0.155,0.065,0.075,0.038,-0.271,0.051,0.033
"chr1-0125","chr1",8350001,8400000,"chr1-0125",0.136,0.124,0.368,0.178,0.068,0.073,0.042,0.148,0.133
"chr1-0126","chr1",8400001,8450000,"chr1-0126",0.153,-0.015,0.101,0.001,0.013,0.039,0.018,-0.023,0.073
"chr1-0127","chr1",8450001,8500000,"chr1-0127",0.189,-0.006,-0.092,0.038,0.032,-0.038,-0.048,-0.063,-0.009
"chr1-0128","chr1",8500001,8550000,"chr1-0128",-0.12,0.099,-0.175,-0.003,0.104,-0.065,-0.318,-0.184,0.068
"chr1-0129","chr1",8550001,8600000,"chr1-0129",0.187,0.171,0.295,0.177,0.101,0.065,-0.25,0.059,0.138
"chr1-0130","chr1",8600001,8700000,"chr1-0130",0.03,0.216,0.087,0.147,0.153,0.099,-0.295,0.043,0.14
"chr1-0131","chr1",8700001,8750000,"chr1-0131",-0.114,0.11,0.046,-0.028,0.081,-0.044,-0.381,-0.101,0.036
"chr1-0132","chr1",8750001,8850000,"chr1-0132",-0.019,0.148,0.121,0.131,0.157,0.115,-0.306,0.008,0.215
"chr1-0133","chr1",8850001,8900000,"chr1-0133",0.221,0.287,0.448,0.402,0.203,0.107,-0.086,0.316,0.301
"chr1-0134","chr1",8900001,8950000,"chr1-0134",0.151,0.119,0.197,0.162,0.138,0.089,-0.044,0.127,0.064
"chr1-0135","chr1",8950001,9000000,"chr1-0135",-0.072,0.151,0.213,-0.041,0.076,0.03,-0.407,-0.051,-0.016
"chr1-0136","chr1",9000001,9050000,"chr1-0136",-0.041,0.139,0.169,-0.022,0.086,0.027,-0.268,0.047,0.011
"chr1-0137","chr1",9050001,9100000,"chr1-0137",0.05,0.174,0.401,0.25,0.076,0.091,-0.018,0.101,0.125
"chr1-0138","chr1",9100001,9150000,"chr1-0138",0.006,0.109,0.295,0.044,0.012,-0.003,-0.086,0.062,0.018
"chr1-0139","chr1",9150001,9200000,"chr1-0139",0.053,0.113,0.213,0.054,0.085,0.033,0.069,0.213,0.219
"chr1-0140","chr1",9200001,9250000,"chr1-0140",0.118,0.08,0.279,0.12,0.099,0.048,0.013,0.124,0.053
"chr1-0141","chr1",9250001,9300000,"chr1-0141",0.167,0.143,0.207,0.105,0.056,-0.033,-0.169,0.06,0.082
"chr1-0142","chr1",9300001,9350000,"chr1-0142",0.202,0.069,0.239,0.215,0.064,0.056,-0.003,0.135,0.105
"chr1-0143","chr1",9350001,9400000,"chr1-0143",0.263,0.126,0.152,0.122,0.071,0.079,0.099,0.186,0.103
"chr1-0144","chr1",9400001,9450000,"chr1-0144",0.08,0.052,0.017,0.076,0.004,0.086,0.084,0.081,0.031
"chr1-0145","chr1",9450001,9500000,"chr1-0145",-0.153,-0.019,-0.053,-0.117,-0.014,0.014,-0.049,-0.058,-0.032
"chr1-0146","chr1",9500001,9600000,"chr1-0146",-0.061,0.162,0.163,0.055,0.058,0.066,-0.145,0.131,-0.006
"chr1-0147","chr1",9600001,9650000,"chr1-0147",0.024,0.183,0.156,0.096,0.115,0.101,-0.347,0.196,0.142
"chr1-0148","chr1",9650001,9700000,"chr1-0148",0.119,0.056,0.283,0.16,0.019,0.088,0.086,0.195,0.051
"chr1-0149","chr1",9700001,9750000,"chr1-0149",0.065,0.094,0.166,0.016,0.064,0.125,-0.079,0.126,0.044
"chr1-0150","chr1",9750001,9800000,"chr1-0150",0.169,0.099,0.361,0.189,0.064,0.082,0.054,0.178,0.086
"chr1-0151","chr1",9800001,9850000,"chr1-0151",0.114,0.22,0.634,0.22,0.04,0.02,-0.162,0.205,0.099
"chr1-0152","chr1",9850001,9900000,"chr1-0152",0.291,0.178,0.167,0.213,0.135,0.068,0.121,0.169,0.137
"chr1-0153","chr1",9900001,9950000,"chr1-0153",0.07,0.065,0.153,0,0.051,0.032,-0.009,-0.004,0.075
"chr1-0154","chr1",9950001,10000000,"chr1-0154",0.252,0.204,0.385,0.215,0.178,0.081,-0.079,0.171,0.131
"chr1-0155","chr1",10000001,10050000,"chr1-0155",0.075,0.1,-0.106,-0.093,0.058,0.024,-0.239,0.011,-0.075
"chr1-0156","chr1",10050001,10100000,"chr1-0156",0.185,0.159,0.328,0.195,0.171,0.102,0.058,0.278,0.132
"chr1-0157","chr1",10100001,10200000,"chr1-0157",-0.112,0.168,0.008,-0.038,0.075,0.073,-0.405,-0.058,-0.004
"chr1-0158","chr1",10200001,10250000,"chr1-0158",0.168,0.255,0.657,0.351,0.167,0.111,-0.344,0.309,0.231
"chr1-0159","chr1",10250001,10300000,"chr1-0159",0.16,0.201,0.4,0.261,0.105,0.07,-0.167,0.142,0.174
"chr1-0160","chr1",10300001,10400000,"chr1-0160",-0.06,0.142,0.22,0.094,0.101,0.067,-0.291,0.069,0.173
"chr1-0161","chr1",10400001,10450000,"chr1-0161",-0.206,0.114,-0.023,-0.026,0.137,0.112,-0.557,0.026,0.014
"chr1-0162","chr1",10450001,10500000,"chr1-0162",0.12,0.005,-0.01,0.098,0.035,0.016,-0.151,0.048,-0.01
"chr1-0163","chr1",10500001,10550000,"chr1-0163",0.087,0.088,0.186,0.101,0.085,0.013,-0.17,0.057,-0.083
"chr1-0164","chr1",10550001,10650000,"chr1-0164",-0.032,0.077,0.105,0.159,0.09,0.022,-0.329,-0.026,0.137
"chr1-0165","chr1",10650001,10700000,"chr1-0165",0.137,0.059,0.471,0.197,0.111,0.048,0.084,0.156,0.129
"chr1-0166","chr1",10700001,10750000,"chr1-0166",0.34,-0.056,0.187,0.18,-0.001,0.084,0.088,0.187,0.086
"chr1-0167","chr1",10750001,10800000,"chr1-0167",0.147,0.034,0.278,0.082,-0.02,0.082,-0.077,0.054,0.081
"chr1-0168","chr1",10800001,10850000,"chr1-0168",0.157,0.04,0.134,0.025,0.008,-0.015,-0.15,-0.007,-0.02
"chr1-0169","chr1",10850001,10900000,"chr1-0169",0.154,0.061,0.048,0.086,0.034,0.105,0.022,0.155,0.115
"chr1-0170","chr1",10900001,10950000,"chr1-0170",-0.05,-0.005,0.085,0.016,0.015,0.008,-0.039,0.02,0.06
"chr1-0171","chr1",10950001,11000000,"chr1-0171",-0.039,0.026,0.11,-0.003,0.028,0.125,-0.125,0.029,0.048
"chr1-0172","chr1",11000001,11050000,"chr1-0172",0.073,0.128,0.055,-0.027,0.045,-0.001,-0.06,0.093,-0.044
"chr1-0173","chr1",11050001,11100000,"chr1-0173",-0.002,-0.009,-0.024,0.044,0.052,0.066,-0.438,0.062,-0.116
"chr1-0174","chr1",11100001,11150000,"chr1-0174",0.152,0.21,0.232,0.136,0.096,0.106,0.03,0.191,0.104
"chr1-0175","chr1",11150001,11200000,"chr1-0175",-0.23,-0.03,-0.225,-0.124,0.036,-0.009,-0.406,-0.143,-0.028
"chr1-0176","chr1",11200001,11300000,"chr1-0176",-0.357,0.065,-0.006,-0.139,0.056,-0.043,-0.443,-0.105,-0.054
"chr1-0177","chr1",11300001,11350000,"chr1-0177",0.078,0.051,0.097,0.07,0.055,0.033,-0.228,0.165,-0.041
"chr1-0178","chr1",11350001,11400000,"chr1-0178",-0.122,0.054,-0.017,-0.099,-0.018,-0.006,-0.291,-0.077,-0.115
"chr1-0179","chr1",11400001,11450000,"chr1-0179",-0.157,0.07,0.058,0.038,0.019,-0.015,-0.339,0.019,0.041
"chr1-0180","chr1",11450001,11500000,"chr1-0180",-0.28,0.025,0.195,-0.04,-0.02,-0.062,-0.356,-0.05,-0.02
"chr1-0181","chr1",11500001,11550000,"chr1-0181",0.004,-0.103,-0.124,-0.021,-0.047,-0.032,0.018,0.007,-0.04
"chr1-0182","chr1",11550001,11600000,"chr1-0182",-0.192,-0.066,0.057,-0.041,-0.079,-0.005,-0.126,-0.066,-0.045
"chr1-0183","chr1",11600001,11700000,"chr1-0183",-0.25,-0.048,-0.131,-0.211,-0.069,-0.075,-0.35,-0.099,-0.101
"chr1-0184","chr1",11700001,11750000,"chr1-0184",0.232,0.101,0.236,0.092,0.048,0.094,0.016,0.178,0.094
"chr1-0185","chr1",11750001,11800000,"chr1-0185",0.103,0.002,0.118,0.054,-0.001,-0.013,-0.065,0.099,0.007
"chr1-0186","chr1",11800001,11850000,"chr1-0186",0.083,0.097,0.06,-0.002,0.057,0.148,-0.035,0.066,0.06
"chr1-0187","chr1",11850001,11900000,"chr1-0187",0.093,-0.015,0.048,0.097,0.008,0.007,-0.021,0.044,-0.017
"chr1-0188","chr1",11900001,11950000,"chr1-0188",-0.129,0.059,0.026,-0.025,0.016,0.032,-0.229,0.024,-0.009
"chr1-0189","chr1",11950001,12000000,"chr1-0189",0.289,0.182,0.315,0.222,0.175,0.105,0.029,0.241,0.142
"chr1-0190","chr1",12000001,12050000,"chr1-0190",0.153,0.105,0.288,0.105,0.086,0.07,-0.121,0.139,0.063
"chr1-0191","chr1",12050001,12100000,"chr1-0191",0.247,0.208,0.43,0.282,0.136,0.128,-0.014,0.309,0.092
"chr1-0192","chr1",12100001,12150000,"chr1-0192",-0.045,0.091,0.05,-0.035,0.075,0.095,-0.149,0.027,0.072
"chr1-0193","chr1",12150001,12200000,"chr1-0193",0.203,0.179,0.423,0.129,0.08,0.076,-0.163,0.09,0.134
"chr1-0194","chr1",12200001,12250000,"chr1-0194",-0.047,-0.008,-0.02,-0.054,-0.034,0.028,0.026,-0.011,-0.017
"chr1-0195","chr1",12250001,12300000,"chr1-0195",0.116,0.231,0.28,0.188,0.139,0.068,-0.097,0.184,0.173
"chr1-0196","chr1",12300001,12400000,"chr1-0196",-0.276,0.09,-0.042,-0.121,0.057,0.049,-0.565,-0.055,0.019
"chr1-0197","chr1",12400001,12500000,"chr1-0197",-0.172,0.082,-0.134,-0.138,-0.04,-0.089,-0.677,-0.115,-0.159
"chr1-0198","chr1",12500001,12550000,"chr1-0198",-0.16,-0.042,-0.115,-0.123,0.012,-0.122,-0.364,-0.158,-0.005
"chr1-0199","chr1",12550001,12600000,"chr1-0199",0.068,0.009,0.023,-0.049,0.028,-0.035,-0.13,0.012,-0.055
"chr1-0200","chr1",12600001,12650000,"chr1-0200",0.182,0.026,0.142,0.036,0.052,0.008,-0.07,0.026,-0.009
"chr1-0201","chr1",12650001,12700000,"chr1-0201",0.282,0.053,0.244,0.17,0.113,0.1,0.119,0.204,0.139
"chr1-0202","chr1",12700001,12750000,"chr1-0202",-0.304,0.072,0.108,-0.135,0.016,-0.052,-0.581,-0.132,-0.08
"chr1-0203","chr1",12750001,12800000,"chr1-0203",-0.409,0.092,-0.013,-0.276,-0.03,-0.049,-0.867,-0.094,-0.205
"chr1-0204","chr1",12800001,12850000,"chr1-0204",-0.582,-0.07,-0.045,-0.138,0.019,-0.087,-0.543,-0.33,-0.134
"chr1-0205","chr1",12850001,12900000,"chr1-0205",-0.531,-0.039,-0.173,0.069,0.108,-0.021,-0.214,0.002,-0.455
