"","Chromosome","Start","End","Feature","205125590013_R05C01","205128000013_R03C01","205128000076_R04C01","205240110044_R02C01","205240110063_R03C01"
"chr1-0038","chr1",2684221,2750000,"chr1-0038",0.074,-0.01,0.107,0.023,-0.055
"chr1-0039","chr1",2750001,2800000,"chr1-0039",0.027,-0.098,0.073,-0.131,-0.308
"chr1-0040","chr1",2800001,2850000,"chr1-0040",0.056,-0.033,0.063,-0.062,-0.231
"chr1-0041","chr1",2850001,2900000,"chr1-0041",0.064,-0.086,0.043,-0.066,-0.273
"chr1-0042","chr1",2900001,2950000,"chr1-0042",0.002,-0.13,-0.001,-0.122,-0.253
"chr1-0043","chr1",2950001,3000000,"chr1-0043",-0.002,0.052,0.094,-0.018,-0.077
"chr1-0044","chr1",3000001,3050000,"chr1-0044",0.027,-0.027,0.053,-0.022,-0.203
"chr1-0045","chr1",3050001,3100000,"chr1-0045",0.03,-0.109,-0.023,-0.086,-0.276
"chr1-0046","chr1",3100001,3150000,"chr1-0046",-0.003,-0.124,-0.08,-0.103,-0.152
"chr1-0047","chr1",3150001,3200000,"chr1-0047",-0.055,-0.054,-0.006,-0.057,-0.146
"chr1-0048","chr1",3200001,3250000,"chr1-0048",0.028,-0.182,-0.009,-0.107,-0.298
"chr1-0049","chr1",3250001,3300000,"chr1-0049",0.021,-0.18,-0.016,-0.145,-0.302
"chr1-0050","chr1",3300001,3350000,"chr1-0050",0.048,-0.018,0.057,0.003,-0.14
"chr1-0051","chr1",3350001,3400000,"chr1-0051",0.013,-0.044,0.056,-0.054,-0.249
"chr1-0052","chr1",3400001,3450000,"chr1-0052",0.057,0.023,0.138,0.017,-0.072
"chr1-0053","chr1",3450001,3500000,"chr1-0053",-0.011,-0.016,0.108,0.009,-0.152
"chr1-0054","chr1",3500001,3550000,"chr1-0054",0.044,0.025,0.096,0.031,-0.005
"chr1-0055","chr1",3550001,3600000,"chr1-0055",0.047,0.057,0.118,0.15,0.119
"chr1-0056","chr1",3600001,3650000,"chr1-0056",-0.001,-0.006,0.053,-0.056,-0.275
"chr1-0057","chr1",3650001,3700000,"chr1-0057",0.077,-0.065,0.117,0.033,-0.009
"chr1-0058","chr1",3700001,3750000,"chr1-0058",0.062,0.009,0.09,0.095,-0.017
"chr1-0059","chr1",3750001,3800000,"chr1-0059",-0.062,0.011,0.118,0.044,-0.072
"chr1-0060","chr1",3800001,3845268,"chr1-0060",0.041,0.023,0.069,0.028,-0.06
"chr1-0061","chr1",3995269,4150000,"chr1-0061",-0.087,-0.107,-0.074,-0.081,-0.031
"chr1-0062","chr1",4150001,4200000,"chr1-0062",-0.029,-0.055,-0.071,-0.039,-0.054
"chr1-0063","chr1",4200001,4500000,"chr1-0063",0,-0.063,-0.075,-0.1,-0.01
"chr1-0064","chr1",4500001,4700000,"chr1-0064",-0.025,-0.046,-0.049,-0.172,-0.192
"chr1-0065","chr1",4700001,4750000,"chr1-0065",-0.032,0.039,0.119,0.105,0.033
"chr1-0066","chr1",4750001,4800000,"chr1-0066",0.02,-0.119,-0.03,-0.056,-0.128
"chr1-0067","chr1",4800001,4850000,"chr1-0067",-0.031,-0.072,-0.166,-0.125,-0.146
"chr1-0068","chr1",4850001,5350000,"chr1-0068",-0.032,0.016,-0.2,0.086,-0.03
"chr1-0069","chr1",5350001,5550000,"chr1-0069",-0.075,-0.114,-0.236,-0.136,-0.322
"chr1-0070","chr1",5550001,5750000,"chr1-0070",0.048,0.028,-0.085,0.035,0.061
"chr1-0071","chr1",5750001,5800000,"chr1-0071",0.055,-0.013,0.001,-0.017,0.066
"chr1-0072","chr1",5800001,5900000,"chr1-0072",-0.042,-0.188,-0.062,-0.16,-0.252
"chr1-0073","chr1",5900001,5950000,"chr1-0073",0.083,-0.04,0.052,-0.009,-0.065
"chr1-0074","chr1",5950001,6050000,"chr1-0074",0.053,0.045,-0.01,0.069,0.047
"chr1-0075","chr1",6050001,6100000,"chr1-0075",0.076,0.028,0.1,-0.009,-0.113
"chr1-0076","chr1",6100001,6150000,"chr1-0076",0.015,-0.089,-0.009,-0.038,-0.093
"chr1-0077","chr1",6150001,6200000,"chr1-0077",0.078,0.044,0.088,0.025,-0.123
"chr1-0078","chr1",6200001,6250000,"chr1-0078",0.006,-0.028,0.082,-0.058,-0.065
"chr1-0079","chr1",6250001,6300000,"chr1-0079",-0.013,0.034,0.095,0.047,-0.053
"chr1-0080","chr1",6300001,6350000,"chr1-0080",0.074,0.014,0.133,0.022,-0.022
"chr1-0081","chr1",6350001,6400000,"chr1-0081",-0.038,-0.056,-0.058,-0.055,-0.062
"chr1-0082","chr1",6400001,6450000,"chr1-0082",0.057,-0.063,0.011,-0.007,-0.069
"chr1-0083","chr1",6450001,6500000,"chr1-0083",0.021,0.061,0.151,0.087,0.122
"chr1-0084","chr1",6500001,6550000,"chr1-0084",0.071,0.131,0.143,0.113,0.06
"chr1-0085","chr1",6550001,6600000,"chr1-0085",0.132,-0.077,0.113,-0.012,-0.134
"chr1-0086","chr1",6600001,6650000,"chr1-0086",0.079,-0.005,0.101,0.055,0.059
"chr1-0087","chr1",6650001,6700000,"chr1-0087",-0.006,0.024,0.134,0.07,0.063
"chr1-0088","chr1",6700001,6800000,"chr1-0088",0.035,0.053,0.178,0.136,0.128
"chr1-0089","chr1",6800001,6850000,"chr1-0089",-0.005,0.062,0.222,0.173,0.153
"chr1-0090","chr1",6850001,7100000,"chr1-0090",0.115,0.056,0.072,0.041,0.103
"chr1-0091","chr1",7100001,7150000,"chr1-0091",0.031,-0.069,-0.119,0.037,-0.043
"chr1-0092","chr1",7150001,7350000,"chr1-0092",-0.077,-0.176,-0.227,-0.028,-0.097
"chr1-0093","chr1",7350001,7550000,"chr1-0093",-0.027,-0.155,-0.126,-0.148,-0.218
"chr1-0094","chr1",7550001,7700000,"chr1-0094",-0.009,-0.164,-0.054,-0.161,-0.163
"chr1-0095","chr1",7700001,7750000,"chr1-0095",0.008,-0.026,0.045,0.008,-0.03
"chr1-0096","chr1",7750001,7800000,"chr1-0096",-0.009,-0.008,0.019,0.12,0.152
"chr1-0097","chr1",7800001,7850000,"chr1-0097",0.068,0.121,0.116,0.097,0.238
"chr1-0098","chr1",7850001,8000000,"chr1-0098",0.133,0.128,0.14,0.256,0.415
"chr1-0099","chr1",8000001,8050000,"chr1-0099",0.001,0.042,0.046,0.098,0.214
"chr1-0100","chr1",8050001,8100000,"chr1-0100",0.077,0.173,0.135,0.241,0.295
"chr1-0101","chr1",8100001,8250000,"chr1-0101",0.197,0.137,0.145,0.174,0.282
"chr1-0102","chr1",8250001,8350000,"chr1-0102",0.112,0.166,0.102,0.199,0.209
"chr1-0103","chr1",8350001,8400000,"chr1-0103",0.05,0.068,0.08,0.07,0.038
"chr1-0104","chr1",8400001,8450000,"chr1-0104",0.09,-0.032,0.008,-0.023,-0.087
"chr1-0105","chr1",8450001,8500000,"chr1-0105",-0.037,0.012,0.011,0.019,-0.14
"chr1-0106","chr1",8500001,8700000,"chr1-0106",0.101,0.251,0.097,0.215,0.391
"chr1-0107","chr1",8700001,8850000,"chr1-0107",0.06,0.102,0.037,0.073,0.179
"chr1-0108","chr1",8850001,8900000,"chr1-0108",0.102,0.128,0.154,0.264,0.349
"chr1-0109","chr1",8900001,8950000,"chr1-0109",0.056,0.076,0.175,0.179,0.173
"chr1-0110","chr1",8950001,9050000,"chr1-0110",0.114,0.056,0.129,0.202,0.257
"chr1-0111","chr1",9050001,9100000,"chr1-0111",0.085,0.022,0.1,0.116,0.081
"chr1-0112","chr1",9100001,9150000,"chr1-0112",-0.052,-0.023,0.037,0.069,0.132
"chr1-0113","chr1",9150001,9200000,"chr1-0113",0.197,0.073,0.22,0.306,0.229
"chr1-0114","chr1",9200001,9250000,"chr1-0114",0.039,-0.027,0.107,0.052,0.081
"chr1-0115","chr1",9250001,9300000,"chr1-0115",-0.016,-0.043,-0.008,-0.025,0
"chr1-0116","chr1",9300001,9350000,"chr1-0116",0.082,-0.015,0.021,0.015,-0.001
"chr1-0117","chr1",9350001,9400000,"chr1-0117",0.072,0.077,0.178,0.148,0.126
"chr1-0118","chr1",9400001,9450000,"chr1-0118",0.102,-0.002,0.071,-0.076,-0.067
"chr1-0119","chr1",9450001,9550000,"chr1-0119",-0.043,-0.183,-0.108,-0.155,-0.177
"chr1-0120","chr1",9550001,9600000,"chr1-0120",-0.026,0.122,0.105,0.016,0.011
"chr1-0121","chr1",9600001,9650000,"chr1-0121",0.048,0.167,0.17,0.2,0.245
"chr1-0122","chr1",9650001,9700000,"chr1-0122",0.073,-0.01,0.052,0.048,-0.081
"chr1-0123","chr1",9700001,9750000,"chr1-0123",0.129,0.1,0.235,0.263,0.219
"chr1-0124","chr1",9750001,9800000,"chr1-0124",0.102,0.08,0.072,0.14,0.083
"chr1-0125","chr1",9800001,9900000,"chr1-0125",0.018,0.042,0.1,0.075,0.07
"chr1-0126","chr1",9900001,10000000,"chr1-0126",0.038,0.005,0.096,0.057,0.1
"chr1-0127","chr1",10000001,10050000,"chr1-0127",0.048,-0.133,0.002,-0.042,0.022
"chr1-0128","chr1",10050001,10100000,"chr1-0128",0.05,0.175,0.145,0.096,0.269
"chr1-0129","chr1",10100001,10350000,"chr1-0129",0.12,0.164,0.097,0.213,0.207
"chr1-0130","chr1",10350001,10450000,"chr1-0130",0.049,0.159,0.053,0.193,0.352
"chr1-0131","chr1",10450001,10500000,"chr1-0131",0.037,0.05,0.164,0.084,0.069
"chr1-0132","chr1",10500001,10550000,"chr1-0132",-0.002,-0.117,-0.048,-0.067,-0.187
"chr1-0133","chr1",10550001,10650000,"chr1-0133",0.095,0.18,-0.009,0.102,0.192
"chr1-0134","chr1",10650001,10700000,"chr1-0134",0.092,0.085,0.095,0.077,0.038
"chr1-0135","chr1",10700001,10750000,"chr1-0135",0.119,0.075,0.089,0.008,-0.119
"chr1-0136","chr1",10750001,10800000,"chr1-0136",0.07,0.008,-0.008,0.022,-0.031
"chr1-0137","chr1",10800001,10850000,"chr1-0137",0.102,0.091,0.018,0.068,0.078
"chr1-0138","chr1",10850001,10900000,"chr1-0138",0.03,0.061,0.208,0.097,0.023
"chr1-0139","chr1",10900001,11000000,"chr1-0139",0.198,0.179,0.265,0.188,0.214
"chr1-0140","chr1",11000001,11100000,"chr1-0140",-0.028,-0.036,0.009,-0.072,0.033
"chr1-0141","chr1",11100001,11150000,"chr1-0141",0.079,0.011,0.163,0.118,0.016
"chr1-0142","chr1",11150001,11300000,"chr1-0142",-0.045,0.031,-0.023,-0.007,-0.111
"chr1-0143","chr1",11300001,11350000,"chr1-0143",0.041,-0.022,0.049,0.058,0.192
"chr1-0144","chr1",11350001,11550000,"chr1-0144",0.102,-0.002,0.119,0.064,0.073
"chr1-0145","chr1",11550001,11700000,"chr1-0145",-0.027,-0.031,0,-0.067,-0.241
"chr1-0146","chr1",11700001,11750000,"chr1-0146",0.129,0.066,0.192,0.091,0.051
"chr1-0147","chr1",11750001,11800000,"chr1-0147",0.008,-0.046,0.028,0,-0.028
"chr1-0148","chr1",11800001,11900000,"chr1-0148",0.032,0.031,0.033,-0.012,-0.113
"chr1-0149","chr1",11900001,11950000,"chr1-0149",0.067,-0.012,0.1,0,0.014
"chr1-0150","chr1",11950001,12000000,"chr1-0150",0.164,0.137,0.227,0.218,0.229
"chr1-0151","chr1",12000001,12050000,"chr1-0151",0.036,0.044,0.09,0.029,0.105
"chr1-0152","chr1",12050001,12100000,"chr1-0152",0.17,0.216,0.249,0.249,0.11
"chr1-0153","chr1",12100001,12150000,"chr1-0153",0.143,0.017,0.2,0.131,0.123
"chr1-0154","chr1",12150001,12200000,"chr1-0154",0.163,0.061,0.118,0.147,0.181
"chr1-0155","chr1",12200001,12250000,"chr1-0155",0.085,-0.029,0.005,0.029,-0.044
"chr1-0156","chr1",12250001,12300000,"chr1-0156",0.092,-0.001,0.153,0.111,0.113
"chr1-0157","chr1",12300001,12500000,"chr1-0157",0.017,0.09,-0.013,-0.027,0.123
"chr1-0158","chr1",12500001,12550000,"chr1-0158",-0.051,-0.059,-0.214,-0.215,-0.33
"chr1-0159","chr1",12550001,12600000,"chr1-0159",0.011,-0.083,-0.03,-0.071,-0.11
"chr1-0160","chr1",12600001,12650000,"chr1-0160",0.054,0,0.057,-0.038,-0.13
"chr1-0161","chr1",12650001,12700000,"chr1-0161",0.028,-0.026,-0.012,0.038,-0.026
"chr1-0162","chr1",12700001,12800000,"chr1-0162",-0.062,-0.119,0.044,-0.025,0.035
"chr1-0163","chr1",12800001,12900000,"chr1-0163",-0.236,0.009,-0.019,0.022,0.193
"chr1-0164","chr1",12900001,13052998,"chr1-0164",-0.246,0.016,-0.05,-0.057,-0.055
"chr1-0165","chr1",13607163,13900000,"chr1-0165",-0.01,-0.042,0.028,-0.027,-0.137
"chr1-0166","chr1",13900001,14000000,"chr1-0166",-0.041,0.001,-0.011,-0.016,-0.209
"chr1-0167","chr1",14000001,14050000,"chr1-0167",-0.066,0.011,-0.052,0.097,0.168
"chr1-0168","chr1",14050001,14100000,"chr1-0168",-0.102,0.036,-0.124,-0.108,-0.039
"chr1-0169","chr1",14100001,14150000,"chr1-0169",0.005,0.01,0.007,0.092,0.188
"chr1-0170","chr1",14150001,14700000,"chr1-0170",-0.08,-0.049,-0.144,-0.045,-0.102
"chr1-0171","chr1",14700001,14950000,"chr1-0171",-0.096,-0.045,-0.064,-0.083,-0.118
"chr1-0172","chr1",14950001,15100000,"chr1-0172",-0.055,0.03,-0.003,0.153,0.266
"chr1-0173","chr1",15100001,15250000,"chr1-0173",-0.018,-0.028,-0.132,-0.074,-0.083
"chr1-0174","chr1",15250001,15300000,"chr1-0174",0.026,0.024,0.015,0.04,0.057
"chr1-0175","chr1",15300001,15450000,"chr1-0175",-0.042,-0.03,-0.023,0.001,-0.015
"chr1-0176","chr1",15450001,15500000,"chr1-0176",-0.061,-0.182,0.048,-0.108,-0.254
"chr1-0177","chr1",15500001,15550000,"chr1-0177",-0.026,-0.116,-0.038,0.027,-0.053
"chr1-0178","chr1",15550001,15700000,"chr1-0178",-0.015,0.005,-0.065,0.073,0.005
"chr1-0179","chr1",15700001,15750000,"chr1-0179",0.036,0.029,0.084,0.013,-0.026
"chr1-0180","chr1",15750001,15850000,"chr1-0180",0.067,-0.002,0.058,0.141,0.187
"chr1-0181","chr1",15850001,15900000,"chr1-0181",0.208,0.176,0.23,0.307,0.244
"chr1-0182","chr1",15900001,15950000,"chr1-0182",0.027,0.05,0.066,0.049,0.097
"chr1-0183","chr1",15950001,16050000,"chr1-0183",0.09,0.125,0.195,0.292,0.222
"chr1-0184","chr1",16050001,16100000,"chr1-0184",0.074,0.06,0.12,0.1,-0.021
"chr1-0185","chr1",16100001,16200000,"chr1-0185",0.125,0.119,0.167,0.184,0.238
"chr1-0186","chr1",16200001,16300000,"chr1-0186",0.026,-0.015,0.01,-0.035,0.014
"chr1-0187","chr1",16300001,16350000,"chr1-0187",0.048,-0.081,-0.039,-0.06,-0.173
"chr1-0188","chr1",16350001,16400000,"chr1-0188",0.013,-0.146,-0.036,-0.175,-0.218
"chr1-0189","chr1",16400001,16450000,"chr1-0189",0.068,-0.077,0.09,-0.029,-0.126
"chr1-0190","chr1",16450001,16500000,"chr1-0190",0.051,-0.043,0.038,-0.034,-0.102
"chr1-0191","chr1",16500001,16550000,"chr1-0191",0.031,-0.035,0.014,-0.044,-0.115
"chr1-0192","chr1",16550001,16650000,"chr1-0192",0.031,0.001,0.028,-0.04,0.043
"chr1-0193","chr1",16650001,16700000,"chr1-0193",0.012,0.068,0.097,0.147,0.177
"chr1-0194","chr1",16700001,16800000,"chr1-0194",0.164,0.008,0.16,0.134,0.167
"chr1-0195","chr1",16800001,16850000,"chr1-0195",0.11,0.108,0.079,0.08,0.15
"chr1-0196","chr1",16850001,16900000,"chr1-0196",0.047,-0.032,-0.043,-0.136,-0.131
"chr1-0197","chr1",16900001,16950000,"chr1-0197",0.153,0.144,0.18,0.051,0.257
"chr1-0198","chr1",16950001,17000000,"chr1-0198",0.088,0.08,0.01,0.107,0.199
"chr1-0199","chr1",17000001,17050000,"chr1-0199",0.147,0.083,0.198,0.126,0.102
"chr1-0200","chr1",17050001,17125658,"chr1-0200",-0.145,0.115,0.072,0.043,0.007
"chr1-0201","chr1",17175659,17200000,"chr1-0201",0.011,0.004,0.035,-0.185,-0.038
"chr1-0202","chr1",17200001,17250000,"chr1-0202",0.076,0.139,0.151,-0.067,0.029
"chr1-0203","chr1",17250001,17300000,"chr1-0203",0.083,0.019,0.094,0.089,0.073
"chr1-0204","chr1",17300001,17350000,"chr1-0204",0.053,0.045,0.085,0.009,0.046
"chr1-0205","chr1",17350001,17400000,"chr1-0205",0.075,0.074,0.132,0.091,0.033
"chr1-0206","chr1",17400001,17500000,"chr1-0206",0.009,-0.007,0.045,-0.022,-0.02
"chr1-0207","chr1",17500001,17550000,"chr1-0207",-0.023,-0.142,-0.149,-0.193,-0.173
"chr1-0208","chr1",17550001,17600000,"chr1-0208",0.087,-0.115,0.042,-0.065,-0.122
"chr1-0209","chr1",17600001,17700000,"chr1-0209",0.037,-0.162,-0.141,-0.206,-0.297
"chr1-0210","chr1",17700001,17750000,"chr1-0210",0.068,0.053,0.048,0.04,0.109
"chr1-0211","chr1",17750001,17800000,"chr1-0211",0.039,0.096,0.109,0.128,0.097
"chr1-0212","chr1",17800001,17900000,"chr1-0212",0.118,0.016,0.089,0.131,0.195
"chr1-0213","chr1",17900001,17950000,"chr1-0213",-0.011,-0.086,-0.087,-0.092,-0.203
"chr1-0214","chr1",17950001,18050000,"chr1-0214",0.008,-0.131,-0.101,-0.054,-0.12
"chr1-0215","chr1",18050001,18400000,"chr1-0215",-0.069,-0.073,-0.132,-0.054,-0.086
"chr1-0216","chr1",18400001,18450000,"chr1-0216",-0.039,-0.013,-0.02,-0.035,-0.121
"chr1-0217","chr1",18450001,18650000,"chr1-0217",-0.137,-0.235,-0.235,-0.215,-0.291
"chr1-0218","chr1",18650001,18800000,"chr1-0218",-0.131,-0.087,-0.164,-0.135,-0.216
"chr1-0219","chr1",18800001,18950000,"chr1-0219",0.01,-0.142,-0.025,-0.073,-0.138
"chr1-0220","chr1",18950001,19000000,"chr1-0220",-0.04,-0.097,-0.053,-0.093,-0.19
"chr1-0221","chr1",19000001,19050000,"chr1-0221",-0.044,0.007,-0.047,-0.018,-0.002
"chr1-0222","chr1",19050001,19150000,"chr1-0222",-0.009,-0.183,-0.14,-0.108,-0.119
"chr1-0223","chr1",19150001,19200000,"chr1-0223",-0.03,-0.142,0.032,-0.035,-0.11
"chr1-0224","chr1",19200001,19250000,"chr1-0224",-0.049,-0.076,-0.036,-0.047,-0.177
"chr1-0225","chr1",19250001,19300000,"chr1-0225",0.028,-0.011,0.042,0.051,-0.069
"chr1-0226","chr1",19300001,19500000,"chr1-0226",-0.006,-0.057,-0.099,-0.06,-0.075
"chr1-0227","chr1",19500001,19550000,"chr1-0227",-0.029,0.085,-0.042,0.034,0.037
"chr1-0228","chr1",19550001,19600000,"chr1-0228",0.047,0.046,0.056,-0.075,-0.146
"chr1-0229","chr1",19600001,19650000,"chr1-0229",-0.021,0.044,0.022,-0.084,0.088
"chr1-0230","chr1",19650001,19700000,"chr1-0230",0.143,0.108,0.123,0.211,0.055
"chr1-0231","chr1",19700001,19800000,"chr1-0231",0.006,0.038,-0.053,0.003,0.087
"chr1-0232","chr1",19800001,19900000,"chr1-0232",0.095,0.139,0.171,0.168,-0.014
"chr1-0233","chr1",19900001,19950000,"chr1-0233",0.013,0.074,0.097,0.085,0.155
"chr1-0234","chr1",19950001,20000000,"chr1-0234",0.137,0.098,0.265,0.278,0.288
"chr1-0235","chr1",20000001,20150000,"chr1-0235",0.027,-0.03,0.053,0.03,0.045
"chr1-0236","chr1",20150001,20250000,"chr1-0236",0.055,0.085,0.103,0.094,0.137
"chr1-0237","chr1",20250001,20350000,"chr1-0237",-0.072,-0.122,-0.078,-0.023,-0.143
"chr1-0238","chr1",20350001,20500000,"chr1-0238",-0.034,-0.197,-0.106,-0.042,-0.052
"chr1-0239","chr1",20500001,20550000,"chr1-0239",-0.065,0.033,0.08,0.02,-0.009
"chr1-0240","chr1",20550001,20650000,"chr1-0240",0.058,0.029,0.009,-0.081,0.015
"chr1-0241","chr1",20650001,20800000,"chr1-0241",0.071,0.032,0.06,0.179,0.184
"chr1-0242","chr1",20800001,20850000,"chr1-0242",-0.021,0.005,0.058,0.031,0.015
"chr1-0243","chr1",20850001,20950000,"chr1-0243",0.004,0.007,0.057,-0.005,0.046
"chr1-0244","chr1",20950001,21000000,"chr1-0244",-0.023,0.011,-0.01,-0.065,-0.004
"chr1-0245","chr1",21000001,21050000,"chr1-0245",0.101,0.005,0.098,0.135,0.024
"chr1-0246","chr1",21050001,21100000,"chr1-0246",0.064,-0.03,0.124,-0.029,-0.071
"chr1-0247","chr1",21100001,21500000,"chr1-0247",0.014,0.193,0.195,0.328,0.373
"chr1-0248","chr1",21500001,21600000,"chr1-0248",0.017,0.05,0.066,0.032,-0.038
"chr1-0249","chr1",21600001,21650000,"chr1-0249",-0.072,-0.132,-0.049,-0.089,-0.079
"chr1-0250","chr1",21650001,21750000,"chr1-0250",0.138,-0.005,0.127,0.041,0.172
"chr1-0251","chr1",21750001,21800000,"chr1-0251",0.014,0.032,0.087,0.06,-0.089
"chr1-0252","chr1",21800001,21900000,"chr1-0252",0.039,0.036,0.023,0.051,0.125
"chr1-0253","chr1",21900001,21950000,"chr1-0253",0.101,0.046,0.094,0.023,-0.06
"chr1-0254","chr1",21950001,22100000,"chr1-0254",0.077,0.006,0.127,0.047,0.014
"chr1-0255","chr1",22100001,22150000,"chr1-0255",0.02,0.053,0.049,0.097,0.025
"chr1-0256","chr1",22150001,22200000,"chr1-0256",0.009,0.009,0.051,0.037,-0.01
"chr1-0257","chr1",22200001,22250000,"chr1-0257",-0.006,-0.061,0.011,-0.086,-0.104
"chr1-0258","chr1",22250001,22350000,"chr1-0258",0.131,0.133,0.191,0.226,0.208
"chr1-0259","chr1",22350001,22400000,"chr1-0259",0.117,0.054,0.12,0.081,0.128
"chr1-0260","chr1",22400001,22450000,"chr1-0260",-0.032,-0.002,-0.085,-0.02,-0.086
"chr1-0261","chr1",22450001,22500000,"chr1-0261",0.018,-0.015,-0.028,-0.014,-0.043
"chr1-0262","chr1",22500001,22750000,"chr1-0262",-0.033,-0.15,-0.112,-0.048,-0.189
"chr1-0263","chr1",22750001,22900000,"chr1-0263",0.054,0.028,0.007,0.06,0.02
"chr1-0264","chr1",22900001,22950000,"chr1-0264",0.131,0.182,0.194,0.226,0.168
"chr1-0265","chr1",22950001,23000000,"chr1-0265",-0.056,-0.093,-0.013,-0.044,-0.061
"chr1-0266","chr1",23000001,23050000,"chr1-0266",0,0.004,0.093,0.055,0.004
"chr1-0267","chr1",23050001,23150000,"chr1-0267",-0.048,-0.16,-0.103,-0.107,-0.194
"chr1-0268","chr1",23150001,23300000,"chr1-0268",0.014,0.013,0.01,0.023,-0.143
"chr1-0269","chr1",23300001,23500000,"chr1-0269",-0.061,-0.013,0.023,0.059,0.098
"chr1-0270","chr1",23500001,23650000,"chr1-0270",0.126,0.138,0.141,0.122,0.239
"chr1-0271","chr1",23650001,23700000,"chr1-0271",0.039,-0.027,0.022,-0.075,-0.078
"chr1-0272","chr1",23700001,23850000,"chr1-0272",0.108,0.158,0.193,0.173,0.144
"chr1-0273","chr1",23850001,23900000,"chr1-0273",0.009,-0.055,0.021,-0.011,-0.086
"chr1-0274","chr1",23900001,24050000,"chr1-0274",-0.004,-0.089,-0.004,-0.094,-0.086
"chr1-0275","chr1",24050001,24100000,"chr1-0275",0.062,0.076,0.135,0.119,0.166
"chr1-0276","chr1",24100001,24150000,"chr1-0276",0.057,-0.029,0.097,0.005,-0.055
"chr1-0277","chr1",24150001,24200000,"chr1-0277",0.049,0.002,0.091,0.03,0.115
"chr1-0278","chr1",24200001,24250000,"chr1-0278",0.094,0.039,0.109,0.093,0.12
