"","Chromosome","Start","End","Feature","203219650162_R08C01","203219650188_R08C01","203219750019_R05C01","203219750053_R05C01","203219760009_R08C01","203220070150_R02C01","203225140266_R03C01","203257030015_R06C01","203257030060_R08C01"
"chr1-0054","chr1",3500001,3550000,"chr1-0054",0.027,-0.023,0.1,0.013,0.007,0.056,-0.074,0.031,0.015
"chr1-0055","chr1",3550001,3600000,"chr1-0055",0.11,0.04,0.217,0.133,0.031,0.055,-0.103,0.123,0.069
"chr1-0056","chr1",3600001,3650000,"chr1-0056",-0.04,-0.15,0.075,-0.066,-0.11,0.002,-0.152,-0.022,0.037
"chr1-0057","chr1",3650001,3700000,"chr1-0057",0.029,-0.034,0.049,-0.026,-0.009,0.021,-0.138,0.039,0.012
"chr1-0058","chr1",3700001,3750000,"chr1-0058",-0.01,0.066,0.161,0.093,0.052,0.066,-0.146,0.062,0.055
"chr1-0059","chr1",3750001,3800000,"chr1-0059",0.028,-0.008,0.069,0.022,0.076,0.076,-0.126,0.146,0.029
"chr1-0060","chr1",3800001,3845268,"chr1-0060",-0.107,-0.061,-0.023,-0.009,0.005,0.078,-0.193,-0.044,0.017
"chr1-0061","chr1",3995269,4150000,"chr1-0061",-0.065,0.007,0.169,-0.046,-0.031,0.045,-0.273,-0.121,-0.023
"chr1-0062","chr1",4150001,4200000,"chr1-0062",-0.106,0.093,-0.048,0.046,-0.06,-0.103,-0.265,-0.031,0.072
"chr1-0063","chr1",4200001,4500000,"chr1-0063",-0.333,-0.055,-0.029,-0.13,-0.147,-0.049,-0.45,-0.075,-0.035
"chr1-0064","chr1",4500001,4700000,"chr1-0064",-0.329,-0.024,0.085,-0.277,-0.095,-0.03,-0.398,-0.199,-0.216
"chr1-0065","chr1",4700001,4750000,"chr1-0065",0.055,-0.024,0.072,0.03,-0.079,-0.011,-0.157,0.058,-0.052
"chr1-0066","chr1",4750001,4800000,"chr1-0066",-0.217,0.031,0.144,0.007,-0.035,-0.018,-0.24,-0.093,-0.031
"chr1-0067","chr1",4800001,4850000,"chr1-0067",-0.113,-0.043,0.164,-0.065,-0.019,-0.086,-0.261,-0.107,-0.07
"chr1-0068","chr1",4850001,5350000,"chr1-0068",-0.349,-0.002,-0.304,-0.282,-0.045,-0.15,-0.593,-0.36,-0.051
"chr1-0069","chr1",5350001,5550000,"chr1-0069",-0.216,-0.118,-0.083,-0.19,-0.085,-0.12,-0.386,-0.215,-0.116
"chr1-0070","chr1",5550001,5750000,"chr1-0070",-0.247,-0.013,0.109,-0.066,-0.056,-0.152,-0.358,-0.14,-0.019
"chr1-0071","chr1",5750001,5800000,"chr1-0071",-0.104,0.032,0.137,0.005,-0.025,0.009,-0.349,-0.126,-0.054
"chr1-0072","chr1",5800001,5900000,"chr1-0072",-0.404,-0.112,-0.218,-0.298,-0.147,-0.028,-0.42,-0.266,-0.166
"chr1-0073","chr1",5900001,5950000,"chr1-0073",-0.019,-0.009,0.166,0.019,-0.039,0.088,-0.137,-0.008,0.038
"chr1-0074","chr1",5950001,6050000,"chr1-0074",-0.116,0.028,0.446,0.106,-0.048,0.046,-0.154,0.014,0.094
"chr1-0075","chr1",6050001,6100000,"chr1-0075",-0.104,-0.043,-0.002,-0.113,-0.052,0.016,-0.239,-0.105,0.011
"chr1-0076","chr1",6100001,6150000,"chr1-0076",-0.059,-0.007,0.158,-0.013,-0.014,-0.031,-0.133,-0.081,-0.009
"chr1-0077","chr1",6150001,6200000,"chr1-0077",-0.142,-0.006,0.195,-0.012,-0.061,0.001,-0.201,-0.031,0.026
"chr1-0078","chr1",6200001,6250000,"chr1-0078",-0.053,-0.004,-0.013,-0.007,-0.04,0.016,-0.192,0.01,-0.062
"chr1-0079","chr1",6250001,6300000,"chr1-0079",0.004,0.043,0.009,0.058,0.044,0.021,-0.148,0.061,0.037
"chr1-0080","chr1",6300001,6350000,"chr1-0080",0.163,0.073,0.103,0.058,0.024,0.058,-0.012,0.113,0.074
"chr1-0081","chr1",6350001,6400000,"chr1-0081",-0.125,-0.055,-0.304,-0.258,-0.016,-0.041,-0.445,-0.207,-0.162
"chr1-0082","chr1",6400001,6450000,"chr1-0082",-0.02,0.061,0.069,-0.049,0.046,0.032,-0.217,-0.008,0.004
"chr1-0083","chr1",6450001,6500000,"chr1-0083",0.169,0.048,0.058,0.04,0.047,0.049,-0.074,0.116,0.094
"chr1-0084","chr1",6500001,6550000,"chr1-0084",-0.01,-0.002,0.201,0.077,-0.006,0.003,-0.081,0.083,0.031
"chr1-0085","chr1",6550001,6600000,"chr1-0085",0.078,-0.103,-0.172,-0.129,-0.032,-0.015,-0.115,0.001,-0.052
"chr1-0086","chr1",6600001,6650000,"chr1-0086",0.055,-0.006,-0.028,-0.012,0.065,0.125,-0.095,0.02,0.044
"chr1-0087","chr1",6650001,6700000,"chr1-0087",0.134,0.018,-0.023,0.053,0.051,0.025,-0.082,0.058,0.026
"chr1-0088","chr1",6700001,6800000,"chr1-0088",0.059,0.169,0.13,0.026,0.063,0.057,-0.326,0.112,0.051
"chr1-0089","chr1",6800001,6850000,"chr1-0089",0.22,0.147,-0.265,0.132,0.203,0.212,-0.234,0.194,0.336
"chr1-0090","chr1",6850001,7100000,"chr1-0090",-0.28,0.009,-0.036,-0.022,-0.054,-0.024,-0.349,-0.133,-0.018
"chr1-0091","chr1",7100001,7150000,"chr1-0091",-0.272,-0.064,-0.069,-0.162,0,-0.034,-0.375,-0.1,-0.146
"chr1-0092","chr1",7150001,7350000,"chr1-0092",-0.268,-0.128,-0.209,-0.302,-0.05,-0.146,-0.462,-0.343,-0.187
"chr1-0093","chr1",7350001,7550000,"chr1-0093",-0.189,-0.153,-0.269,-0.274,-0.106,-0.05,-0.263,-0.3,-0.059
"chr1-0094","chr1",7550001,7700000,"chr1-0094",-0.174,-0.11,-0.285,-0.248,-0.155,-0.059,-0.194,-0.183,-0.086
"chr1-0095","chr1",7700001,7750000,"chr1-0095",0.034,0.007,0.145,0.034,0.014,0.043,-0.074,0.058,0.016
"chr1-0096","chr1",7750001,7800000,"chr1-0096",0.001,0.081,0.012,-0.013,-0.016,-0.029,-0.166,0.091,0.039
"chr1-0097","chr1",7800001,7850000,"chr1-0097",-0.048,0.081,-0.08,0.033,0.11,0.092,-0.117,0.084,0.028
"chr1-0098","chr1",7850001,8000000,"chr1-0098",-0.207,0.169,0.388,0.072,0.082,0.033,-0.419,0.211,0.114
"chr1-0099","chr1",8000001,8050000,"chr1-0099",-0.148,0.063,0.037,0.152,0.035,-0.029,-0.308,0.032,-0.022
"chr1-0100","chr1",8050001,8100000,"chr1-0100",0.037,0.063,0.016,0.062,0.111,0.16,-0.237,0.082,0.185
"chr1-0101","chr1",8100001,8250000,"chr1-0101",-0.214,0.1,-0.102,-0.058,0.15,-0.02,-0.45,-0.03,0.091
"chr1-0102","chr1",8250001,8350000,"chr1-0102",-0.162,0.189,0.171,0.044,0.085,0.056,-0.303,0.024,0.058
"chr1-0103","chr1",8350001,8400000,"chr1-0103",0.036,0.113,0.266,0.128,0.07,0.065,0.006,0.142,0.111
"chr1-0104","chr1",8400001,8450000,"chr1-0104",-0.029,-0.039,-0.114,-0.146,-0.041,0.014,-0.034,-0.137,0.027
"chr1-0105","chr1",8450001,8500000,"chr1-0105",0.089,0.051,-0.151,-0.014,0.042,-0.039,-0.1,0.014,0.067
"chr1-0106","chr1",8500001,8700000,"chr1-0106",-0.009,0.185,0.181,0.013,0.157,0.052,-0.237,0.014,0.08
"chr1-0107","chr1",8700001,8850000,"chr1-0107",-0.278,0.114,-0.15,-0.06,0.144,-0.004,-0.564,-0.128,0.071
"chr1-0108","chr1",8850001,8900000,"chr1-0108",0.201,0.277,0.471,0.379,0.197,0.093,-0.047,0.243,0.322
"chr1-0109","chr1",8900001,8950000,"chr1-0109",0.2,0.117,0.181,0.179,0.131,0.112,0.062,0.125,0.049
"chr1-0110","chr1",8950001,9050000,"chr1-0110",-0.137,0.146,0.049,-0.05,0.109,0.016,-0.338,0.027,0.008
"chr1-0111","chr1",9050001,9100000,"chr1-0111",-0.103,0.128,0.242,0.069,0.049,0.071,-0.124,-0.018,0.074
"chr1-0112","chr1",9100001,9150000,"chr1-0112",-0.086,-0.001,0.108,-0.072,-0.03,-0.024,-0.102,-0.02,-0.037
"chr1-0113","chr1",9150001,9200000,"chr1-0113",-0.028,0.079,0.079,0.018,0.118,0.015,-0.041,0.224,0.245
"chr1-0114","chr1",9200001,9250000,"chr1-0114",0.025,0.045,0.139,0.01,0.083,0.023,-0.017,0.005,-0.006
"chr1-0115","chr1",9250001,9300000,"chr1-0115",0.101,0.201,0.004,0.014,0.08,0.032,-0.16,0.032,0.096
"chr1-0116","chr1",9300001,9350000,"chr1-0116",0.068,0.027,0.087,0.113,0.038,0.05,-0.024,0.045,0.081
"chr1-0117","chr1",9350001,9400000,"chr1-0117",0.167,0.074,0.026,0.022,0.061,0.048,0.047,0.087,0.09
"chr1-0118","chr1",9400001,9450000,"chr1-0118",-0.074,0.031,0.022,0.055,-0.018,0.04,0.091,0.056,0.047
"chr1-0119","chr1",9450001,9550000,"chr1-0119",-0.262,-0.075,-0.311,-0.152,-0.047,-0.067,-0.156,-0.217,-0.114
"chr1-0120","chr1",9550001,9600000,"chr1-0120",-0.081,0.184,0.028,0.076,0.05,0.038,-0.184,0.138,0.074
"chr1-0121","chr1",9600001,9650000,"chr1-0121",-0.081,0.189,0.026,-0.016,0.097,0.101,-0.175,0.133,0.108
"chr1-0122","chr1",9650001,9700000,"chr1-0122",0.025,0.063,0.164,0.055,0.017,0.064,0.009,0.083,0.022
"chr1-0123","chr1",9700001,9750000,"chr1-0123",-0.001,0.121,0.091,0.035,0.197,0.165,-0.128,0.117,0.1
"chr1-0124","chr1",9750001,9800000,"chr1-0124",0.007,0.035,0.231,0.129,0.045,0.022,-0.03,0.045,0.06
"chr1-0125","chr1",9800001,9900000,"chr1-0125",0.155,0.188,0.301,0.189,0.072,0.034,0.04,0.13,0.132
"chr1-0126","chr1",9900001,10000000,"chr1-0126",0.054,0.091,0.11,0.079,0.095,0.034,-0.196,0.063,-0.002
"chr1-0127","chr1",10000001,10050000,"chr1-0127",-0.022,0.1,-0.228,-0.13,0.047,0.03,-0.283,-0.036,-0.089
"chr1-0128","chr1",10050001,10100000,"chr1-0128",0.085,0.175,0.239,0.214,0.175,0.084,-0.031,0.24,0.14
"chr1-0129","chr1",10100001,10350000,"chr1-0129",0.08,0.229,0.395,0.225,0.161,0.085,-0.211,0.164,0.269
"chr1-0130","chr1",10350001,10450000,"chr1-0130",-0.154,0.134,0.123,0.017,0.134,0.044,-0.311,-0.004,0.124
"chr1-0131","chr1",10450001,10500000,"chr1-0131",-0.026,-0.019,-0.111,0.017,0.027,-0.006,-0.163,0.042,-0.013
"chr1-0132","chr1",10500001,10550000,"chr1-0132",-0.048,-0.029,0.037,-0.082,0.03,0.013,-0.132,-0.027,-0.117
"chr1-0133","chr1",10550001,10650000,"chr1-0133",-0.165,0.142,0.219,0.07,0.074,-0.002,-0.31,-0.023,0.148
"chr1-0134","chr1",10650001,10700000,"chr1-0134",-0.001,0.052,0.323,0.151,0.111,0.026,0.037,0.092,0.102
"chr1-0135","chr1",10700001,10750000,"chr1-0135",0.179,-0.085,-0.001,0.059,-0.039,0.06,-0.002,0.095,0.043
"chr1-0136","chr1",10750001,10800000,"chr1-0136",0.01,0.023,0.269,0.089,-0.011,0.025,-0.122,-0.025,0.095
"chr1-0137","chr1",10800001,10850000,"chr1-0137",0.053,0.073,0.096,0.08,0.073,0.05,-0.201,-0.046,0.003
"chr1-0138","chr1",10850001,10900000,"chr1-0138",0.152,0.023,-0.043,0.035,0.039,0.149,0.016,0.133,0.082
"chr1-0139","chr1",10900001,11000000,"chr1-0139",0.042,0.137,0.208,0.045,0.045,0.16,-0.106,0.127,0.071
"chr1-0140","chr1",11000001,11100000,"chr1-0140",-0.055,0.096,-0.093,-0.07,0.038,-0.035,-0.224,-0.038,-0.082
"chr1-0141","chr1",11100001,11150000,"chr1-0141",-0.022,0.093,0.026,-0.048,0.053,0.059,-0.032,0.084,0.056
"chr1-0142","chr1",11150001,11300000,"chr1-0142",-0.431,0.013,-0.398,-0.36,-0.019,-0.054,-0.574,-0.221,-0.063
"chr1-0143","chr1",11300001,11350000,"chr1-0143",-0.042,0.042,-0.049,0.001,0.049,0.024,-0.243,0.099,0.007
"chr1-0144","chr1",11350001,11550000,"chr1-0144",-0.162,0,-0.123,-0.097,-0.053,-0.007,-0.245,-0.096,-0.036
"chr1-0145","chr1",11550001,11700000,"chr1-0145",-0.344,-0.077,0.028,-0.128,-0.075,-0.137,-0.235,-0.168,-0.093
"chr1-0146","chr1",11700001,11750000,"chr1-0146",0.09,0.113,0.087,0.01,0.062,0.1,-0.062,0.115,0.101
"chr1-0147","chr1",11750001,11800000,"chr1-0147",0.021,0.001,0.026,0.003,-0.004,-0.019,-0.116,0.02,-0.018
"chr1-0148","chr1",11800001,11900000,"chr1-0148",0.031,0.021,0.112,-0.006,0.023,0.006,-0.061,-0.019,0.003
"chr1-0149","chr1",11900001,11950000,"chr1-0149",-0.202,0.054,-0.058,-0.037,0.027,0.066,-0.199,-0.049,0.028
"chr1-0150","chr1",11950001,12000000,"chr1-0150",0.162,0.13,0.043,0.112,0.144,0.097,-0.006,0.151,0.142
"chr1-0151","chr1",12000001,12050000,"chr1-0151",0.092,0.154,0.157,0.049,0.145,0.04,-0.088,0.1,0.023
"chr1-0152","chr1",12050001,12100000,"chr1-0152",0.166,0.205,0.347,0.194,0.147,0.112,-0.052,0.217,0.06
"chr1-0153","chr1",12100001,12150000,"chr1-0153",-0.139,0.108,0.128,-0.05,0.075,0.108,-0.094,0.022,0.125
"chr1-0154","chr1",12150001,12200000,"chr1-0154",0.108,0.123,0.455,0.097,0.08,0.091,-0.237,0.035,0.012
"chr1-0155","chr1",12200001,12250000,"chr1-0155",-0.174,-0.037,-0.271,-0.163,-0.049,-0.001,-0.1,-0.057,-0.046
"chr1-0156","chr1",12250001,12300000,"chr1-0156",0.001,0.194,0.137,0.106,0.083,0.073,-0.159,0.058,0.042
"chr1-0157","chr1",12300001,12500000,"chr1-0157",-0.447,0.088,-0.199,-0.205,0.023,-0.047,-0.7,-0.145,0.021
"chr1-0158","chr1",12500001,12550000,"chr1-0158",-0.315,-0.14,-0.596,-0.335,-0.042,-0.184,-0.448,-0.434,-0.034
"chr1-0159","chr1",12550001,12600000,"chr1-0159",-0.063,0.003,-0.135,-0.155,-0.005,-0.064,-0.201,-0.08,-0.147
"chr1-0160","chr1",12600001,12650000,"chr1-0160",0.087,-0.075,0.13,-0.042,-0.02,-0.089,-0.132,-0.065,-0.043
"chr1-0161","chr1",12650001,12700000,"chr1-0161",0.139,0.03,0.077,0.056,0.099,0.038,-0.034,0.087,0.057
"chr1-0162","chr1",12700001,12800000,"chr1-0162",-0.472,0.081,-0.158,-0.21,-0.022,-0.091,-0.888,-0.211,-0.022
"chr1-0163","chr1",12800001,12900000,"chr1-0163",-0.598,-0.044,-0.225,-0.119,-0.016,-0.067,-0.455,-0.156,-0.173
"chr1-0164","chr1",12900001,13052998,"chr1-0164",-0.355,-0.018,-0.254,0.099,-0.227,-0.182,-0.598,-0.146,-0.161
"chr1-0165","chr1",13607163,13900000,"chr1-0165",-0.202,0.096,-0.047,0.035,0.034,0.029,-0.152,0.004,0.043
"chr1-0166","chr1",13900001,14000000,"chr1-0166",0.02,-0.008,0.031,-0.062,-0.011,0.064,-0.072,-0.018,0.013
"chr1-0167","chr1",14000001,14050000,"chr1-0167",-0.02,0.003,-0.356,-0.066,-0.002,0.039,-0.535,-0.029,-0.012
"chr1-0168","chr1",14050001,14100000,"chr1-0168",-0.101,0.026,0.092,0.102,0.009,0.024,-0.456,-0.057,0.008
"chr1-0169","chr1",14100001,14150000,"chr1-0169",-0.217,0.013,0.135,-0.061,0.005,-0.018,-0.234,-0.204,-0.071
"chr1-0170","chr1",14150001,14700000,"chr1-0170",-0.621,-0.089,-0.545,-0.468,-0.15,-0.144,-0.736,-0.401,-0.202
"chr1-0171","chr1",14700001,14950000,"chr1-0171",-0.366,-0.059,-0.33,-0.22,0.003,-0.041,-0.62,-0.266,-0.099
"chr1-0172","chr1",14950001,15100000,"chr1-0172",-0.458,0.077,-0.246,-0.331,0.033,-0.032,-0.762,-0.112,-0.141
"chr1-0173","chr1",15100001,15250000,"chr1-0173",-0.49,-0.027,-0.235,-0.223,-0.064,-0.127,-0.467,-0.307,-0.13
"chr1-0174","chr1",15250001,15300000,"chr1-0174",0.014,-0.07,-0.194,-0.114,0.069,-0.05,-0.126,-0.077,-0.102
"chr1-0175","chr1",15300001,15450000,"chr1-0175",-0.21,0.047,-0.032,-0.16,-0.019,-0.027,-0.329,-0.102,-0.021
"chr1-0176","chr1",15450001,15500000,"chr1-0176",0.098,-0.227,-0.484,-0.38,-0.022,-0.016,-0.21,-0.123,-0.124
"chr1-0177","chr1",15500001,15550000,"chr1-0177",-0.254,0.029,0.036,0.01,-0.004,-0.003,0.1,-0.055,-0.007
"chr1-0178","chr1",15550001,15700000,"chr1-0178",-0.243,0.011,-0.148,-0.11,0.038,-0.035,0.111,-0.123,0.024
"chr1-0179","chr1",15700001,15750000,"chr1-0179",0.012,0.052,-0.212,0.029,0.048,0.037,0.25,0.094,0.037
"chr1-0180","chr1",15750001,15850000,"chr1-0180",-0.079,0.132,0.27,0.066,0.089,0.053,-0.243,0.061,0.073
"chr1-0181","chr1",15850001,15900000,"chr1-0181",0.306,0.001,-0.279,0.126,0.175,0.201,0.116,0.194,0.206
"chr1-0182","chr1",15900001,15950000,"chr1-0182",0.108,0.04,0.25,0.096,0.074,-0.012,-0.117,0.14,0.097
"chr1-0183","chr1",15950001,16050000,"chr1-0183",0.162,0.177,-0.042,0.133,0.129,0.098,-0.095,0.262,0.31
"chr1-0184","chr1",16050001,16100000,"chr1-0184",0.037,0.008,0.107,0.028,0.035,0.06,-0.056,0.045,0.03
"chr1-0185","chr1",16100001,16200000,"chr1-0185",0.124,0.189,0.282,0.161,0.158,0.133,-0.072,0.186,0.154
"chr1-0186","chr1",16200001,16300000,"chr1-0186",-0.011,0.012,0.343,0.126,0.025,-0.022,-0.038,0.022,0.057
"chr1-0187","chr1",16300001,16350000,"chr1-0187",-0.006,-0.08,-0.083,-0.069,-0.024,0.012,-0.104,-0.078,-0.01
"chr1-0188","chr1",16350001,16400000,"chr1-0188",-0.092,-0.035,-0.084,-0.141,-0.051,-0.041,-0.104,-0.097,-0.127
"chr1-0189","chr1",16400001,16450000,"chr1-0189",0.124,0.037,-0.055,-0.064,0.107,-0.004,0.078,-0.005,0.014
"chr1-0190","chr1",16450001,16500000,"chr1-0190",-0.003,-0.011,0.099,0.027,0.022,0.002,-0.027,0.009,0.003
"chr1-0191","chr1",16500001,16550000,"chr1-0191",0.009,-0.02,-0.045,0.014,-0.06,0,-0.05,-0.016,0.002
"chr1-0192","chr1",16550001,16650000,"chr1-0192",-0.038,0.098,0.145,0.033,0.074,-0.025,-0.134,0.029,-0.017
"chr1-0193","chr1",16650001,16700000,"chr1-0193",0.063,0.142,0.206,0.18,0.168,0.085,-0.117,0.156,0.131
"chr1-0194","chr1",16700001,16800000,"chr1-0194",0.055,0.14,-0.037,-0.039,0.071,0.059,-0.214,0.056,0.03
"chr1-0195","chr1",16800001,16850000,"chr1-0195",-0.022,0.034,0.341,0.061,0.047,0.037,-0.15,0.079,0.082
"chr1-0196","chr1",16850001,16900000,"chr1-0196",-0.184,-0.055,0.183,-0.071,-0.054,-0.122,-0.285,-0.136,-0.051
"chr1-0197","chr1",16900001,16950000,"chr1-0197",-0.259,-0.026,-0.004,-0.018,-0.085,0.084,-0.365,0.012,0.028
"chr1-0198","chr1",16950001,17000000,"chr1-0198",0.004,0.011,0.213,-0.034,-0.049,0.016,-0.255,-0.021,0.016
"chr1-0199","chr1",17000001,17050000,"chr1-0199",-0.091,-0.06,0.233,0.048,-0.286,-0.069,-0.212,-0.036,0.035
"chr1-0200","chr1",17050001,17125658,"chr1-0200",-0.257,-0.048,0.067,-0.107,-0.25,-0.106,-0.307,-0.175,0.042
"chr1-0201","chr1",17175659,17200000,"chr1-0201",-0.305,-0.181,0.098,-0.071,-0.056,-0.031,-0.222,-0.189,-0.09
"chr1-0202","chr1",17200001,17250000,"chr1-0202",0.024,0.039,0.127,0.14,0.045,0.118,-0.088,-0.001,0.041
