"","Chromosome","Start","End","Feature","205125590013_R05C01","205128000013_R03C01","205128000076_R04C01","205240110044_R02C01","205240110063_R03C01"
"chr1-097","chr1",93000001,94000000,"chr1-097",0.04,0.047,0.089,0.034,0.087
"chr1-098","chr1",94000001,95000000,"chr1-098",-0.01,-0.012,-0.024,-0.002,0.022
"chr1-099","chr1",95000001,96000000,"chr1-099",-0.004,0.029,0,-0.002,0.029
"chr1-100","chr1",96000001,97000000,"chr1-100",-0.055,0.013,-0.178,-0.03,-0.02
"chr1-101","chr1",97000001,98000000,"chr1-101",-0.038,0.054,-0.081,-0.021,-0.032
"chr1-102","chr1",98000001,99000000,"chr1-102",-0.083,-0.074,-0.177,-0.144,-0.068
"chr1-103","chr1",99000001,100000000,"chr1-103",-0.05,-0.022,-0.092,-0.096,-0.082
"chr1-104","chr1",100000001,101000000,"chr1-104",0.019,0.045,-0.009,-0.005,0.086
"chr1-105","chr1",101000001,102000000,"chr1-105",-0.016,0.018,-0.039,0,0.019
"chr1-106","chr1",102000001,103000000,"chr1-106",-0.202,-0.114,-0.256,-0.168,-0.156
"chr1-107","chr1",103000001,103863906,"chr1-107",-0.132,-0.114,-0.133,-0.164,-0.219
"chr1-108","chr1",103913907,105000000,"chr1-108",-0.183,-0.009,-0.137,-0.165,-0.102
"chr1-109","chr1",105000001,106000000,"chr1-109",-0.051,-0.101,-0.159,-0.176,-0.195
"chr1-110","chr1",106000001,107000000,"chr1-110",-0.14,-0.133,-0.142,-0.198,-0.165
"chr1-111","chr1",107000001,108000000,"chr1-111",-0.064,-0.041,0.002,-0.03,-0.039
"chr1-112","chr1",108000001,109000000,"chr1-112",-0.06,-0.009,-0.035,-0.013,-0.018
"chr1-113","chr1",109000001,110000000,"chr1-113",0.039,0.001,0.055,0.018,0.05
"chr1-114","chr1",110000001,111000000,"chr1-114",0.029,-0.047,0.009,-0.07,-0.094
"chr1-115","chr1",111000001,112000000,"chr1-115",-0.033,-0.079,-0.07,-0.094,-0.119
"chr1-116","chr1",112000001,113000000,"chr1-116",-0.015,-0.007,-0.004,-0.009,-0.012
"chr1-117","chr1",113000001,114000000,"chr1-117",0.055,0.001,0.046,0.001,-0.012
"chr1-118","chr1",114000001,115000000,"chr1-118",-0.001,0.001,0.028,0.001,0.02
"chr1-119","chr1",115000001,116000000,"chr1-119",0.014,0.004,-0.049,-0.046,0.022
"chr1-120","chr1",116000001,117000000,"chr1-120",0.003,0.016,-0.006,0.005,-0.007
"chr1-121","chr1",117000001,118000000,"chr1-121",-0.018,-0.013,-0.018,0.004,0.018
"chr1-122","chr1",118000001,119000000,"chr1-122",-0.074,-0.103,-0.125,-0.144,-0.173
"chr1-123","chr1",119000001,120000000,"chr1-123",-0.051,-0.082,-0.094,-0.132,-0.072
"chr1-124","chr1",120000001,120697156,"chr1-124",0.003,-0.009,-0.022,-0.016,-0.018
"chr1-125","chr1",120747157,120936695,"chr1-125",0.063,0.023,0.048,0.04,0.082
"chr1-126","chr1",121086696,121485434,"chr1-126",0.009,0.025,-0.053,-0.01,0.021
"chr1-127","chr1",142535435,142731022,"chr1-127",0.022,0.024,0.075,-0.065,-0.121
"chr1-128","chr1",143117762,143292816,"chr1-128",0.014,0.057,0.13,0.039,0.068
"chr1-129","chr1",143342817,143544525,"chr1-129",-0.016,-0.035,-0.057,-0.131,-0.048
"chr1-130","chr1",143871003,144095783,"chr1-130",0.096,0.082,0.072,0.099,0.209
"chr1-131","chr1",144451745,144622413,"chr1-131",0.075,0.016,0.15,0.049,0.044
"chr1-132","chr1",144810725,145000000,"chr1-132",0.038,0.078,0.011,0.068,0.018
"chr1-133","chr1",145000001,145833118,"chr1-133",0.064,0.021,0.041,0.016,0.044
"chr1-134","chr1",146303300,147000000,"chr1-134",-0.049,-0.075,-0.054,-0.08,-0.079
"chr1-135","chr1",147000001,148026038,"chr1-135",0.016,-0.008,-0.014,0.004,0.041
"chr1-136","chr1",148176039,148361358,"chr1-136",0.085,-0.038,0.048,-0.063,-0.159
"chr1-137","chr1",148511359,148684147,"chr1-137",0.091,0.049,0.106,0.118,0.143
"chr1-138","chr1",148734148,148954460,"chr1-138",0.128,0.136,0.142,0.1,0.124
"chr1-139","chr1",149004461,149459645,"chr1-139",0.024,-0.059,-0.089,-0.166,0.014
"chr1-140","chr1",149509646,150000000,"chr1-140",-0.014,-0.061,-0.04,-0.074,-0.035
"chr1-141","chr1",150000001,151000000,"chr1-141",0.071,0.001,0.076,0.039,0.076
"chr1-142","chr1",151000001,152000000,"chr1-142",0.049,0.002,0.065,0.046,0.022
"chr1-143","chr1",152000001,153000000,"chr1-143",-0.048,-0.022,-0.104,-0.071,-0.064
"chr1-144","chr1",153000001,154000000,"chr1-144",0.032,-0.024,0.027,-0.008,-0.036
"chr1-145","chr1",154000001,155000000,"chr1-145",0.064,0.004,0.071,0.045,0.039
"chr1-146","chr1",155000001,156000000,"chr1-146",0.097,0.007,0.131,0.054,0.048
"chr1-147","chr1",156000001,157000000,"chr1-147",0.068,-0.027,0.067,0.01,-0.04
"chr1-148","chr1",157000001,158000000,"chr1-148",-0.015,-0.017,-0.029,-0.014,-0.045
"chr1-149","chr1",158000001,159000000,"chr1-149",-0.086,-0.022,-0.095,-0.087,-0.037
"chr1-150","chr1",159000001,160000000,"chr1-150",-0.038,-0.072,-0.058,-0.07,-0.085
"chr1-151","chr1",160000001,161000000,"chr1-151",0.008,-0.011,0.003,0.02,0.023
"chr1-152","chr1",161000001,162000000,"chr1-152",0.023,-0.012,0.011,0.001,0.011
"chr1-153","chr1",162000001,163000000,"chr1-153",-0.007,0.008,-0.016,-0.021,-0.022
"chr1-154","chr1",163000001,164000000,"chr1-154",-0.082,-0.041,-0.129,-0.101,-0.074
"chr1-155","chr1",164000001,165000000,"chr1-155",0.006,0.041,-0.05,0.019,0.017
"chr1-156","chr1",165000001,166000000,"chr1-156",-0.024,-0.063,-0.024,-0.057,-0.08
"chr1-157","chr1",166000001,167000000,"chr1-157",-0.055,-0.016,-0.041,-0.032,-0.008
"chr1-158","chr1",167000001,168000000,"chr1-158",0.003,-0.017,-0.004,-0.02,0.029
"chr1-159","chr1",168000001,169000000,"chr1-159",-0.006,0.011,-0.043,-0.011,-0.023
"chr1-160","chr1",169000001,170000000,"chr1-160",-0.01,0.001,-0.03,-0.055,-0.019
"chr1-161","chr1",170000001,171000000,"chr1-161",-0.048,0.003,-0.049,-0.004,0.031
"chr1-162","chr1",171000001,172000000,"chr1-162",-0.017,-0.002,-0.038,-0.031,0.005
"chr1-163","chr1",172000001,173000000,"chr1-163",-0.057,0.008,-0.102,-0.027,-0.007
"chr1-164","chr1",173000001,174000000,"chr1-164",0.031,0.013,0.019,0.032,0.06
"chr1-165","chr1",174000001,175000000,"chr1-165",0.031,0.062,0.005,0.073,0.116
"chr1-166","chr1",175000001,176000000,"chr1-166",-0.04,-0.062,-0.076,-0.049,-0.079
"chr1-167","chr1",176000001,177000000,"chr1-167",-0.04,-0.014,-0.036,-0.072,0.013
"chr1-168","chr1",177000001,178000000,"chr1-168",-0.053,-0.059,-0.086,-0.065,-0.075
"chr1-169","chr1",178000001,179000000,"chr1-169",-0.009,0.035,0.011,0.013,0.064
"chr1-170","chr1",179000001,180000000,"chr1-170",0.036,0.019,0.064,0.014,0.052
"chr1-171","chr1",180000001,181000000,"chr1-171",0.027,-0.009,0.037,0.012,0.022
"chr1-172","chr1",181000001,182000000,"chr1-172",-0.02,-0.031,-0.021,-0.022,-0.056
"chr1-173","chr1",182000001,183000000,"chr1-173",0.009,0.009,0.027,0.021,0.053
"chr1-174","chr1",183000001,184000000,"chr1-174",0.029,0.038,0.011,0.002,0.057
"chr1-175","chr1",184000001,185000000,"chr1-175",-0.014,0.029,-0.016,0.01,0.065
"chr1-176","chr1",185000001,186000000,"chr1-176",-0.041,0,-0.064,-0.034,-0.019
"chr1-177","chr1",186000001,187000000,"chr1-177",-0.065,-0.008,-0.165,-0.123,-0.031
"chr1-178","chr1",187000001,188000000,"chr1-178",-0.126,0.014,-0.108,-0.046,-0.021
"chr1-179","chr1",188000001,189000000,"chr1-179",-0.167,-0.036,-0.258,-0.123,-0.063
"chr1-180","chr1",189000001,190000000,"chr1-180",-0.183,-0.091,-0.255,-0.183,-0.255
"chr1-181","chr1",190000001,191000000,"chr1-181",-0.19,-0.109,-0.219,-0.235,-0.205
"chr1-182","chr1",191000001,192000000,"chr1-182",0.005,0.069,-0.011,-0.002,0.093
"chr1-183","chr1",192000001,193000000,"chr1-183",-0.078,0.036,-0.155,-0.096,-0.064
"chr1-184","chr1",193000001,194000000,"chr1-184",-0.022,0.042,-0.048,-0.042,0.043
"chr1-185","chr1",194000001,195000000,"chr1-185",-0.016,0.038,-0.06,-0.078,-0.079
"chr1-186","chr1",195000001,196000000,"chr1-186",0.014,0.02,-0.132,-0.052,-0.006
"chr1-187","chr1",196000001,197000000,"chr1-187",-0.106,-0.043,-0.15,-0.135,-0.186
"chr1-188","chr1",197000001,198000000,"chr1-188",-0.069,-0.075,-0.109,-0.136,-0.155
"chr1-189","chr1",198000001,199000000,"chr1-189",-0.109,-0.033,-0.23,-0.173,-0.079
"chr1-190","chr1",199000001,200000000,"chr1-190",-0.069,-0.011,-0.115,-0.051,-0.007
"chr1-191","chr1",200000001,201000000,"chr1-191",0.003,0.008,0.015,0.004,0.05
"chr1-192","chr1",201000001,202000000,"chr1-192",0.011,-0.035,0.009,-0.03,-0.062
"chr1-193","chr1",202000001,203000000,"chr1-193",0.063,0.062,0.06,0.008,0.014
"chr1-194","chr1",203000001,204000000,"chr1-194",0.027,-0.035,0.025,0.002,-0.016
"chr1-195","chr1",204000001,205000000,"chr1-195",0.018,-0.046,-0.011,-0.009,-0.032
"chr1-196","chr1",205000001,205922707,"chr1-196",0.048,-0.025,0.059,-0.005,-0.041
"chr1-197","chr1",206072708,206332221,"chr1-197",0.026,0.002,-0.023,-0.015,0.005
"chr1-198","chr1",206482222,207000000,"chr1-198",0.042,0.017,0.035,0.003,0.024
"chr1-199","chr1",207000001,208000000,"chr1-199",-0.018,-0.052,-0.065,-0.073,-0.069
"chr1-200","chr1",208000001,209000000,"chr1-200",-0.038,-0.03,-0.091,-0.06,-0.061
"chr1-201","chr1",209000001,210000000,"chr1-201",-0.046,-0.051,-0.076,-0.084,-0.085
"chr1-202","chr1",210000001,211000000,"chr1-202",-0.015,0.019,-0.001,-0.019,-0.014
"chr1-203","chr1",211000001,212000000,"chr1-203",0.014,-0.024,0.037,0.016,0.044
"chr1-204","chr1",212000001,213000000,"chr1-204",0.02,0.007,0.04,0.012,0.055
"chr1-205","chr1",213000001,214000000,"chr1-205",0.014,0.023,0.043,0.032,0.055
"chr1-206","chr1",214000001,215000000,"chr1-206",-0.018,0.028,-0.011,0.005,0.015
"chr1-207","chr1",215000001,216000000,"chr1-207",-0.043,0.017,-0.147,-0.068,-0.025
"chr1-208","chr1",216000001,217000000,"chr1-208",-0.12,-0.021,-0.26,-0.183,-0.142
"chr1-209","chr1",217000001,218000000,"chr1-209",-0.037,-0.023,-0.121,-0.102,-0.035
"chr1-210","chr1",218000001,219000000,"chr1-210",0.013,0.023,-0.057,-0.027,-0.004
"chr1-211","chr1",219000001,220000000,"chr1-211",-0.068,0.018,-0.129,-0.033,0.02
"chr1-212","chr1",220000001,221000000,"chr1-212",0.002,-0.006,0.025,0.01,0.09
"chr1-213","chr1",221000001,222000000,"chr1-213",-0.008,-0.035,-0.054,0.003,-0.023
"chr1-214","chr1",222000001,223000000,"chr1-214",0.002,0.017,-0.03,-0.012,0.026
"chr1-215","chr1",223000001,223747846,"chr1-215",-0.022,-0.048,-0.026,-0.038,-0.103
"chr1-216","chr1",223797847,224000000,"chr1-216",-0.018,0.019,0.015,0.002,0.067
"chr1-217","chr1",224000001,225000000,"chr1-217",0.037,0.045,0.071,0.063,0.109
"chr1-218","chr1",225000001,226000000,"chr1-218",0.057,0.081,0.091,0.077,0.154
"chr1-219","chr1",226000001,227000000,"chr1-219",0.064,0.018,0.103,0.059,0.04
"chr1-220","chr1",227000001,228000000,"chr1-220",0.096,0.021,0.101,0.038,0.052
"chr1-221","chr1",228000001,229000000,"chr1-221",0.078,0.018,0.133,0.024,-0.087
"chr1-222","chr1",229000001,230000000,"chr1-222",0.046,0.036,0.072,0.053,0.038
"chr1-223","chr1",230000001,231000000,"chr1-223",0.036,-0.008,0.021,0.011,0.004
"chr1-224","chr1",231000001,232000000,"chr1-224",0.011,0.013,0.048,0,0.021
"chr1-225","chr1",232000001,233000000,"chr1-225",-0.029,0.02,-0.045,-0.009,0.014
"chr1-226","chr1",233000001,234000000,"chr1-226",-0.02,0.011,-0.017,-0.02,0.036
"chr1-227","chr1",234000001,235000000,"chr1-227",0.019,0.017,0.027,0.052,0.077
"chr1-228","chr1",235000001,235192211,"chr1-228",0.069,0.018,0.041,0.076,0.06
"chr1-229","chr1",235242212,236000000,"chr1-229",0.059,0.061,0.113,0.108,0.148
"chr1-230","chr1",236000001,237000000,"chr1-230",0.027,0.044,0.06,0.064,0.114
"chr1-231","chr1",237000001,238000000,"chr1-231",0.004,0.008,-0.018,0.032,0.106
"chr1-232","chr1",238000001,239000000,"chr1-232",-0.136,-0.006,-0.147,-0.127,-0.044
"chr1-233","chr1",239000001,240000000,"chr1-233",-0.005,0.053,-0.019,0.017,0.062
"chr1-234","chr1",240000001,241000000,"chr1-234",-0.003,0.026,-0.038,0.01,0.094
"chr1-235","chr1",241000001,242000000,"chr1-235",0.001,0.074,0.006,0.065,0.147
"chr1-236","chr1",242000001,243000000,"chr1-236",0.027,0.025,0.002,0.009,0.032
"chr1-237","chr1",243000001,244000000,"chr1-237",0.025,0.044,-0.016,-0.002,0.076
"chr1-238","chr1",244000001,245000000,"chr1-238",0.003,0.008,0.037,0.014,0.091
"chr1-239","chr1",245000001,246000000,"chr1-239",0.061,0.033,0.082,0.077,0.122
"chr1-240","chr1",246000001,247000000,"chr1-240",0.066,0.07,0.047,0.077,0.114
"chr1-241","chr1",247000001,248000000,"chr1-241",0.048,0.028,0.039,0.037,0.072
"chr1-242","chr1",248000001,248908210,"chr1-242",-0.081,-0.049,-0.102,-0.078,-0.09
"chr1-243","chr1",249058211,249240621,"chr1-243",-0.052,-0.086,0.019,-0.077,-0.129
"chr2-001","chr2",10001,1000000,"chr2-001",0.035,0.012,0.03,0.003,-0.004
"chr2-002","chr2",1000001,2000000,"chr2-002",0.03,-0.021,-0.024,-0.033,-0.033
"chr2-003","chr2",2000001,3000000,"chr2-003",0.04,-0.002,-0.001,-0.025,-0.073
"chr2-004","chr2",3000001,3529312,"chr2-004",0.068,0.018,0.049,0.016,-0.017
"chr2-005","chr2",3579313,4000000,"chr2-005",0.091,0.03,0.099,0.068,0.05
"chr2-006","chr2",4000001,5018788,"chr2-006",-0.018,0.012,-0.07,-0.034,-0.06
"chr2-007","chr2",5118789,6000000,"chr2-007",0.034,0.039,0.029,0.038,0.102
"chr2-008","chr2",6000001,7000000,"chr2-008",-0.093,-0.056,-0.137,-0.084,-0.084
"chr2-009","chr2",7000001,8000000,"chr2-009",-0.04,-0.016,-0.041,-0.041,-0.034
"chr2-010","chr2",8000001,9000000,"chr2-010",-0.012,-0.047,-0.042,-0.042,-0.037
"chr2-011","chr2",9000001,10000000,"chr2-011",0.066,0.019,0.06,0.027,0.066
"chr2-012","chr2",10000001,11000000,"chr2-012",0.092,0.025,0.097,0.057,0.046
"chr2-013","chr2",11000001,12000000,"chr2-013",0.049,0.019,0.049,0.023,0.034
"chr2-014","chr2",12000001,13000000,"chr2-014",-0.057,-0.05,-0.083,-0.032,-0.017
"chr2-015","chr2",13000001,14000000,"chr2-015",-0.085,-0.002,-0.218,-0.104,-0.068
"chr2-016","chr2",14000001,15000000,"chr2-016",-0.053,-0.095,-0.073,-0.125,-0.149
"chr2-017","chr2",15000001,16000000,"chr2-017",-0.027,-0.017,-0.046,-0.023,-0.009
"chr2-018","chr2",16000001,16279724,"chr2-018",0.038,-0.056,0.007,-0.059,-0.081
"chr2-019","chr2",16329725,17000000,"chr2-019",-0.042,-0.052,-0.077,-0.041,-0.054
"chr2-020","chr2",17000001,18000000,"chr2-020",-0.048,-0.038,-0.11,-0.096,-0.104
"chr2-021","chr2",18000001,19000000,"chr2-021",-0.088,-0.047,-0.131,-0.092,-0.108
"chr2-022","chr2",19000001,20000000,"chr2-022",-0.101,-0.102,-0.168,-0.165,-0.156
"chr2-023","chr2",20000001,21000000,"chr2-023",0.003,-0.032,0.024,-0.031,-0.065
"chr2-024","chr2",21000001,21153113,"chr2-024",0.004,-0.026,0.039,0.041,0.068
"chr2-025","chr2",21178114,22000000,"chr2-025",-0.088,-0.052,-0.14,-0.076,-0.128
"chr2-026","chr2",22000001,23000000,"chr2-026",-0.125,0.002,-0.156,-0.128,-0.019
"chr2-027","chr2",23000001,24000000,"chr2-027",0.02,-0.019,-0.017,-0.028,-0.06
"chr2-028","chr2",24000001,25000000,"chr2-028",0.039,0.046,0.088,0.066,0.129
"chr2-029","chr2",25000001,26000000,"chr2-029",0.086,0.056,0.112,0.07,0.087
"chr2-030","chr2",26000001,27000000,"chr2-030",0.045,0.013,0.071,0.005,0.002
"chr2-031","chr2",27000001,28000000,"chr2-031",0.066,0.003,0.085,0.002,-0.011
"chr2-032","chr2",28000001,29000000,"chr2-032",0.042,0.007,0.027,0.009,0.012
"chr2-033","chr2",29000001,30000000,"chr2-033",-0.001,-0.025,-0.023,-0.006,-0.003
"chr2-034","chr2",30000001,31000000,"chr2-034",-0.028,-0.036,-0.011,-0.026,-0.011
"chr2-035","chr2",31000001,32000000,"chr2-035",-0.023,-0.035,-0.031,-0.051,-0.071
"chr2-036","chr2",32000001,33000000,"chr2-036",0.075,0.077,0.106,0.118,0.206
"chr2-037","chr2",33000001,34000000,"chr2-037",0.013,0.032,-0.004,0.009,0.053
"chr2-038","chr2",34000001,35000000,"chr2-038",-0.07,-0.033,-0.135,-0.114,-0.096
"chr2-039","chr2",35000001,36000000,"chr2-039",-0.118,-0.037,-0.185,-0.168,-0.035
"chr2-040","chr2",36000001,37000000,"chr2-040",-0.078,0.018,-0.114,-0.036,-0.02
"chr2-041","chr2",37000001,38000000,"chr2-041",-0.005,0.021,0.001,-0.015,0.011
"chr2-042","chr2",38000001,39000000,"chr2-042",0.029,0.04,0.026,0.048,0.082
