"","Cases","Bin_Size","Technology","Accuracy","CNVAccuracy"
"52",9358,1e+06,"MethylMaster",0,0.545135810059168
"53",9202,10000,"Sesame",0,0.941139451425774
"54",9203,10000,"Sesame",0,0.985358126562254
"55",9327,10000,"Sesame",0,0.555523275250107
"56",9328,10000,"Sesame",0,0.195368524939206
"57",9337,10000,"Sesame",0,0.755565491309618
"58",9338,10000,"Sesame",0,0.221778497525775
"59",9350,10000,"Sesame",0,0.232388959891928
"60",9353,10000,"Sesame",0,0.492618910965623
"61",9354,10000,"Sesame",0,0.526065051113336
"62",9355,10000,"Sesame",0,0.555220716469925
"63",9356,10000,"Sesame",0,0.566139289791284
"64",9357,10000,"Sesame",0,0.530458372553895
"65",9358,10000,"Sesame",0,0.553115508907196
"66",9202,50000,"Sesame",0,0.930811281772524
"67",9203,50000,"Sesame",0,0.982936261649319
"68",9327,50000,"Sesame",0,0.490131562700823
"69",9328,50000,"Sesame",0,0.194908982086706
"70",9337,50000,"Sesame",0,0.796704381055979
"71",9338,50000,"Sesame",0,0.224787119885262
"72",9350,50000,"Sesame",0,0.224721834496319
"73",9353,50000,"Sesame",0,0.492817666225236
"74",9354,50000,"Sesame",0,0.4918099626998
"75",9355,50000,"Sesame",0,0.551573000390979
"76",9356,50000,"Sesame",0,0.560295332677242
"77",9357,50000,"Sesame",0,0.501732762321387
"78",9358,50000,"Sesame",0,0.554374963731971
"79",9202,1e+05,"Sesame",0,0.915244417015779
"80",9203,1e+05,"Sesame",0,0.985616030100635
"81",9327,1e+05,"Sesame",0,0.433769093348126
"82",9328,1e+05,"Sesame",0,0.19186811715036
"83",9337,1e+05,"Sesame",0,0.79181929650839
"84",9338,1e+05,"Sesame",0,0.204260267885036
"85",9350,1e+05,"Sesame",0,0.21490939801502
"86",9353,1e+05,"Sesame",0,0.437135985655205
"87",9354,1e+05,"Sesame",0,0.481401616624946
"88",9355,1e+05,"Sesame",0,0.533916471118505
"89",9356,1e+05,"Sesame",0,0.569040118407638
"90",9357,1e+05,"Sesame",0,0.455082328376213
"91",9358,1e+05,"Sesame",0,0.553019215828499
"92",9202,1e+06,"Sesame",0,0.921482009193203
"93",9203,1e+06,"Sesame",0,0.989736147771322
"94",9327,1e+06,"Sesame",0,0.37730372508307
"95",9328,1e+06,"Sesame",0,0.183522202754075
"96",9337,1e+06,"Sesame",0,0.753427354549377
"97",9338,1e+06,"Sesame",0,0.182926006329857
"98",9350,1e+06,"Sesame",0,0.203522620179986
"99",9353,1e+06,"Sesame",0,0.426305242639013
"100",9354,1e+06,"Sesame",0,0.42541205074476
"101",9355,1e+06,"Sesame",0,0.490570128205049
"102",9356,1e+06,"Sesame",0,0.464681272461601
"103",9357,1e+06,"Sesame",0,0.366347334006309
"104",9358,1e+06,"Sesame",0,0.545256519227175
"105",9202,10000,"Conumee",0,0.981888621143648
"106",9203,10000,"Conumee",0,0.978656567199339
"107",9327,10000,"Conumee",0,0.619824284489876
"108",9328,10000,"Conumee",0,0.291384937196356
"109",9337,10000,"Conumee",0,0.742508746286817
"110",9338,10000,"Conumee",0,0.182181806003118
"111",9350,10000,"Conumee",0,0.200337214238287
"112",9353,10000,"Conumee",0,0.515502287284832
"113",9354,10000,"Conumee",0,0.52423631816689
"114",9355,10000,"Conumee",0,0.552004431035857
"115",9356,10000,"Conumee",0,0.575700407414016
"116",9357,10000,"Conumee",0,0.534128487476587
"117",9358,10000,"Conumee",0,0.550432438816028
"118",9202,50000,"Conumee",0,0.981510408657848
"119",9203,50000,"Conumee",0,0.978491926709829
"120",9327,50000,"Conumee",0,0.619585179005754
"121",9328,50000,"Conumee",0,0.292447513534511
"122",9337,50000,"Conumee",0,0.751474331440719
"123",9338,50000,"Conumee",0,0.157362767105725
"124",9350,50000,"Conumee",0,0.213013013960688
"125",9353,50000,"Conumee",0,0.519231524233931
"126",9354,50000,"Conumee",0,0.529415600179289
"127",9355,50000,"Conumee",0,0.56029711912564
"128",9356,50000,"Conumee",0,0.587218690288367
"129",9357,50000,"Conumee",0,0.534017017715612
"130",9358,50000,"Conumee",0,0.556884456187288
"131",9202,1e+05,"Conumee",0,0.981198388134303
"132",9203,1e+05,"Conumee",0,0.978245647590269
"133",9327,1e+05,"Conumee",0,0.617628645894236
"134",9328,1e+05,"Conumee",0,0.289425733521797
"135",9337,1e+05,"Conumee",0,0.78196407364843
"136",9338,1e+05,"Conumee",0,0.186863053383238
"137",9350,1e+05,"Conumee",0,0.219843940422312
"138",9353,1e+05,"Conumee",0,0.519877445121696
"139",9354,1e+05,"Conumee",0,0.529374821754697
"140",9355,1e+05,"Conumee",0,0.567968555776426
"141",9356,1e+05,"Conumee",0,0.584363269622156
"142",9357,1e+05,"Conumee",0,0.533567878331357
"143",9358,1e+05,"Conumee",0,0.552950692929442
"144",9202,1e+06,"Conumee",0,0.980882403153573
"145",9203,1e+06,"Conumee",0,0.986545268983808
"146",9327,1e+06,"Conumee",0,0.625954150265077
"147",9328,1e+06,"Conumee",0,0.286675882763205
"148",9337,1e+06,"Conumee",0,0.725381576178436
"149",9338,1e+06,"Conumee",0,0.156736469835913
"150",9350,1e+06,"Conumee",0,0.204498210063178
"151",9353,1e+06,"Conumee",0,0.526211911613336
"152",9354,1e+06,"Conumee",0,0.510382919740036
"153",9355,1e+06,"Conumee",0,0.528371763730093
"154",9356,1e+06,"Conumee",0,0.592707946475962
"155",9357,1e+06,"Conumee",0,0.50970725996738
"156",9358,1e+06,"Conumee",0,0.545052861231838
