"","Chromosome","Start","End","Feature","205122170045_R04C01","205122170071_R01C01","205125590021_R02C01","205125590067_R07C01","205125590068_R01C01","205128000076_R07C01","205240110063_R01C01","205243940036_R02C01","205243940046_R04C01","205243940058_R04C01","205243940065_R07C01","205243940107_R05C01","205289430139_R07C01"
"chr1-053","chr1",49000001,50000000,"chr1-053",0.052,0.23,0.15,0.063,0.106,-0.036,0.126,0.189,-0.282,0.055,0.132,0.152,0.225
"chr1-054","chr1",50000001,51000000,"chr1-054",0.053,0.222,0.086,0.04,0.081,-0.053,0.106,0.167,-0.274,0.052,0.172,0.129,0.239
"chr1-055","chr1",51000001,52000000,"chr1-055",-0.033,0.211,0.079,-0.029,0.045,-0.109,0.185,0.113,-0.338,0.01,0.057,-0.009,0.142
"chr1-056","chr1",52000001,53000000,"chr1-056",-0.028,0.247,0.105,-0.004,0.057,-0.09,0.21,0.126,-0.316,0.014,0.087,0.03,0.141
"chr1-057","chr1",53000001,54000000,"chr1-057",-0.035,0.157,0.094,-0.135,0.025,-0.106,0.188,0.076,-0.29,-0.025,0.078,0.013,0.13
"chr1-058","chr1",54000001,55000000,"chr1-058",0.01,0.22,0.083,-0.062,0.051,-0.098,0.183,0.119,-0.286,0.014,0.093,0.081,0.167
"chr1-059","chr1",55000001,56000000,"chr1-059",0.014,0.229,0.086,0.006,0.054,-0.103,0.164,0.119,-0.269,-0.012,0.118,0.073,0.178
"chr1-060","chr1",56000001,57000000,"chr1-060",0.189,0.328,0.19,0.105,0.167,0.022,0.216,0.267,-0.247,0.17,0.186,0.238,0.283
"chr1-061","chr1",57000001,58000000,"chr1-061",0.104,0.354,0.097,0.053,0.138,-0.046,0.093,0.211,-0.286,0.084,0.157,0.185,0.273
"chr1-062","chr1",58000001,59000000,"chr1-062",0.119,0.234,0.113,0.049,0.117,0,0.047,0.179,-0.282,0.119,0.133,0.181,0.206
"chr1-063","chr1",59000001,60000000,"chr1-063",0.095,0.306,0.156,0.119,0.17,-0.046,0.261,0.19,-0.248,0.083,0.214,0.162,0.227
"chr1-064","chr1",60000001,61000000,"chr1-064",0.124,0.31,0.166,0.111,0.169,-0.008,0.202,0.252,-0.256,0.123,0.217,0.203,0.281
"chr1-065","chr1",61000001,62000000,"chr1-065",0.109,0.369,0.164,0.083,0.131,-0.027,0.238,0.253,-0.276,0.113,0.203,0.182,0.297
"chr1-066","chr1",62000001,63000000,"chr1-066",-0.049,0.217,-0.222,-0.031,0.075,-0.105,-0.25,0.104,-0.341,-0.004,-0.01,0.012,0.124
"chr1-067","chr1",63000001,64000000,"chr1-067",0.049,0.309,-0.157,0.024,0.108,-0.052,-0.135,0.214,-0.302,0.059,0.219,0.082,0.263
"chr1-068","chr1",64000001,65000000,"chr1-068",0.092,0.31,-0.127,0.106,0.133,-0.021,-0.16,0.215,-0.259,0.111,0.222,0.147,0.25
"chr1-069","chr1",65000001,66000000,"chr1-069",0.009,0.268,-0.193,0.044,0.11,-0.084,-0.186,0.155,-0.311,0.029,0.133,0.068,0.217
"chr1-070","chr1",66000001,67000000,"chr1-070",0.21,0.338,0.257,0.122,0.209,0.066,0.309,0.313,-0.249,0.194,0.278,0.304,0.337
"chr1-071","chr1",67000001,68000000,"chr1-071",0.054,0.283,0.134,0.031,0.106,-0.033,0.225,0.206,-0.295,0.066,0.118,0.123,0.215
"chr1-072","chr1",68000001,69000000,"chr1-072",0.122,0.355,0.188,0.145,0.169,-0.026,0.298,0.244,-0.254,0.098,0.275,0.226,0.285
"chr1-073","chr1",69000001,70000000,"chr1-073",0.226,0.287,0.205,0.093,0.136,0.058,0.156,0.304,-0.235,0.132,0.141,0.177,0.24
"chr1-074","chr1",70000001,71000000,"chr1-074",0.088,0.357,0.16,0.125,0.178,-0.023,0.292,0.229,-0.278,0.086,0.264,0.165,0.285
"chr1-075","chr1",71000001,72000000,"chr1-075",0.196,0.348,0.226,0.138,0.205,-0.008,0.221,0.324,-0.3,0.138,0.273,0.247,0.352
"chr1-076","chr1",72000001,73000000,"chr1-076",0.209,0.596,0.203,0.175,0.201,0.054,0.241,0.426,-0.317,0.197,0.371,0.32,0.469
"chr1-077","chr1",73000001,74000000,"chr1-077",0.182,0.45,0.229,0.066,0.168,0.031,0.205,0.456,-0.241,0.179,0.188,0.216,0.476
"chr1-078","chr1",74000001,75000000,"chr1-078",0.248,0.485,0.282,0.198,0.269,0.091,0.306,0.381,-0.242,0.207,0.431,0.345,0.458
"chr1-079","chr1",75000001,76000000,"chr1-079",0.237,0.419,0.374,0.182,0.255,0.07,0.439,0.339,-0.264,0.203,0.384,0.312,0.379
"chr1-080","chr1",76000001,77000000,"chr1-080",0.11,0.25,0.328,0.104,0.156,-0.02,0.412,0.146,-0.3,0.121,0.162,0.168,0.166
"chr1-081","chr1",77000001,78000000,"chr1-081",0.123,0.087,0.381,0.079,0.161,0.003,0.477,0.123,-0.286,0.106,0.219,0.205,0.124
"chr1-082","chr1",78000001,79000000,"chr1-082",0.034,0.307,0.351,0.053,0.117,-0.063,0.459,0.197,-0.323,0.094,0.148,0.101,0.193
"chr1-083","chr1",79000001,80000000,"chr1-083",0.177,0.398,0.44,0.099,0.154,0.055,0.534,0.358,-0.292,0.206,0.226,0.254,0.389
"chr1-084","chr1",80000001,81000000,"chr1-084",0.198,0.307,0.407,0.086,0.154,0.101,0.532,0.226,-0.228,0.166,0.23,0.242,0.235
"chr1-085","chr1",81000001,82000000,"chr1-085",0.175,0.379,0.511,0.086,0.187,0.052,0.576,0.352,-0.25,0.226,0.301,0.268,0.402
"chr1-086","chr1",82000001,83000000,"chr1-086",0.191,0.363,0.386,0.146,0.202,0.03,0.454,0.276,-0.257,0.173,0.376,0.268,0.342
"chr1-087","chr1",83000001,84000000,"chr1-087",0.224,0.299,0.455,0.095,0.188,0.079,0.54,0.304,-0.178,0.219,0.174,0.326,0.346
"chr1-088","chr1",84000001,85000000,"chr1-088",0.126,0.397,0.357,0.143,0.178,-0.021,0.532,0.248,-0.284,0.13,0.327,0.209,0.31
"chr1-089","chr1",85000001,86000000,"chr1-089",0.072,0.376,0.282,0.095,0.122,-0.05,0.413,0.261,-0.297,0.059,0.212,0.115,0.319
"chr1-090","chr1",86000001,87000000,"chr1-090",0.127,0.247,0.272,0.107,0.145,-0.06,0.409,0.133,-0.269,0.102,0.282,0.203,0.202
"chr1-091","chr1",87000001,88000000,"chr1-091",0.093,0.436,0.159,0.102,0.148,-0.035,0.215,0.302,-0.287,0.085,0.23,0.177,0.36
"chr1-092","chr1",88000001,89000000,"chr1-092",0.121,0.399,0.17,0.049,0.154,0.012,0.245,0.302,-0.289,0.144,0.185,0.226,0.335
"chr1-093","chr1",89000001,90000000,"chr1-093",0.081,0.334,0.187,0.064,0.115,-0.019,0.236,0.251,-0.249,0.101,0.181,0.143,0.221
"chr1-094","chr1",90000001,91000000,"chr1-094",0.084,0.336,0.143,0.067,0.127,-0.024,0.196,0.212,-0.289,0.087,0.171,0.141,0.273
"chr1-095","chr1",91000001,92000000,"chr1-095",0.066,0.295,0.145,0.083,0.132,-0.005,0.204,0.244,-0.269,0.068,0.234,0.137,0.3
"chr1-096","chr1",92000001,93000000,"chr1-096",-0.02,0.232,0.069,0.01,0.052,-0.092,0.169,0.143,-0.323,0.01,0.121,0.039,0.186
"chr1-097","chr1",93000001,94000000,"chr1-097",-0.019,0.038,0.088,0.016,0.078,-0.094,0.197,-0.047,-0.334,0.017,0.127,0.028,-0.024
"chr1-098","chr1",94000001,95000000,"chr1-098",0.032,0.079,0.133,0.046,0.102,-0.063,0.233,-0.001,-0.279,-0.034,0.164,0.117,0.027
"chr1-099","chr1",95000001,96000000,"chr1-099",0.089,0.065,0.122,0.054,0.148,-0.034,0.2,0.003,-0.275,0.083,0.203,0.141,0.044
"chr1-100","chr1",96000001,97000000,"chr1-100",0.206,0.039,0.276,0.094,0.198,0.105,0.213,0.108,-0.265,0.218,0.179,0.306,0.081
"chr1-101","chr1",97000001,98000000,"chr1-101",0.081,0.063,0.218,0.058,0.111,-0.021,0.262,0.055,-0.314,0.108,0.176,0.153,0.057
"chr1-102","chr1",98000001,99000000,"chr1-102",0.199,0.198,0.233,0.138,0.204,0.025,0.262,0.121,-0.266,0.155,0.283,0.244,0.185
"chr1-103","chr1",99000001,100000000,"chr1-103",0.173,0.344,0.184,0.096,0.191,0.025,0.205,0.249,-0.244,0.129,0.252,0.207,0.311
"chr1-104","chr1",100000001,101000000,"chr1-104",0.064,0.21,0.149,0.063,0.115,-0.049,0.234,0.113,-0.301,0.096,0.177,0.135,0.145
"chr1-105","chr1",101000001,102000000,"chr1-105",0.116,0.049,0.182,0.114,0.184,-0.003,0.25,0.031,-0.286,0.125,0.228,0.212,0.028
"chr1-106","chr1",102000001,103000000,"chr1-106",0.235,0.039,0.276,0.102,0.195,0.064,0.244,0.1,-0.334,0.225,0.319,0.289,0.103
"chr1-107","chr1",103000001,103863906,"chr1-107",0.12,0.186,0.179,0.147,0.188,-0.053,0.313,0.07,-0.337,0.158,0.357,0.196,0.152
"chr1-108","chr1",103913907,105000000,"chr1-108",0.087,0.177,0.152,0.084,0.189,-0.046,0.205,0.057,-0.24,0.118,0.256,0.193,0.106
"chr1-109","chr1",105000001,106000000,"chr1-109",0.184,0.111,0.223,0.127,0.171,0.084,0.018,0.09,-0.147,0.232,0.145,0.287,0.165
"chr1-110","chr1",106000001,107000000,"chr1-110",0.143,0.04,0.193,0.143,0.134,0.035,0.161,0.101,-0.3,0.152,0.185,0.195,0.061
"chr1-111","chr1",107000001,108000000,"chr1-111",0.116,0.119,0.134,0.23,0.189,-0.009,0.205,0.037,-0.279,0.146,0.297,0.231,0.043
"chr1-112","chr1",108000001,109000000,"chr1-112",0.153,0.052,0.16,0.195,0.159,-0.013,0.139,0.025,-0.279,0.144,0.209,0.193,0.038
"chr1-113","chr1",109000001,110000000,"chr1-113",-0.025,0.049,-0.084,0.127,0.076,-0.122,0.036,-0.073,-0.293,0.006,0.105,0.042,-0.033
"chr1-114","chr1",110000001,111000000,"chr1-114",0.05,0.172,-0.151,0.157,0.1,-0.077,-0.117,0.071,-0.244,0.013,0.176,0.124,0.128
"chr1-115","chr1",111000001,112000000,"chr1-115",0.09,0.094,-0.106,0.196,0.145,-0.042,-0.175,0.045,-0.259,0.069,0.165,0.18,0.094
"chr1-116","chr1",112000001,113000000,"chr1-116",0.056,0.017,-0.177,0.178,0.117,-0.09,-0.239,-0.027,-0.255,0.018,0.161,0.117,-0.008
"chr1-117","chr1",113000001,114000000,"chr1-117",-0.002,0.008,-0.197,0.129,0.081,-0.11,-0.14,-0.051,-0.307,-0.016,0.152,0.063,-0.027
"chr1-118","chr1",114000001,115000000,"chr1-118",0.054,0.017,-0.152,0.165,0.116,-0.072,-0.215,-0.014,-0.279,0.044,0.17,0.118,0.012
"chr1-119","chr1",115000001,116000000,"chr1-119",0.082,0.051,-0.12,0.179,0.127,-0.03,-0.177,-0.017,0.023,0.08,0.216,0.155,0.011
"chr1-120","chr1",116000001,117000000,"chr1-120",0.075,0.045,-0.166,0.167,0.119,-0.055,-0.23,0.001,-0.002,0.045,0.17,0.143,0.043
"chr1-121","chr1",117000001,118000000,"chr1-121",0.066,0.025,-0.144,0.152,0.102,-0.049,-0.167,-0.009,0.002,0.06,0.114,0.127,-0.014
"chr1-122","chr1",118000001,119000000,"chr1-122",0.132,0.091,-0.102,0.223,0.147,0.013,-0.158,0.035,0.061,0.115,0.222,0.215,0.063
"chr1-123","chr1",119000001,120000000,"chr1-123",0.119,0.078,-0.104,0.21,0.163,-0.024,-0.124,0.047,0.054,0.117,0.252,0.192,0.074
"chr1-124","chr1",120000001,120697156,"chr1-124",0.114,0.052,0.192,0.161,0.101,-0.032,0.262,0.017,-0.007,0.087,0.151,0.18,0.029
"chr1-125","chr1",120747157,120936695,"chr1-125",0.178,0.019,0.226,0.179,0.112,0.088,0.173,-0.013,0.024,0.172,0.228,0.21,-0.003
"chr1-126","chr1",121086696,121485434,"chr1-126",0.16,-0.008,0.283,0.107,0.079,0.056,0.221,-0.002,0.003,0.236,0.163,0.123,-0.05
"chr1-127","chr1",142535435,142731022,"chr1-127",0.254,-0.086,0.139,-0.022,-0.035,0.2,-0.249,0.025,0.037,0.248,-0.026,0.107,-0.099
"chr1-128","chr1",143117762,143292816,"chr1-128",0.166,-0.142,0.049,0.087,-0.027,0.096,-0.158,-0.085,-0.012,0.187,0.059,0.094,-0.109
"chr1-129","chr1",143342817,143544525,"chr1-129",0.25,-0.146,0.149,0.068,0.054,0.249,-0.065,-0.108,0.054,0.359,-0.019,0.13,-0.329
"chr1-130","chr1",143871003,144095783,"chr1-130",0.103,-0.051,0.125,0.086,0.006,0.082,-0.007,-0.066,-0.038,0.157,-0.067,0.102,-0.008
"chr1-131","chr1",144451745,144622413,"chr1-131",0.095,-0.083,0.108,0.038,0.017,0.066,0.045,-0.083,-0.034,0.093,0.01,0.051,-0.085
"chr1-132","chr1",144810725,145000000,"chr1-132",0.16,-0.027,0.156,0.112,0.031,0.072,0.045,-0.018,-0.043,0.101,0.038,0.126,-0.021
"chr1-133","chr1",145000001,145833118,"chr1-133",0.148,0.027,0.043,0.213,0.086,0.085,0.041,-0.045,-0.022,0.045,0.143,0.099,-0.053
"chr1-134","chr1",146303300,147000000,"chr1-134",0.219,-0.018,0.043,0.248,0.128,0.162,-0.003,-0.006,-0.006,0.077,0.227,0.176,0.007
"chr1-135","chr1",147000001,148026038,"chr1-135",0.222,0.035,0.016,0.241,0.129,0.13,-0.039,-0.037,-0.032,0.096,0.135,0.171,-0.012
"chr1-136","chr1",148176039,148361358,"chr1-136",0.15,-0.037,0.094,0.116,0.061,0.07,0.018,-0.168,-0.017,0.15,0.013,0.043,-0.174
"chr1-137","chr1",148511359,148684147,"chr1-137",0.18,-0.094,0.067,0.061,-0.01,0.108,-0.078,-0.141,-0.013,0.13,-0.094,0.053,-0.156
"chr1-138","chr1",148734148,148954460,"chr1-138",0.126,-0.121,-0.021,0.032,-0.038,0.075,-0.062,-0.139,-0.08,0.133,0.07,0.109,-0.121
"chr1-139","chr1",149004461,149459645,"chr1-139",0.187,-0.054,0.006,0.186,0.086,0.114,-0.073,-0.032,-0.019,0.044,0.168,0.103,-0.042
"chr1-140","chr1",149509646,150000000,"chr1-140",0.235,0.076,0.1,0.312,0.156,0.133,0.084,0.023,0.034,0.115,0.254,0.209,0.043
"chr1-141","chr1",150000001,151000000,"chr1-141",0.124,0.033,-0.002,0.255,0.088,0.054,0.073,-0.089,-0.038,0.006,0.134,0.049,-0.078
"chr1-142","chr1",151000001,152000000,"chr1-142",0.135,-0.001,-0.032,0.257,0.091,0.065,-0.007,-0.067,-0.037,0.012,0.142,0.08,-0.046
"chr1-143","chr1",152000001,153000000,"chr1-143",0.249,0.136,-0.056,0.302,0.13,0.123,-0.219,0.122,-0.023,0.101,0.175,0.212,0.136
"chr1-144","chr1",153000001,154000000,"chr1-144",0.146,0.22,-0.033,0.216,0.102,0.05,-0.018,0.121,-0.031,0.007,0.163,0.127,0.162
"chr1-145","chr1",154000001,155000000,"chr1-145",0.125,0.194,-0.037,0.187,0.076,0.04,-0.019,0.087,-0.051,-0.015,0.12,0.077,0.131
"chr1-146","chr1",155000001,156000000,"chr1-146",0.069,0.172,-0.054,0.155,0.042,0.006,0.023,0.049,-0.08,-0.036,0.116,0.025,0.099
"chr1-147","chr1",156000001,157000000,"chr1-147",0.102,0.196,0.055,0.207,0.06,0.017,0.157,0.071,-0.056,-0.028,0.153,0.072,0.124
"chr1-148","chr1",157000001,158000000,"chr1-148",0.236,0.219,-0.023,0.3,0.118,0.126,-0.18,0.175,-0.017,0.099,0.14,0.19,0.2
"chr1-149","chr1",158000001,159000000,"chr1-149",0.252,0.21,-0.007,0.328,0.132,0.158,-0.236,0.247,0.002,0.123,0.115,0.198,0.263
"chr1-150","chr1",159000001,160000000,"chr1-150",0.201,0.238,-0.046,0.289,0.096,0.075,-0.15,0.172,-0.019,0.066,0.155,0.169,0.226
"chr1-151","chr1",160000001,161000000,"chr1-151",0.19,0.183,-0.044,0.28,0.09,0.086,-0.162,0.129,-0.032,0.055,0.106,0.147,0.155
"chr1-152","chr1",161000001,162000000,"chr1-152",0.15,0.27,-0.022,0.211,0.103,0.061,-0.029,0.129,-0.041,0.026,0.158,0.113,0.17
"chr1-153","chr1",162000001,163000000,"chr1-153",0.229,0.274,0.049,0.193,0.127,0.148,-0.005,0.198,-0.001,0.093,0.178,0.188,0.228
"chr1-154","chr1",163000001,164000000,"chr1-154",0.344,0.452,0.13,0.246,0.18,0.259,-0.029,0.311,0.046,0.21,0.22,0.305,0.38
"chr1-155","chr1",164000001,165000000,"chr1-155",0.301,0.408,0.05,0.252,0.192,0.154,-0.066,0.232,-0.01,0.145,0.256,0.243,0.256
"chr1-156","chr1",165000001,166000000,"chr1-156",0.216,0.25,-0.024,0.163,0.109,0.126,-0.097,0.149,-0.015,0.053,0.133,0.154,0.209
"chr1-157","chr1",166000001,167000000,"chr1-157",0.188,0.28,0.001,0.178,0.11,0.107,-0.075,0.2,-0.023,0.048,0.174,0.161,0.251
"chr1-158","chr1",167000001,168000000,"chr1-158",0.161,0.273,-0.025,0.154,0.094,0.107,-0.085,0.17,-0.037,0.03,0.107,0.101,0.196
"chr1-159","chr1",168000001,169000000,"chr1-159",0.225,0.312,-0.001,0.194,0.138,0.137,-0.04,0.196,-0.024,0.076,0.177,0.199,0.261
"chr1-160","chr1",169000001,170000000,"chr1-160",0.27,0.326,0.045,0.231,0.176,0.184,0.011,0.244,0.01,0.119,0.254,0.228,0.258
"chr1-161","chr1",170000001,171000000,"chr1-161",0.296,0.374,0.063,0.243,0.161,0.204,0.039,0.271,0.025,0.156,0.259,0.219,0.269
"chr1-162","chr1",171000001,172000000,"chr1-162",0.225,0.32,0.044,0.208,0.132,0.176,0.011,0.238,-0.001,0.089,0.138,0.177,0.262
"chr1-163","chr1",172000001,173000000,"chr1-163",0.274,0.35,0.103,0.233,0.16,0.196,0.031,0.279,0.003,0.149,0.211,0.228,0.312
"chr1-164","chr1",173000001,174000000,"chr1-164",0.231,0.295,0.031,0.197,0.141,0.137,0.043,0.218,-0.017,0.094,0.182,0.183,0.239
"chr1-165","chr1",174000001,175000000,"chr1-165",0.201,0.301,0.017,0.182,0.086,0.134,0.026,0.202,-0.037,0.055,0.125,0.137,0.241
"chr1-166","chr1",175000001,176000000,"chr1-166",0.243,0.273,0.023,0.198,0.122,0.156,-0.061,0.176,0,0.087,0.114,0.19,0.217
