"","Chromosome Region","Event","Length","Cytoband","% of CNV Overlap","Probe Median","% Heterozygous","Probes","Count of Gene Symbols"
"20","chr11:54,795,357-81,120,347","CN Loss","26324991","q11 - q14.1","81.27427968633606","-0.7978987991809845","26.40878701050621","2094","593"
"21","chr11:83,947,892-125,756,830","CN Loss","41808939","q14.1 - q24.2","82.335564227917","-0.5758129358291626","32.79487960987504","3281","392"
"22","chr12:0-35,800,000","CN Loss","35800001","p13.33 - q11","85.28771508379889","-0.46436989307403564","32.199228340933004","2851","373"
"23","chr12:37,902,988-91,432,717","CN Loss","53529730","q11 - q21.33","81.71822054245781","-0.3739928603172302","31.311288483466363","4385","528"
"24","chr12:91,818,201-96,641,033","CN Loss","4822833","q21.33 - q23.1","100.0","-0.33844268321990967","40.33613445378151","357","46"
"25","chr13:23,956,805-31,075,038","CN Gain","7118234","q12.12 - q12.3","72.28930269632927","0.19720736145973206","34.47154471544715","615","71"
"26","chr13:31,075,038-34,335,912","CN Loss","3260875","q12.3 - q13.2","70.4059095812963","-0.4352278411388397","24.761904761904763","315","25"
"27","chr13:37,590,211-70,600,506","CN Loss","33010296","q13.3 - q21.33","83.6948594370332","-0.8902038335800171","2.5262339681305868","2573","221"
"28","chr14:35,897,483-106,524,357","CN Loss","70626875","q13.2 - q32.33","81.55211286853783","-0.6827022433280945","33.992537313432834","5360","672"
"29","chr15:22,752,399-80,540,361","CN Loss","57787963","q11.2 - q25.1","89.35759838701354","-0.3399229049682617","35.370152761457106","4255","752"
"30","chr15:81,701,568-102,531,392","CN Loss","20829825","q25.2 - q26.3","83.58011090252131","-0.3194068968296051","37.29116945107398","1676","216"
"31","chr16:0-34,071,208","CN Loss","34071209","p13.3 - p11.2","88.1118626612828","-0.7790708243846893","0.0","2438","683"
"32","chr16:51,136,818-85,359,556","CN Loss","34222739","q12.1 - q24.1","88.00996577187951","-0.8097020983695984","0.07782101167315175","2570","356"
"33","chr16:85,690,999-90,354,753","CN Loss","4663755","q24.1 - q24.3","100.0","-0.775297224521637","0.0","409","99"
"34","chr17:589,721-10,334,525","CN Loss","9744805","p13.3 - p13.1","95.58677629637292","-0.7714325189590454","0.0","877","275"
"35","chr17:10,334,525-22,217,883","CN Gain","11883359","p13.1 - p11.1","94.47858088597516","0.5638130605220795","36.91588785046729","856","160"
"36","chr17:25,326,941-53,234,932","CN Loss","27907992","q11.1 - q22","84.63147347295619","-0.3351813107728958","28.92156862745098","2448","646"
"37","chr17:54,284,933-59,042,294","CN Loss","4757362","q22 - q23.2","87.72588416140798","-0.3669765144586563","36.407766990291265","412","75"
"38","chr17:61,262,015-64,384,219","CN Loss","3122205","q23.3 - q24.2","77.66497640769148","-0.35208630561828613","24.427480916030536","262","54"
"39","chr17:66,176,741-72,680,617","CN Gain","6503877","q24.2 - q25.1","74.3479272975069","0.20702625066041946","39.285714285714285","448","63"
"40","chr19:30,257,055-59,128,983","CN Loss","28871929","q12 - q13.43","86.67032212050404","-0.3594362586736679","30.479183032207384","2546","1128"
"41","chr20:0-26,309,255","CN Loss","26309256","p13 - p11.1","90.76505967196715","-0.419119268655777","25.729646697388635","2604","258"
"42","chr20:36,423,955-47,913,080","CN Gain","11489126","q11.23 - q13.13","99.0241380435847","0.1998855173587799","29.772727272727273","880","151"
"43","chr20:48,843,528-62,814,844","CN Gain","13971317","q13.13 - q13.33","81.38518232641793","0.23271536827087402","40.99318403115871","1027","202"
"44","chr21:14,344,537-48,129,895","CN Loss","33785359","q11.2 - q22.3","86.55582397558138","-0.6447508335113525","36.95002135839385","2341","350"
"45","chr22:16,054,713-42,866,559","CN Loss","26811847","q11.1 - q13.2","91.85028513143034","-0.31217703223228455","35.62642369020501","2195","502"
"46","chr22:43,738,757-51,304,566","CN Loss","7565810","q13.2 - q13.33","91.48303902464363","-0.31982988119125366","43.462246777163905","543","103"
"47","chrX:42,474,348-48,682,296","CN Gain","6207949","p11.3 - p11.23","64.32634422839882","0.6129825711250305","2.0036429872495445","549","74"
"48","chrX:49,371,713-53,360,997","CN Gain","3989285","p11.23 - p11.22","71.02805917051782","0.5729175806045532","1.606425702811245","249","71"
"49","chrX:53,651,359-58,470,802","CN Gain","4819444","p11.22 - p11.1","75.93601584249465","0.40517517924308777","5.763688760806916","347","39"
"50","chrX:136,927,920-155,270,560","CN Gain","18342641","q26.3 - q28","79.22099545103649","0.512253612279892","14.2967542503864","1294","262"
