"","Chromosome Region","Event","Length","Cytoband","% of CNV Overlap","Probe Median","% Heterozygous","Probes","Count of Gene Symbols"
"24","chr10:128,551,575-135,534,747","CN Loss","6983173","q26.2 - q26.3","96.79185905774625","-0.22751380503177643","37.47178329571106","443","56"
"25","chr11:0-51,575,951","CN Loss","51575952","p15.5 - p11.12","86.41202951352268","-0.4129486382007599","36.71853671853672","3663","573"
"26","chr11:71,342,054-76,916,078","CN Loss","5574025","q13.4 - q13.5","76.92559271363022","-0.19389934837818146","27.89598108747045","423","87"
"27","chr11:81,120,347-86,692,952","CN Gain","5572606","q14.1 - q14.2","89.64606319665579","0.2174069508910179","38.91752577319588","388","29"
"28","chr11:110,601,659-113,292,913","CN Gain","2691255","q23.1 - q23.2","71.83149565221268","0.17244845628738403","37.5609756097561","205","41"
"29","chr11:125,756,830-135,006,516","CN Loss","9249687","q24.2 - q25","71.24002912098854","-0.43924033641815186","41.33148404993065","721","67"
"30","chr12:0-7,993,253","CN Loss","7993254","p13.33 - p13.31","94.38842984201801","-0.4128495752811432","24.605263157894736","760","131"
"31","chr12:37,902,988-41,191,069","CN Loss","3288082","q11 - q12","97.86757078064683","-0.23685455322265625","22.943722943722943","231","9"
"32","chr12:45,995,231-61,499,233","CN Loss","15504003","q12 - q14.1","82.8377860116375","-0.24541914463043213","25.756556825823807","1487","346"
"33","chr12:62,347,196-72,704,220","CN Loss","10357025","q14.1 - q21.1","67.02855955533173","-0.22067590057849884","30.708661417322833","889","87"
"34","chr12:73,776,377-80,877,022","CN Loss","7100646","q21.1 - q21.31","81.34120210206255","-0.19784072786569595","38.51590106007067","566","23"
"35","chr12:84,376,782-91,432,717","CN Loss","7055936","q21.31 - q21.33","90.17900533380764","-0.2338501214981079","28.4","500","26"
"36","chr12:95,265,683-112,887,910","CN Loss","17622228","q22 - q24.13","75.67230293878293","-0.19192616641521454","36.63663663663664","1332","182"
"37","chr12:120,394,812-124,541,087","CN Loss","4146276","q24.23 - q24.31","67.5113927561486","-0.23098907619714737","38.8235294117647","340","95"
"38","chr12:129,583,115-133,851,895","CN Loss","4268781","q24.33","98.52505868187164","-0.2696300446987152","21.27659574468085","235","47"
"39","chr13:23,054,994-31,033,152","CN Gain","7978159","q12.11 - q12.3","75.27609756537787","0.47991590201854706","35.267857142857146","672","74"
"40","chr13:34,110,903-37,667,410","CN Gain","3556508","q13.2 - q13.3","62.41174275771143","0.43415436148643494","36.82008368200837","239","19"
"41","chr13:37,667,410-67,393,188","CN Loss","29725779","q13.3 - q21.32","83.94388197341715","-0.8692998886108398","0.12776831345826234","2348","213"
"42","chr13:67,393,188-114,629,828","CN Gain","47236641","q21.32 - q34","89.48082886505053","0.43331456184387207","37.15269240226211","4067","254"
"43","chr14:36,019,681-106,524,357","CN Loss","70504677","q13.2 - q32.33","81.54043428268503","-0.6962196826934814","34.267563527653216","5352","671"
"44","chr15:22,752,399-102,531,392","CN Loss","79778994","q11.2 - q26.3","87.22773048789924","-0.32938022911548615","36.14718614718615","6006","982"
"45","chr16:0-34,199,407","CN Loss","34199408","p13.3 - p11.2","88.15642622107454","-0.8121351599693298","0.04100041000410004","2439","683"
"46","chr16:51,136,818-90,354,753","CN Loss","39217936","q12.1 - q24.3","89.53713906660307","-0.9179118871688843","0.06664445184938354","3001","455"
"47","chr17:636,431-10,334,525","CN Loss","9698095","p13.3 - p13.1","95.5655204001941","-0.8249775767326355","0.2288329519450801","874","274"
"48","chr17:25,326,941-30,272,643","CN Loss","4945703","q11.1 - q11.2","75.45125039883115","-0.18708811700344086","27.764705882352942","425","100"
"49","chr17:47,290,352-53,162,764","CN Loss","5872413","q21.32 - q22","85.1301475441437","-0.23101438581943512","38.73517786561265","506","66"
"50","chr17:55,671,736-58,986,022","CN Loss","3314287","q22 - q23.2","84.87369526950903","-0.2668174058198929","29.62962962962963","270","63"
"51","chr17:76,122,559-78,693,921","CN Loss","2571363","q25.3","93.27702594967181","-0.23599427938461304","32.70676691729323","266","46"
"52","chr18:0-15,377,471","CN Loss","15377472","p11.32 - p11.21","96.07198738986405","-0.3153313547372818","38.526119402985074","1072","113"
"53","chr18:18,554,307-78,077,248","CN Loss","59522942","q11.1 - q23","81.46921537361536","-0.32660242915153503","37.67411010391333","4523","301"
"54","chr20:29,519,156-63,025,520","CN Gain","33506365","q11.21 - q13.33","89.28301202720773","0.42797714471817017","34.10266613609232","2513","505"
"55","chr21:14,344,537-48,129,895","CN Loss","33785359","q11.2 - q22.3","86.55582397558138","-0.3683083951473236","36.651003844510896","2341","350"
"56","chr22:16,054,713-51,304,566","CN Loss","35249854","q11.1 - q13.33","91.7284137326757","-0.33486407995224","37.625178826895564","2796","624"
"57","chrX:42,474,348-57,715,525","CN Gain","15241178","p11.3 - p11.21","70.79398133096939","0.3930346369743347","19.194515852613538","1167","267"
